"","metrics","coeff","formatMpfr.p.val.","formatMpfr.p.adj."
"rh_bankssts_thickness","rh_bankssts_thickness",0.0162786099240119,"0.0013887619779622392344019548761313815226315913828804870588156946","0.16248515142158199042502872050729"
"rh_caudalanteriorcingulate_thickness","rh_caudalanteriorcingulate_thickness",0.109177478359884,"4.0825166663284764184418310523253081183974282597200177835815551e-103","4.7765444996043174095769423312198e-101"
"rh_caudalmiddlefrontal_thickness","rh_caudalmiddlefrontal_thickness",0.0251953223409174,"7.7029220320245195690395891707294523565584004646999650944050597e-7","9.0124187774686878957763193297544e-5"
"rh_cuneus_thickness","rh_cuneus_thickness",0.013447104879392,"0.0083384969830044002356659817895453871171861090396615173901158057","0.97560414701151482757291986937700"
"rh_entorhinal_thickness","rh_entorhinal_thickness",0.0410425232212722,"7.4047277077552214239318543648753200704038728718251897259173979e-16","8.6635314180736090660002696069039e-14"
"rh_fusiform_thickness","rh_fusiform_thickness",0.0477456963592094,"6.2426557837584001519194896970746944771628681284072127606535360e-21","7.3039072669973281777458029455746e-19"
"rh_inferiorparietal_thickness","rh_inferiorparietal_thickness",-0.0228502463644373,"7.2915217341912234879088871417047845698231507273416870586718150e-6","0.00085310804290037314808533979557912"
"rh_inferiortemporal_thickness","rh_inferiortemporal_thickness",0.0147078846501223,"0.0038912688821718393785442444134814523602930801293856246016462796","0.45527845921410520728967659637719"
"rh_isthmuscingulate_thickness","rh_isthmuscingulate_thickness",0.0211466417233797,"3.3415206746724955952924699392887543660692957191028568132905270e-5","0.0039095791893668198464921898289681"
"rh_lateraloccipital_thickness","rh_lateraloccipital_thickness",-0.0158349500491664,"0.0018075064857650399240468595422344710601130710654813112631237403","0.21147825883450967111348256644152"
"rh_lateralorbitofrontal_thickness","rh_lateralorbitofrontal_thickness",-0.000251055192831318,"0.96072468027728066192369299153700440948921433911508314160166128","112.40478759244183744507208000982"
"rh_lingual_thickness","rh_lingual_thickness",0.0414387308367854,"4.1198915229308661951216114561587263994728781740448688820360465e-16","4.8202730818291134482922854037055e-14"
"rh_medialorbitofrontal_thickness","rh_medialorbitofrontal_thickness",0.0132434845993131,"0.0093900502070213079500917576205892763969649525743976658841478911","1.0986358742214930301607356416097"
"rh_middletemporal_thickness","rh_middletemporal_thickness",0.0552132868244903,"1.9314527579225265535284743258894905966408302487383882161053197e-27","2.2597997267693560676283149612906e-25"
"rh_parahippocampal_thickness","rh_parahippocampal_thickness",0.0601680447973012,"2.7776772093454985945242569066389442153735494412239211217940672e-32","3.2498823349342333555933805807694e-30"
"rh_paracentral_thickness","rh_paracentral_thickness",0.056537219457934,"1.1131353166321867297504126950435005781332096278827413963164403e-28","1.3023683204596584738079828532016e-26"
"rh_parsopercularis_thickness","rh_parsopercularis_thickness",-0.000446057811285917,"0.93025002298706895697575248457092235884927708056757282130136153","108.83925268948706796616304069478"
"rh_parsorbitalis_thickness","rh_parsorbitalis_thickness",0.0328472769797438,"1.1349545512797341129257864247328978856292834035210529340824995e-10","1.3278968249972889121231701169379e-8"
"rh_parstriangularis_thickness","rh_parstriangularis_thickness",0.0104890108750345,"0.039560815781560826864612663894474571960456896479083691012068136","4.6286154464426167431596816756535"
"rh_pericalcarine_thickness","rh_pericalcarine_thickness",-0.0200746919032975,"8.2100932139755145250191128070159376387572461760837873906004922e-5","0.0096058090603513519942723619842147"
"rh_postcentral_thickness","rh_postcentral_thickness",0.051403122578073,"5.6754172534067792264775985934359451448650089037255727643910688e-24","6.6402381864859316949787903543174e-22"
"rh_posteriorcingulate_thickness","rh_posteriorcingulate_thickness",0.0769741606827752,"7.4208496844052033973365647690071865971872083029679535021185432e-52","8.6823941307540879748837807797343e-50"
"rh_precentral_thickness","rh_precentral_thickness",0.0582692899544939,"2.3262402143506632477031029964648091653400468754106042821493544e-30","2.7217010507902759998126305058633e-28"
