"","metrics","coeff","formatMpfr.p.val.","formatMpfr.p.adj."
"rh_bankssts_thickness","rh_bankssts_thickness",0.0162786099240119,"0.0013887619779622392344019548761313815226315913828804870588156946","1.3290452129098629473226708164572"
"rh_caudalanteriorcingulate_thickness","rh_caudalanteriorcingulate_thickness",0.109177478359884,"4.0825166663284764184418310523253081183974282597200177835815551e-103","3.9069684496763519324488323170760e-100"
"rh_caudalmiddlefrontal_thickness","rh_caudalmiddlefrontal_thickness",0.0251953223409174,"7.7029220320245195690395891707294523565584004646999650944050597e-7","0.00073716963846474652275708868363907"
"rh_cuneus_thickness","rh_cuneus_thickness",0.013447104879392,"0.0083384969830044002356659817895453871171861090396615173901158057","7.9799416127352110255323445725969"
"rh_entorhinal_thickness","rh_entorhinal_thickness",0.0410425232212722,"7.4047277077552214239318543648753200704038728718251897259173979e-16","7.0863244163217469027027846271876e-13"
"rh_fusiform_thickness","rh_fusiform_thickness",0.0477456963592094,"6.2426557837584001519194896970746944771628681284072127606535360e-21","5.9742215850567889453869516400980e-18"
"rh_inferiorparietal_thickness","rh_inferiorparietal_thickness",-0.0228502463644373,"7.2915217341912234879088871417047845698231507273416870586718150e-6","0.0069779862996210008779288049946143"
"rh_inferiortemporal_thickness","rh_inferiortemporal_thickness",0.0147078846501223,"0.0038912688821718393785442444134814523602930801293856246016462796","3.7239443202384502852668419037021"
"rh_isthmuscingulate_thickness","rh_isthmuscingulate_thickness",0.0211466417233797,"3.3415206746724955952924699392887543660692957191028568132905270e-5","0.031978352856615782846948937319001"
"rh_lateraloccipital_thickness","rh_lateraloccipital_thickness",-0.0158349500491664,"0.0018075064857650399240468595422344710601130710654813112631237403","1.7297837068771432073128445819177"
"rh_lateralorbitofrontal_thickness","rh_lateralorbitofrontal_thickness",-0.000251055192831318,"0.96072468027728066192369299153700440948921433911508314160166128","919.41351902535759346097419290058"
"rh_lingual_thickness","rh_lingual_thickness",0.0414387308367854,"4.1198915229308661951216114561587263994728781740448688820360465e-16","3.9427361874448389487313821635450e-13"
"rh_medialorbitofrontal_thickness","rh_medialorbitofrontal_thickness",0.0132434845993131,"0.0093900502070213079500917576205892763969649525743976658841478911","8.9862780481193917082378120428986"
"rh_middletemporal_thickness","rh_middletemporal_thickness",0.0552132868244903,"1.9314527579225265535284743258894905966408302487383882161053197e-27","1.8484002893318579117267499298763e-24"
"rh_parahippocampal_thickness","rh_parahippocampal_thickness",0.0601680447973012,"2.7776772093454985945242569066389442153735494412239211217940672e-32","2.6582370893436421549597138596551e-29"
"rh_paracentral_thickness","rh_paracentral_thickness",0.056537219457934,"1.1131353166321867297504126950435005781332096278827413963164403e-28","1.0652704980170027003711449491559e-25"
"rh_parsopercularis_thickness","rh_parsopercularis_thickness",-0.000446057811285917,"0.93025002298706895697575248457092235884927708056757282130136153","890.24927199862499182579512773411"
"rh_parsorbitalis_thickness","rh_parsorbitalis_thickness",0.0328472769797438,"1.1349545512797341129257864247328978856292834035210529340824995e-10","1.0861515055747055460699776084694e-7"
"rh_parstriangularis_thickness","rh_parstriangularis_thickness",0.0104890108750345,"0.039560815781560826864612663894474571960456896479083691012068136","37.859700702953711309434319347034"
"rh_pericalcarine_thickness","rh_pericalcarine_thickness",-0.0200746919032975,"8.2100932139755145250191128070159376387572461760837873906004922e-5","0.078570592057745674004432909563175"
"rh_postcentral_thickness","rh_postcentral_thickness",0.051403122578073,"5.6754172534067792264775985934359451448650089037255727643910688e-24","5.4313743115102877197390618539157e-21"
"rh_posteriorcingulate_thickness","rh_posteriorcingulate_thickness",0.0769741606827752,"7.4208496844052033973365647690071865971872083029679535021185432e-52","7.1017531479757796512510924839391e-49"
"rh_precentral_thickness","rh_precentral_thickness",0.0582692899544939,"2.3262402143506632477031029964648091653400468754106042821493544e-30","2.2262118851335847280518695676157e-27"
"rh_precuneus_thickness","rh_precuneus_thickness",0.0399738908818124,"4.2126264476248996612541119123628206603235271216156180453211968e-15","4.0314835103770289758201851001326e-12"
