"","metrics","coeff","formatMpfr.p.val.","formatMpfr.p.adj."
"BRIA.BRIA.v_intra_ATRR","BRIA.BRIA.v_intra_ATRR",0.00314250374427389,"0.53831008758053555432776096741910822093895942852488144564509541","452.18047356764986563531921263188"
"BRIA.BRIA.v_intra_CSTR","BRIA.BRIA.v_intra_CSTR",-0.0310619181112624,"1.3200035838608449156177175336212269924981295515196509445684367e-9","1.1088030104431097291188827282414e-6"
"BRIA.BRIA.v_intra_CGR","BRIA.BRIA.v_intra_CGR",-0.0243041036681491,"1.8317463331874062316868854872080663425126830807851863823818249e-6","0.0015386669198774212346169838092546"
"BRIA.BRIA.v_intra_IFOFR","BRIA.BRIA.v_intra_IFOFR",0.0288209719962016,"1.8679845228352575392853884852495034000909912102571227188289430e-8","1.5691069991816163329997263276099e-5"
"BRIA.BRIA.v_intra_ILFR","BRIA.BRIA.v_intra_ILFR",0.020157611094483,"8.0443432304670317737598188770457292958707275646726544313898465e-5","0.067572483135923066899582478567219"
"BRIA.BRIA.v_intra_SLFR","BRIA.BRIA.v_intra_SLFR",0.026193233886601,"3.2946155315849592451037255314217774108770053155031824337867524e-7","0.00027674770465313657658871294463928"
"BRIA.BRIA.v_intra_UFR","BRIA.BRIA.v_intra_UFR",-0.0574078050081704,"2.5387519848240442126397472997442363318756575489609478526368766e-29","2.1325516672521971386173877317842e-26"
"BRIA.BRIA.v_intra_SLTFR","BRIA.BRIA.v_intra_SLTFR",-0.0248524051656035,"3.0301956415532802498353171180821929570991326921892428373497749e-7","0.00025453643389047554098616663791889"
"BRIA.BRIA.v_intra_CorticospinaltractR","BRIA.BRIA.v_intra_CorticospinaltractR",-0.0155937529734367,"0.0023251563801090692386181764356649782000499477802593818772391858","1.9531313592916181604392682059581"
"BRIA.BRIA.v_intra_MediallemniscusR","BRIA.BRIA.v_intra_MediallemniscusR",-0.0107700810866309,"0.035535453547549553869282395988795481244458693830838678780570892","29.849780979941625250197212630579"
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR",0.0396054575407301,"1.1146671571795762966041006642332900315595566467571363584501063e-14","9.3632041203084408914744455795562e-12"
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR",-0.00264616624948734,"0.60597897021549172821128645248006220111868080839554551270632362","509.02233498101305169748062008319"
"BRIA.BRIA.v_intra_CerebralpeduncleR","BRIA.BRIA.v_intra_CerebralpeduncleR",-0.123479226683442,"2.7804163097321261074475945151579797134787282446323548144845119e-135","2.3355497001749859302559793927333e-132"
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR",0.073110637889126,"1.7437284938325906276924071046579283677192059724565357602371011e-46","1.4647319348193761272616219679126e-43"
"BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR",-0.0125766214266164,"0.013787413791411330418386995228889320496885465176190497371795571","11.581427584785517551445075992263"
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR",0.0611003936549469,"4.7021139833318647791601694175421160998897504440831462998255820e-33","3.9497757459987664144945423107336e-30"
"BRIA.BRIA.v_intra_AnteriorcoronaradiataR","BRIA.BRIA.v_intra_AnteriorcoronaradiataR",0.0613173937241779,"5.0630251784690735894135446494036216643874293382798806637091907e-33","4.2529411499140218151073775055002e-30"
"BRIA.BRIA.v_intra_SuperiorcoronaradiataR","BRIA.BRIA.v_intra_SuperiorcoronaradiataR",0.11182218211826,"8.2020847120266053129054865258099309696804675307748204502615228e-107","6.8897511581023484628406086816765e-104"
"BRIA.BRIA.v_intra_PosteriorcoronaradiataR","BRIA.BRIA.v_intra_PosteriorcoronaradiataR",0.153304385518766,"9.6789261846379580812486485038697608470312686278546559828868143e-202","8.1302979950958847882488647432492e-199"
