"","metrics_list..df..","beta","t"
"rh_bankssts_thickness","rh_bankssts_thickness",0.0237349080628328,3.79816540858429
"rh_caudalanteriorcingulate_thickness","rh_caudalanteriorcingulate_thickness",0.102138390880187,16.4355561009518
"rh_caudalmiddlefrontal_thickness","rh_caudalmiddlefrontal_thickness",0.0274467151064369,4.39849538124327
"rh_cuneus_thickness","rh_cuneus_thickness",0.0125436470446,2.00889689542613
"rh_entorhinal_thickness","rh_entorhinal_thickness",0.0404659908780282,6.48439470390582
"rh_fusiform_thickness","rh_fusiform_thickness",0.0549460401842841,8.80346957118512
"rh_inferiorparietal_thickness","rh_inferiorparietal_thickness",0.00265371881821482,0.424894050509431
"rh_inferiortemporal_thickness","rh_inferiortemporal_thickness",0.0250414709640634,4.00709539917494
"rh_isthmuscingulate_thickness","rh_isthmuscingulate_thickness",0.022760249962363,3.64673472910767
"rh_lateraloccipital_thickness","rh_lateraloccipital_thickness",0.00761158013921579,1.21816937625103
"rh_lateralorbitofrontal_thickness","rh_lateralorbitofrontal_thickness",0.00764008391041625,1.22377715900726
"rh_lingual_thickness","rh_lingual_thickness",0.0390089741669685,6.25218898468128
"rh_medialorbitofrontal_thickness","rh_medialorbitofrontal_thickness",0.0196940919308315,3.15548447942052
"rh_middletemporal_thickness","rh_middletemporal_thickness",0.0559360935166249,8.96451311863821
"rh_parahippocampal_thickness","rh_parahippocampal_thickness",0.0522634710520695,8.3801845478955
"rh_paracentral_thickness","rh_paracentral_thickness",0.0594656840910776,9.53997101353491
"rh_parsopercularis_thickness","rh_parsopercularis_thickness",0.00927830498402653,1.48558821146939
"rh_parsorbitalis_thickness","rh_parsorbitalis_thickness",0.0315500412571039,5.05632154088258
"rh_parstriangularis_thickness","rh_parstriangularis_thickness",0.017938415671573,2.87329612163076
"rh_pericalcarine_thickness","rh_pericalcarine_thickness",-0.0198668364175825,-3.18292965323643
"rh_postcentral_thickness","rh_postcentral_thickness",0.0420825712732132,6.74588820782448
"rh_posteriorcingulate_thickness","rh_posteriorcingulate_thickness",0.0705978960389356,11.3347917920512
"rh_precentral_thickness","rh_precentral_thickness",0.056447364969574,9.05589475068614
"rh_precuneus_thickness","rh_precuneus_thickness",0.0483185784631772,7.74784493595421
"rh_rostralanteriorcingulate_thickness","rh_rostralanteriorcingulate_thickness",0.0828521295363667,13.3146203421499
"rh_rostralmiddlefrontal_thickness","rh_rostralmiddlefrontal_thickness",-0.0995484346509828,-15.8078820091408
"rh_superiorfrontal_thickness","rh_superiorfrontal_thickness",-0.0197205551379344,-3.15938036903612
"rh_superiorparietal_thickness","rh_superiorparietal_thickness",0.0693705664518342,11.1297115384722
"rh_superiortemporal_thickness","rh_superiortemporal_thickness",0.0541618219142279,8.68173194746498
"rh_supramarginal_thickness","rh_supramarginal_thickness",0.0481871925973899,7.72460475487676
"rh_frontalpole_thickness","rh_frontalpole_thickness",0.01458896041223,2.33688638652469
"rh_temporalpole_thickness","rh_temporalpole_thickness",0.00382310808414901,0.611813229455859
"rh_transversetemporal_thickness","rh_transversetemporal_thickness",0.030909536030088,4.94113524455335
"rh_insula_thickness","rh_insula_thickness",0.027011588307611,4.3289620711863
"rh_bankssts_volume","rh_bankssts_volume",0.00472005650486474,0.756142060131308
"rh_caudalanteriorcingulate_volume","rh_caudalanteriorcingulate_volume",0.00383490570549733,0.614343524443594
"rh_caudalmiddlefrontal_volume","rh_caudalmiddlefrontal_volume",-0.0181433130549783,-2.90698041101046
"rh_cuneus_volume","rh_cuneus_volume",0.0180394610233274,2.88940915933463
"rh_entorhinal_volume","rh_entorhinal_volume",0.0197508667792497,3.16401140469882
"rh_fusiform_volume","rh_fusiform_volume",0.0240562408737895,3.85461334444173
"rh_inferiorparietal_volume","rh_inferiorparietal_volume",-0.0495874794877657,-7.95035499285149
"rh_inferiortemporal_volume","rh_inferiortemporal_volume",0.0168110872781508,2.69344610969285
"rh_isthmuscingulate_volume","rh_isthmuscingulate_volume",0.00931254945919712,1.49182219863601
"rh_lateraloccipital_volume","rh_lateraloccipital_volume",0.0078777627521094,1.26205732364452
"rh_lateralorbitofrontal_volume","rh_lateralorbitofrontal_volume",-0.0198863757987883,-3.18633299913759
