"","metrics_list..df..","beta","t"
"rh_bankssts_thickness","rh_bankssts_thickness",0.00425777022181196,0.652085783535046
"rh_caudalanteriorcingulate_thickness","rh_caudalanteriorcingulate_thickness",0.10709081564256,16.5040584429145
"rh_caudalmiddlefrontal_thickness","rh_caudalmiddlefrontal_thickness",0.0321575191699819,4.93069788868109
"rh_cuneus_thickness","rh_cuneus_thickness",0.0187249740151558,2.87004626953973
"rh_entorhinal_thickness","rh_entorhinal_thickness",0.0416159680044401,6.38113135906413
"rh_fusiform_thickness","rh_fusiform_thickness",0.0441339517393254,6.76998837917344
"rh_inferiorparietal_thickness","rh_inferiorparietal_thickness",-0.0364374668850745,-5.5874785131071
"rh_inferiortemporal_thickness","rh_inferiortemporal_thickness",0.0105819700265241,1.62172329721029
"rh_isthmuscingulate_thickness","rh_isthmuscingulate_thickness",0.0289510525329076,4.43804763373045
"rh_lateraloccipital_thickness","rh_lateraloccipital_thickness",-0.0400785120956233,-6.13296693887891
"rh_lateralorbitofrontal_thickness","rh_lateralorbitofrontal_thickness",-0.0020375572855228,-0.312230955584094
"rh_lingual_thickness","rh_lingual_thickness",0.0444970951337876,6.82434870692856
"rh_medialorbitofrontal_thickness","rh_medialorbitofrontal_thickness",0.00786200560706365,1.20502965098388
"rh_middletemporal_thickness","rh_middletemporal_thickness",0.0594594961179996,9.12866075697167
"rh_parahippocampal_thickness","rh_parahippocampal_thickness",0.071179388555319,10.9353949386657
"rh_paracentral_thickness","rh_paracentral_thickness",0.0581856491964606,8.93368299042851
"rh_parsopercularis_thickness","rh_parsopercularis_thickness",0.00481696951271611,0.73798649993375
"rh_parsorbitalis_thickness","rh_parsorbitalis_thickness",0.0424042362130231,6.50508448985772
"rh_parstriangularis_thickness","rh_parstriangularis_thickness",0.0154272766648021,2.36387557288391
"rh_pericalcarine_thickness","rh_pericalcarine_thickness",-0.0165673929843331,-2.53970774234195
"rh_postcentral_thickness","rh_postcentral_thickness",0.0613639016559031,9.41868419673336
"rh_posteriorcingulate_thickness","rh_posteriorcingulate_thickness",0.0726948024957209,11.1691525900111
"rh_precentral_thickness","rh_precentral_thickness",0.0709560353974265,10.9010219562245
"rh_precuneus_thickness","rh_precuneus_thickness",0.0413700921565861,6.34511122225586
