"","metrics_list..df..","beta","t"
"rh_bankssts_thickness","rh_bankssts_thickness",0.017008205789669,3.76610716313
"rh_caudalanteriorcingulate_thickness","rh_caudalanteriorcingulate_thickness",0.106894504773799,23.8146125939404
"rh_caudalmiddlefrontal_thickness","rh_caudalmiddlefrontal_thickness",0.0299398421801482,6.63778159143391
"rh_cuneus_thickness","rh_cuneus_thickness",0.015055385187174,3.33608562529821
"rh_entorhinal_thickness","rh_entorhinal_thickness",0.0390626897662932,8.6591541575761
"rh_fusiform_thickness","rh_fusiform_thickness",0.0521581032230881,11.568608351869
"rh_inferiorparietal_thickness","rh_inferiorparietal_thickness",-0.0151089351540389,-3.34755001388076
"rh_inferiortemporal_thickness","rh_inferiortemporal_thickness",0.0191934366098507,4.25171329874935
"rh_isthmuscingulate_thickness","rh_isthmuscingulate_thickness",0.0273196936161425,6.05601758831068
"rh_lateraloccipital_thickness","rh_lateraloccipital_thickness",-0.0100205189310521,-2.2171246799287
"rh_lateralorbitofrontal_thickness","rh_lateralorbitofrontal_thickness",0.00292707190940417,0.648578363768891
"rh_lingual_thickness","rh_lingual_thickness",0.0421568705872485,9.34879196238849
"rh_medialorbitofrontal_thickness","rh_medialorbitofrontal_thickness",0.0130243951128662,2.88661588505814
"rh_middletemporal_thickness","rh_middletemporal_thickness",0.058881279046427,13.0652009443696
"rh_parahippocampal_thickness","rh_parahippocampal_thickness",0.0644898448038921,14.3178785161147
"rh_paracentral_thickness","rh_paracentral_thickness",0.0609613829072288,13.5339684757258
"rh_parsopercularis_thickness","rh_parsopercularis_thickness",0.00595207663563649,1.31848210833297
"rh_parsorbitalis_thickness","rh_parsorbitalis_thickness",0.0353485756273818,7.83832816879587
"rh_parstriangularis_thickness","rh_parstriangularis_thickness",0.0155131047096983,3.43714499568663
"rh_pericalcarine_thickness","rh_pericalcarine_thickness",-0.0198675041898231,-4.40394218944763
"rh_postcentral_thickness","rh_postcentral_thickness",0.0509078759777095,11.2929740147674
"rh_posteriorcingulate_thickness","rh_posteriorcingulate_thickness",0.073945957837226,16.429715433781
"rh_precentral_thickness","rh_precentral_thickness",0.0652003561537123,14.4790415719638
"rh_precuneus_thickness","rh_precuneus_thickness",0.0464042713329487,10.2933175927997
"rh_rostralanteriorcingulate_thickness","rh_rostralanteriorcingulate_thickness",0.0925429444343654,20.5920746588665
"rh_rostralmiddlefrontal_thickness","rh_rostralmiddlefrontal_thickness",-0.101216300886161,-22.2797172214979
"rh_superiorfrontal_thickness","rh_superiorfrontal_thickness",-0.0130617970625415,-2.89453496519045
"rh_superiorparietal_thickness","rh_superiorparietal_thickness",0.085470262337949,18.9909136908147
"rh_superiortemporal_thickness","rh_superiortemporal_thickness",0.0503228706849225,11.1571860011421
"rh_supramarginal_thickness","rh_supramarginal_thickness",0.0524283471317168,11.6298150829149
"rh_frontalpole_thickness","rh_frontalpole_thickness",0.0162701144107279,3.60579021356516
"rh_temporalpole_thickness","rh_temporalpole_thickness",0.00155923827798804,0.345343417119081
"rh_transversetemporal_thickness","rh_transversetemporal_thickness",0.04025365356712,8.91109464392376
"rh_insula_thickness","rh_insula_thickness",0.0335145367181399,7.43199187896705
"rh_bankssts_volume","rh_bankssts_volume",0.0152191657677116,3.37329556504866
"rh_caudalanteriorcingulate_volume","rh_caudalanteriorcingulate_volume",0.00422419776083896,0.936187260920372
"rh_caudalmiddlefrontal_volume","rh_caudalmiddlefrontal_volume",-0.0152543520776732,-3.38064609494856
"rh_cuneus_volume","rh_cuneus_volume",0.0226721463908749,5.02467596695601
"rh_entorhinal_volume","rh_entorhinal_volume",0.015022305721642,3.32955887544417
"rh_fusiform_volume","rh_fusiform_volume",0.0299461288481372,6.63965828032747
"rh_inferiorparietal_volume","rh_inferiorparietal_volume",-0.0453809490778918,-10.062408957119
"rh_inferiortemporal_volume","rh_inferiortemporal_volume",0.0217037200006643,4.81130120529108
"rh_isthmuscingulate_volume","rh_isthmuscingulate_volume",0.00925609777934822,2.05114131954838
"rh_lateraloccipital_volume","rh_lateraloccipital_volume",0.00995959554014043,2.20743450229341
"rh_lateralorbitofrontal_volume","rh_lateralorbitofrontal_volume",-0.0131580343170835,-2.91597503195157
"rh_lingual_volume","rh_lingual_volume",0.0277143628562144,6.14327198630957
"rh_medialorbitofrontal_volume","rh_medialorbitofrontal_volume",-0.00950285516074994,-2.10609477541684
"rh_middletemporal_volume","rh_middletemporal_volume",0.074525949573408,16.5558198526243
"rh_parahippocampal_volume","rh_parahippocampal_volume",0.0296585147792434,6.57569767348821
"rh_paracentral_volume","rh_paracentral_volume",-0.0191376245714517,-4.24183691310259
"rh_parsopercularis_volume","rh_parsopercularis_volume",-0.0271316397847315,-6.01509638068287
"rh_parsorbitalis_volume","rh_parsorbitalis_volume",-0.00652605109714042,-1.44592418815453
"rh_parstriangularis_volume","rh_parstriangularis_volume",0.00574979091966721,1.27423515286765
"rh_pericalcarine_volume","rh_pericalcarine_volume",0.032029832204602,7.10089296936454
"rh_postcentral_volume","rh_postcentral_volume",-0.0103159226945417,-2.28634247512538
"rh_posteriorcingulate_volume","rh_posteriorcingulate_volume",-0.00753955276279848,-1.67099835713565
"rh_precentral_volume","rh_precentral_volume",0.0153785786780759,3.40835322630795
"rh_precuneus_volume","rh_precuneus_volume",0.0201942071114823,4.47606467063283
"rh_rostralanteriorcingulate_volume","rh_rostralanteriorcingulate_volume",-0.018826591223475,-4.17262326926337
"rh_rostralmiddlefrontal_volume","rh_rostralmiddlefrontal_volume",0.0346644659689106,7.68650709914835
"rh_superiorfrontal_volume","rh_superiorfrontal_volume",-0.00762066502455787,-1.68888921523369
"rh_superiorparietal_volume","rh_superiorparietal_volume",0.0140228016424249,3.10783301857721
"rh_superiortemporal_volume","rh_superiortemporal_volume",0.0135442202102394,3.00199056611816
"rh_supramarginal_volume","rh_supramarginal_volume",0.00403724440342223,0.894768046399597
"rh_frontalpole_volume","rh_frontalpole_volume",0.0428187138738048,9.49826455084019
"rh_temporalpole_volume","rh_temporalpole_volume",0.0409267261349989,9.07792269707079
"rh_transversetemporal_volume","rh_transversetemporal_volume",0.00414127064806639,0.917788170255872
"rh_insula_volume","rh_insula_volume",-0.00814100675886179,-1.80419640507078
"rh_bankssts_area","rh_bankssts_area",0.00362384577138908,0.803067972867501
"rh_caudalanteriorcingulate_area","rh_caudalanteriorcingulate_area",-0.0225888869855243,-5.00758490821316
"rh_caudalmiddlefrontal_area","rh_caudalmiddlefrontal_area",-0.0115588704942058,-2.56173461643159
"rh_cuneus_area","rh_cuneus_area",0.0278945182454552,6.18401628963227
"rh_entorhinal_area","rh_entorhinal_area",-0.0522588829904698,-11.5974939690815
"rh_fusiform_area","rh_fusiform_area",0.0125524161879604,2.78206613518045
"rh_inferiorparietal_area","rh_inferiorparietal_area",0.0257540491591206,5.70767909714814
"rh_inferiortemporal_area","rh_inferiortemporal_area",0.0250260925742996,5.54732344886951
"rh_isthmuscingulate_area","rh_isthmuscingulate_area",-0.000170718358072517,-0.037826461972265
"rh_lateraloccipital_area","rh_lateraloccipital_area",-6.73342153801409e-06,-0.00149229195913854
"rh_lateralorbitofrontal_area","rh_lateralorbitofrontal_area",0.0440481206049793,9.77102641814549
"rh_lingual_area","rh_lingual_area",0.0312181604171897,6.9215138404986
"rh_medialorbitofrontal_area","rh_medialorbitofrontal_area",-0.0101042025308084,-2.23942463263735
"rh_middletemporal_area","rh_middletemporal_area",0.0829828331106428,18.453542860133
"rh_parahippocampal_area","rh_parahippocampal_area",0.00214916993626925,0.476280301299597
"rh_paracentral_area","rh_paracentral_area",-0.0174704401918778,-3.87253767263511
