"","metrics_list..df..","beta","t"
"BRIA.BRIA.v_intra_ATRR","BRIA.BRIA.v_intra_ATRR",-0.0134001736181279,-1.92146578412916
"BRIA.BRIA.v_intra_CSTR","BRIA.BRIA.v_intra_CSTR",-0.0866111583780702,-12.388852399466
"BRIA.BRIA.v_intra_CGR","BRIA.BRIA.v_intra_CGR",-0.0623574056107739,-8.8019952588015
"BRIA.BRIA.v_intra_IFOFR","BRIA.BRIA.v_intra_IFOFR",0.0931228807957398,13.3186294379401
"BRIA.BRIA.v_intra_ILFR","BRIA.BRIA.v_intra_ILFR",0.0272509557746635,3.88291380696932
"BRIA.BRIA.v_intra_SLFR","BRIA.BRIA.v_intra_SLFR",0.0717336247521386,10.3943692373167
"BRIA.BRIA.v_intra_UFR","BRIA.BRIA.v_intra_UFR",-0.0643796069878157,-9.31604547606706
"BRIA.BRIA.v_intra_SLTFR","BRIA.BRIA.v_intra_SLTFR",-0.042949962159414,-5.8214734351661
"BRIA.BRIA.v_intra_CorticospinaltractR","BRIA.BRIA.v_intra_CorticospinaltractR",-0.0144498185347204,-2.08945582385822
"BRIA.BRIA.v_intra_MediallemniscusR","BRIA.BRIA.v_intra_MediallemniscusR",-0.0184770721594638,-2.67023039376965
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR",0.0644777641600582,9.33046582802189
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR",-0.0230663715088914,-3.33144041581336
"BRIA.BRIA.v_intra_CerebralpeduncleR","BRIA.BRIA.v_intra_CerebralpeduncleR",-0.132720339164543,-19.0287218425987
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR",0.0851506996108062,12.3273021522925
"BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR",-0.0140874542656594,-2.00637846058964
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR",0.055210784365087,7.99211476305294
"BRIA.BRIA.v_intra_AnteriorcoronaradiataR","BRIA.BRIA.v_intra_AnteriorcoronaradiataR",0.0763205384627397,11.0616658256155
"BRIA.BRIA.v_intra_SuperiorcoronaradiataR","BRIA.BRIA.v_intra_SuperiorcoronaradiataR",0.100640909306154,14.6001225350044
"BRIA.BRIA.v_intra_PosteriorcoronaradiataR","BRIA.BRIA.v_intra_PosteriorcoronaradiataR",0.178013376657225,26.1083456499282
