"","metrics_list..df..","beta","t"
"BRIA.BRIA.v_intra_ATRR","BRIA.BRIA.v_intra_ATRR",0.038169784380413,5.2457201056959
"BRIA.BRIA.v_intra_CSTR","BRIA.BRIA.v_intra_CSTR",-0.050967699279408,-6.99792231673252
"BRIA.BRIA.v_intra_CGR","BRIA.BRIA.v_intra_CGR",-0.00596290676469704,-0.813028168750387
"BRIA.BRIA.v_intra_IFOFR","BRIA.BRIA.v_intra_IFOFR",0.0895887911215572,12.2978771527585
"BRIA.BRIA.v_intra_ILFR","BRIA.BRIA.v_intra_ILFR",0.0204055722406486,2.77073333698047
"BRIA.BRIA.v_intra_SLFR","BRIA.BRIA.v_intra_SLFR",0.0592042379450196,8.16888432224845
"BRIA.BRIA.v_intra_UFR","BRIA.BRIA.v_intra_UFR",-0.0675976250726421,-9.32549300945515
"BRIA.BRIA.v_intra_SLTFR","BRIA.BRIA.v_intra_SLTFR",-0.0187185916523174,-2.45690306108417
"BRIA.BRIA.v_intra_CorticospinaltractR","BRIA.BRIA.v_intra_CorticospinaltractR",-0.0152130629554977,-2.09774370179526
"BRIA.BRIA.v_intra_MediallemniscusR","BRIA.BRIA.v_intra_MediallemniscusR",-0.00323254448631794,-0.443731236398963
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR",0.0610446198864076,8.42457541265025
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR",-0.0112190295461923,-1.54660766163575
"BRIA.BRIA.v_intra_CerebralpeduncleR","BRIA.BRIA.v_intra_CerebralpeduncleR",-0.12240196805093,-16.8262307937496
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR",0.0782886544551614,10.8023076845089
"BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR",-0.0100776482472474,-1.38701224756585
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR",0.0640447482461194,8.83378710417399
"BRIA.BRIA.v_intra_AnteriorcoronaradiataR","BRIA.BRIA.v_intra_AnteriorcoronaradiataR",0.0645350487149943,8.9150909705799
"BRIA.BRIA.v_intra_SuperiorcoronaradiataR","BRIA.BRIA.v_intra_SuperiorcoronaradiataR",0.117643518201639,16.3156015646346
"BRIA.BRIA.v_intra_PosteriorcoronaradiataR","BRIA.BRIA.v_intra_PosteriorcoronaradiataR",0.168634536546192,23.5545241480012
