"","metrics_list..df..","beta","t"
"BRIA.BRIA.v_intra_ATRR","BRIA.BRIA.v_intra_ATRR",0.00931773273426359,1.84984855544313
"BRIA.BRIA.v_intra_CSTR","BRIA.BRIA.v_intra_CSTR",-0.0720819650884427,-14.2995009721804
"BRIA.BRIA.v_intra_CGR","BRIA.BRIA.v_intra_CGR",-0.0390180261979134,-7.65926322489137
"BRIA.BRIA.v_intra_IFOFR","BRIA.BRIA.v_intra_IFOFR",0.0884102167266465,17.5243310009977
"BRIA.BRIA.v_intra_ILFR","BRIA.BRIA.v_intra_ILFR",0.0244126948722187,4.80367317312047
"BRIA.BRIA.v_intra_SLFR","BRIA.BRIA.v_intra_SLFR",0.0668517231167931,13.3733555827808
"BRIA.BRIA.v_intra_UFR","BRIA.BRIA.v_intra_UFR",-0.0722439360509858,-14.4528173810343
"BRIA.BRIA.v_intra_SLTFR","BRIA.BRIA.v_intra_SLTFR",-0.0350055645130816,-6.6051275416373
"BRIA.BRIA.v_intra_CorticospinaltractR","BRIA.BRIA.v_intra_CorticospinaltractR",-0.020672406568285,-4.12948251063141
"BRIA.BRIA.v_intra_MediallemniscusR","BRIA.BRIA.v_intra_MediallemniscusR",-0.0120728972572779,-2.4064300001151
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR",0.0660815244904424,13.2132948519523
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR",-0.0177099776494385,-3.53525367830549
"BRIA.BRIA.v_intra_CerebralpeduncleR","BRIA.BRIA.v_intra_CerebralpeduncleR",-0.137834243183223,-27.4358108740269
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR",0.0847925496700719,16.955345872986
"BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR",-0.0133876753534036,-2.65570869284406
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR",0.0663922101571785,13.2816341927778
"BRIA.BRIA.v_intra_AnteriorcoronaradiataR","BRIA.BRIA.v_intra_AnteriorcoronaradiataR",0.0710050582924472,14.2124313084812
"BRIA.BRIA.v_intra_SuperiorcoronaradiataR","BRIA.BRIA.v_intra_SuperiorcoronaradiataR",0.110587055865481,22.1929747414904
"BRIA.BRIA.v_intra_PosteriorcoronaradiataR","BRIA.BRIA.v_intra_PosteriorcoronaradiataR",0.177204860534541,35.8994369073635
"BRIA.BRIA.v_intra_PosteriorthalamicradiationR","BRIA.BRIA.v_intra_PosteriorthalamicradiationR",0.124985411885431,24.9027066822396
"BRIA.BRIA.v_intra_SagittalstratumR","BRIA.BRIA.v_intra_SagittalstratumR",0.0620168163441241,12.3440092509024
"BRIA.BRIA.v_intra_ExternalcapsuleR","BRIA.BRIA.v_intra_ExternalcapsuleR",-0.00629952866425166,-1.2535424237486
"BRIA.BRIA.v_intra_CingulumcingulategyrusR","BRIA.BRIA.v_intra_CingulumcingulategyrusR",-0.024915729083013,-4.88093930234445
"BRIA.BRIA.v_intra_CingulumhippocampusR","BRIA.BRIA.v_intra_CingulumhippocampusR",0.109602892752915,21.9504078738705
"BRIA.BRIA.v_intra_Fornix_StriaterminalisR","BRIA.BRIA.v_intra_Fornix_StriaterminalisR",0.0679481764491839,13.5424600728958
"BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusR","BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusR",0.0459578652039965,9.1435851483563
"BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusR","BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusR",0.13169156941266,26.4936582882775
"BRIA.BRIA.v_intra_UncinatefasciculusR","BRIA.BRIA.v_intra_UncinatefasciculusR",0.0528212319887892,10.5473477116658
"BRIA.BRIA.v_intra_TapetumR","BRIA.BRIA.v_intra_TapetumR",0.24181011320152,49.7959000558637
"BRIA.BRIA.v_intra_CINGR","BRIA.BRIA.v_intra_CINGR",0.0562344824759117,11.1291238130042
"BRIA.BRIA.v_extra_ATRR","BRIA.BRIA.v_extra_ATRR",-0.0205636399050032,-4.0574518369945
"BRIA.BRIA.v_extra_CSTR","BRIA.BRIA.v_extra_CSTR",-0.140436856561962,-27.8756716556606
"BRIA.BRIA.v_extra_CGR","BRIA.BRIA.v_extra_CGR",-0.0862581776178129,-16.9031042652225
"BRIA.BRIA.v_extra_IFOFR","BRIA.BRIA.v_extra_IFOFR",0.0469111316574796,8.76845430641198
"BRIA.BRIA.v_extra_ILFR","BRIA.BRIA.v_extra_ILFR",0.0132928555398421,2.62014974410943
"BRIA.BRIA.v_extra_SLFR","BRIA.BRIA.v_extra_SLFR",0.0317225338257643,6.18429461938051
"BRIA.BRIA.v_extra_UFR","BRIA.BRIA.v_extra_UFR",-0.0720954451233829,-14.4036121476822
"BRIA.BRIA.v_extra_SLTFR","BRIA.BRIA.v_extra_SLTFR",-0.142794420214947,-26.0287919261235
"BRIA.BRIA.v_extra_CorticospinaltractR","BRIA.BRIA.v_extra_CorticospinaltractR",0.0050804164128309,1.01446091363827
"BRIA.BRIA.v_extra_MediallemniscusR","BRIA.BRIA.v_extra_MediallemniscusR",-0.0143709099004453,-2.86794550310757
"BRIA.BRIA.v_extra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_extra_InferiorcerebellarpeduncleR",0.0554610668403128,11.071817283662
"BRIA.BRIA.v_extra_SuperiorcerebellarpeduncleR","BRIA.BRIA.v_extra_SuperiorcerebellarpeduncleR",0.0934817812993215,18.7189243260398
"BRIA.BRIA.v_extra_CerebralpeduncleR","BRIA.BRIA.v_extra_CerebralpeduncleR",-0.161279955533685,-32.3414564527782
"BRIA.BRIA.v_extra_AnteriorlimbofinternalcapsuleR","BRIA.BRIA.v_extra_AnteriorlimbofinternalcapsuleR",0.0335291508836318,6.66768389076714
"BRIA.BRIA.v_extra_.PosteriorlimbofinternalcapsuleR","BRIA.BRIA.v_extra_.PosteriorlimbofinternalcapsuleR",-0.0870591804458907,-17.2296714580987
"BRIA.BRIA.v_extra_RetrolenticularpartofinternalcapsuleR","BRIA.BRIA.v_extra_RetrolenticularpartofinternalcapsuleR",-0.00498575959536347,-0.99401557269265
"BRIA.BRIA.v_extra_AnteriorcoronaradiataR","BRIA.BRIA.v_extra_AnteriorcoronaradiataR",-0.0606575464492839,-12.0955117941035
