"","metrics_list..df..","SS","F.stat","p","p_adj","aic","bic"
"rh_bankssts_thickness","rh_bankssts_thickness",13.8670619354598,14.1835631641728,0.000166010278578601,0.0194232025936964,135248.846102155,135301.524588015
"rh_caudalanteriorcingulate_thickness","rh_caudalanteriorcingulate_thickness",548.171689924937,567.13577299946,1.24818912066838e-124,1.460381271182e-122,134699.156606853,134751.835092713
"rh_caudalmiddlefrontal_thickness","rh_caudalmiddlefrontal_thickness",43.0501884501718,44.0601444555783,3.218171357427e-11,3.76526048818959e-09,135218.984514632,135271.663000492
"rh_cuneus_thickness","rh_cuneus_thickness",10.8818088436819,11.1294672993169,0.000850313748861131,0.0994867086167524,135251.899711323,135304.578197183
"rh_entorhinal_thickness","rh_entorhinal_thickness",73.2151330378765,74.9809507246642,4.89755334271677e-18,5.73013741097862e-16,135188.098760968,135240.777246828
"rh_fusiform_thickness","rh_fusiform_thickness",130.521240005211,133.832699198932,6.5325749927599e-31,7.64311274152908e-29,135129.368537804,135182.047023664
"rh_inferiorparietal_thickness","rh_inferiorparietal_thickness",10.9567100944259,11.2060910954272,0.000815918460514994,0.0954624598802543,135251.823097364,135304.501583224
"rh_inferiortemporal_thickness","rh_inferiortemporal_thickness",17.6722505282232,18.0770659747601,2.12541581669327e-05,0.00248673650553112,135244.953501251,135297.631987111
"rh_isthmuscingulate_thickness","rh_isthmuscingulate_thickness",35.8401740457048,36.6753490299278,1.4056555677941e-09,1.6446170143191e-07,135226.363877052,135279.042362912
"rh_lateraloccipital_thickness","rh_lateraloccipital_thickness",4.8068782343762,4.91564184634593,0.0266192363620603,3.11445065436105,135258.113145835,135310.791631695
"rh_lateralorbitofrontal_thickness","rh_lateralorbitofrontal_thickness",0.411384989558428,0.420653893945509,0.516614044733374,60.4438432338048,135262.608351996,135315.286837856
"rh_lingual_thickness","rh_lingual_thickness",85.3195992009496,87.3999111560205,9.23291884439496e-21,1.08025150479421e-18,135175.699466307,135228.377952167
"rh_medialorbitofrontal_thickness","rh_medialorbitofrontal_thickness",8.14760549977655,8.33255126786374,0.00389582849344462,0.45581193373302,135254.696351929,135307.374837789
"rh_middletemporal_thickness","rh_middletemporal_thickness",166.348489028489,170.699475716749,6.06558201331817e-39,7.09673095558225e-37,135092.614433478,135145.292919338
"rh_parahippocampal_thickness","rh_parahippocampal_thickness",199.634263470587,205.001645202213,2.10898924218948e-46,2.4675174133617e-44,135058.442334312,135111.120820172
"rh_paracentral_thickness","rh_paracentral_thickness",178.453335619881,183.168302701934,1.17531327393604e-41,1.37511653050517e-39,135080.190074726,135132.868560586
"rh_parsopercularis_thickness","rh_parsopercularis_thickness",1.70004373963457,1.73839506999295,0.187348597191747,21.9197858714344,135261.290503268,135313.968989128
"rh_parsorbitalis_thickness","rh_parsorbitalis_thickness",60.0093691256407,61.4393884817345,4.65931408847631e-15,5.45139748351729e-13,135201.622528229,135254.301014089
"rh_parstriangularis_thickness","rh_parstriangularis_thickness",11.5509108964252,11.8139657213708,0.000588378503327691,0.0688402848893399,135251.215305105,135303.893790965
"rh_pericalcarine_thickness","rh_pericalcarine_thickness",18.959864374141,19.3947068079934,1.06530656688879e-05,0.00124640868325989,135243.636237073,135296.314722934
"rh_postcentral_thickness","rh_postcentral_thickness",124.391994703154,127.531262098207,1.54882105482502e-29,1.81212063414528e-27,135135.653531464,135188.332017324
"rh_posteriorcingulate_thickness","rh_posteriorcingulate_thickness",262.514683962079,269.93554923502,1.71498565191689e-60,2.00653321274276e-58,134993.821139553,135046.499625414
"rh_precentral_thickness","rh_precentral_thickness",204.134111975778,209.642644842656,2.06933489282412e-47,2.42112182460423e-45,135053.820799235,135106.499285096
"rh_precuneus_thickness","rh_precuneus_thickness",103.39062347397,105.95238706624,8.01537432001574e-25,9.37798795441842e-23,135157.182328439,135209.860814299
"rh_rostralanteriorcingulate_thickness","rh_rostralanteriorcingulate_thickness",411.064931292174,424.033538756327,8.2312943423196e-94,9.63061438051394e-92,134840.812296148,134893.490782008
"rh_rostralmiddlefrontal_thickness","rh_rostralmiddlefrontal_thickness",480.486950698323,496.385799469909,2.08802057689853e-109,2.44298407497128e-107,134769.139198644,134821.817684504
"rh_superiorfrontal_thickness","rh_superiorfrontal_thickness",8.1923629452067,8.37833266471137,0.00379891524854853,0.444473084080178,135254.65057373,135307.32905959
"rh_superiorparietal_thickness","rh_superiorparietal_thickness",350.082451194008,360.654802811969,3.99186239248183e-80,4.67047899920375e-78,134903.684087852,134956.362573712
"rh_superiortemporal_thickness","rh_superiortemporal_thickness",121.42625805016,124.482799464075,7.16793606845857e-29,8.38648520009653e-27,135138.69433436,135191.372820221
"rh_supramarginal_thickness","rh_supramarginal_thickness",131.902118388061,135.252598862795,3.20159144864361e-31,3.74586199491303e-29,135127.952456844,135180.630942704
"rh_frontalpole_thickness","rh_frontalpole_thickness",12.7119068631218,13.0017230642387,0.000311519525732578,0.0364477845107117,135250.027730895,135302.706216755
"rh_temporalpole_thickness","rh_temporalpole_thickness",0.116634925630933,0.119262075744957,0.729837722177421,85.3910134947582,135262.909773494,135315.588259354
"rh_transversetemporal_thickness","rh_transversetemporal_thickness",77.5304073687148,79.4076077529648,5.22580591763504e-19,6.11419292363299e-17,135183.678746589,135236.357232449
"rh_insula_thickness","rh_insula_thickness",53.9558655069413,55.2345032890294,1.08747222568798e-13,1.27234250405494e-11,135207.820531742,135260.499017602
"rh_bankssts_volume","rh_bankssts_volume",11.1258512369168,11.3791229691767,0.000743328248968599,0.0869694051293261,135251.650088153,135304.328574013
"rh_caudalanteriorcingulate_volume","rh_caudalanteriorcingulate_volume",0.857126378999965,0.876446587504686,0.349181487719827,40.8542340632197,135262.152518012,135314.831003872
"rh_caudalmiddlefrontal_volume","rh_caudalmiddlefrontal_volume",11.1743797617164,11.4287680192889,0.000723731834375373,0.0846766246219187,135251.60044972,135304.27893558
"rh_cuneus_volume","rh_cuneus_volume",24.678299751642,25.2473685729026,5.06089438062678e-07,5.92124642533333e-05,135237.785684832,135290.464170692
"rh_entorhinal_volume","rh_entorhinal_volume",10.8392817594358,11.085962305043,0.000870491087594118,0.101847457248512,135251.943210787,135304.621696647
"rh_fusiform_volume","rh_fusiform_volume",43.0745125821559,44.0850620795178,3.1775010401334e-11,3.71767621695608e-09,135218.959617259,135271.638103119
"rh_inferiorparietal_volume","rh_inferiorparietal_volume",98.8136048852466,101.252074020306,8.55140775865441e-24,1.00051470776257e-21,135161.873013444,135214.551499304
"rh_inferiortemporal_volume","rh_inferiortemporal_volume",22.6278438842928,23.1486192880331,1.50405149384653e-06,0.000175974024780044,135239.883595704,135292.562081564
"rh_isthmuscingulate_volume","rh_isthmuscingulate_volume",4.11415320454398,4.20718071275193,0.0402585985636625,4.71025603194852,135258.821613437,135311.500099297
"rh_lateraloccipital_volume","rh_lateraloccipital_volume",4.76495637084736,4.87276708191314,0.0272884276403058,3.19274603391578,135258.156020694,135310.834506554
"rh_lateralorbitofrontal_volume","rh_lateralorbitofrontal_volume",8.31415391746123,8.50291038696144,0.00354742801414446,0.415049077654902,135254.526004929,135307.20449079
"rh_lingual_volume","rh_lingual_volume",36.8795594828334,37.7397906977762,8.14714982017608e-10,9.53216528960602e-08,135225.300148572,135277.978634432
