"","metrics_list..df..","SS","F.stat","p","p_adj","AICf","BICf"
"rh_bankssts_thickness","rh_bankssts_thickness",13.5753248922338,14.426060470966,0.000146116146780909,0.0170955891733664,69381.5981832011,69430.3534080905
"rh_caudalanteriorcingulate_thickness","rh_caudalanteriorcingulate_thickness",251.622909212398,270.12750434753,2.20997578426084e-60,2.58567166758519e-58,69127.2920065178,69176.0472314072
"rh_caudalmiddlefrontal_thickness","rh_caudalmiddlefrontal_thickness",18.2022577026801,19.3467616188198,1.09454490259151e-05,0.00128061753603207,69376.6798222823,69425.4350471717
"rh_cuneus_thickness","rh_cuneus_thickness",3.79925448971699,4.03566673645459,0.0445588102927255,5.21338080424888,69391.9868176324,69440.7420425218
"rh_entorhinal_thickness","rh_entorhinal_thickness",39.5240662447068,42.0473746760421,9.07530700822034e-11,1.06181091996178e-08,69354.0025349868,69402.7577598762
"rh_fusiform_thickness","rh_fusiform_thickness",72.7470613844926,77.5010764907811,1.41069553834811e-18,1.65051377986729e-16,69318.6263942266,69367.3816191161
"rh_inferiorparietal_thickness","rh_inferiorparietal_thickness",0.16998532087382,0.180534954159661,0.67091757219005,78.4973559462358,69395.8423957592,69444.5976206487
"rh_inferiortemporal_thickness","rh_inferiortemporal_thickness",15.1089230356338,16.0568135380886,6.16482108465147e-05,0.00721284066904222,69379.9680984177,69428.7233233071
"rh_isthmuscingulate_thickness","rh_isthmuscingulate_thickness",12.5149875667194,13.2986741844788,0.00026613346772277,0.0311376157235641,69382.7251696732,69431.4803945626
"rh_lateraloccipital_thickness","rh_lateraloccipital_thickness",1.39714927896421,1.48393662923455,0.223171121589412,26.1110212259612,69394.5387765915,69443.2940014809
"rh_lateralorbitofrontal_thickness","rh_lateralorbitofrontal_thickness",1.41004152981623,1.49763053490783,0.22104784759803,25.8625981689695,69394.5250807618,69443.2803056513
"rh_lingual_thickness","rh_lingual_thickness",36.748386106352,39.0898671001688,4.11288730056014e-10,4.81207814165536e-08,69356.9558375743,69405.7110624638
