"","metrics_list..df..","SS","F.stat","p","p_adj","aic","bic"
"BRIA.BRIA.v_intra_ATRR","BRIA.BRIA.v_intra_ATRR",3.34679793189571,3.42193967807382,0.0643429133081823,54.0480471788732,110220.910085549,110272.359946865
"BRIA.BRIA.v_intra_CSTR","BRIA.BRIA.v_intra_CSTR",198.963686349533,204.47572805339,2.88332661173283e-46,2.42199435385558e-43,110020.362816941,110071.812678257
"BRIA.BRIA.v_intra_CGR","BRIA.BRIA.v_intra_CGR",57.2952504099521,58.6643131481682,1.91297131659725e-14,1.60689590594169e-11,110165.70443306,110217.154294376
"BRIA.BRIA.v_intra_IFOFR","BRIA.BRIA.v_intra_IFOFR",298.04617383868,307.102177032531,1.70793610899487e-68,1.43466633155569e-65,109918.389651345,109969.83951266
"BRIA.BRIA.v_intra_ILFR","BRIA.BRIA.v_intra_ILFR",22.5572439599491,23.0752759541564,1.56356907929737e-06,0.00131339802660979,110201.260889538,110252.710750853
"BRIA.BRIA.v_intra_SLFR","BRIA.BRIA.v_intra_SLFR",174.138920151381,178.846639543494,1.06341180274874e-40,8.93265914308945e-38,110045.870268998,110097.320130313
"BRIA.BRIA.v_intra_UFR","BRIA.BRIA.v_intra_UFR",203.23028554317,208.883930249525,3.18514891558515e-47,2.67552508909152e-44,110015.977211073,110067.427072388
"BRIA.BRIA.v_intra_SLTFR","BRIA.BRIA.v_intra_SLTFR",42.6259119457536,43.6277098412952,4.0225184597817e-11,3.37891550621663e-08,110180.723330647,110232.173191963
"BRIA.BRIA.v_intra_CorticospinaltractR","BRIA.BRIA.v_intra_CorticospinaltractR",16.6723643040532,17.0526258056091,3.64334209689805e-05,0.0306040736139436,110207.281222808,110258.731084124
"BRIA.BRIA.v_intra_MediallemniscusR","BRIA.BRIA.v_intra_MediallemniscusR",5.66340114900959,5.79090534545221,0.0161138948063465,13.5356716373311,110218.541096061,110269.990957377
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR",170.013858509599,174.591160844625,8.94873122633798e-40,7.51693423012391e-37,110050.107160613,110101.557021929
