"","metrics_list..df..","SS","F.stat","p","p_adj","AICf","BICf"
"BRIA.BRIA.v_intra_ATRR","BRIA.BRIA.v_intra_ATRR",3.44625885921778,3.69203075957947,0.0546869123138478,45.9370063436322,56574.6894060098,56622.2376704438
"BRIA.BRIA.v_intra_CSTR","BRIA.BRIA.v_intra_CSTR",142.22363645077,153.483663775753,4.01602678412026e-35,3.37346249866102e-32,56425.434740918,56472.983005352
"BRIA.BRIA.v_intra_CGR","BRIA.BRIA.v_intra_CGR",72.0574745107042,77.4751205359655,1.44897361442702e-18,1.21713783611869e-15,56501.0345296101,56548.5827940441
"BRIA.BRIA.v_intra_IFOFR","BRIA.BRIA.v_intra_IFOFR",164.181614178895,177.385890105166,2.65699690921985e-40,2.23187740374467e-37,56401.7187602798,56449.2670247137
"BRIA.BRIA.v_intra_ILFR","BRIA.BRIA.v_intra_ILFR",14.0655301778133,15.077019632352,0.000103536982654516,0.0869710654297933,56563.3068597943,56610.8551242282
"BRIA.BRIA.v_intra_SLFR","BRIA.BRIA.v_intra_SLFR",100.338130199096,108.042911841677,3.04066611643631e-25,2.5541595378065e-22,56470.597484285,56518.145748719
"BRIA.BRIA.v_intra_UFR","BRIA.BRIA.v_intra_UFR",80.6831277714809,86.788703312149,1.32665442855442e-20,1.11438971998572e-17,56491.7559788516,56539.3042432856
"BRIA.BRIA.v_intra_SLTFR","BRIA.BRIA.v_intra_SLTFR",31.5868921154142,33.8895529563454,5.92044557284185e-09,4.97317428118715e-06,56544.5122497001,56592.060514134
"BRIA.BRIA.v_intra_CorticospinaltractR","BRIA.BRIA.v_intra_CorticospinaltractR",4.07506600294437,4.36582563985467,0.0366790529334024,30.810404464058,56574.0155790998,56621.5638435338
"BRIA.BRIA.v_intra_MediallemniscusR","BRIA.BRIA.v_intra_MediallemniscusR",6.65437033027047,7.13013035581273,0.00758592196513942,6.37217445071712,56571.2513755869,56618.7996400209
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR",80.9320397075498,87.0575925678836,1.15867716837509e-20,9.73288821435072e-18,56491.4881635726,56539.0364280065
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR",10.3559334687307,11.0984952441132,0.00086551018020519,0.727028551372359,56567.2838097369,56614.8320741708
"BRIA.BRIA.v_intra_CerebralpeduncleR","BRIA.BRIA.v_intra_CerebralpeduncleR",332.160718846415,362.092254962993,4.86036435273047e-80,4.0827060562936e-77,56219.3741696652,56266.9224340991
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR",140.824368235029,151.962378353916,8.58632317343416e-35,7.21251146568469e-32,56426.945104831,56474.4933692649
"BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR",3.75751919545291,4.02555452711856,0.0448290431785571,37.6563962699879,56574.3558636099,56621.9041280438
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR",59.4467911958127,63.8738983858103,1.39637683117149e-15,1.17295653818405e-12,56514.5921675895,56562.1404320234
"BRIA.BRIA.v_intra_AnteriorcoronaradiataR","BRIA.BRIA.v_intra_AnteriorcoronaradiataR",113.555468228362,122.36045083759,2.3172483374833e-28,1.94648860348597e-25,56456.3567644883,56503.9050289223
"BRIA.BRIA.v_intra_SuperiorcoronaradiataR","BRIA.BRIA.v_intra_SuperiorcoronaradiataR",196.954034519171,213.163578037144,4.89575758127906e-48,4.11243636827441e-45,56366.2712200743,56413.8194845082
"BRIA.BRIA.v_intra_PosteriorcoronaradiataR","BRIA.BRIA.v_intra_PosteriorcoronaradiataR",615.83157237637,681.645712576127,7.77264338944131e-148,6.5290204471307e-145,55907.7001009366,55955.2483653705
"BRIA.BRIA.v_intra_PosteriorthalamicradiationR","BRIA.BRIA.v_intra_PosteriorthalamicradiationR",286.273595708364,311.307720275347,3.6951951019273e-69,3.10396388561893e-66,56269.3473293897,56316.8955938237
"BRIA.BRIA.v_intra_SagittalstratumR","BRIA.BRIA.v_intra_SagittalstratumR",77.6365428599638,83.4981749338989,6.95812736062225e-20,5.84482698292269e-17,56495.0336488618,56542.5819132957
