"","metrics_list..df..","SS","F.stat","p","p_adj","AICf","BICf"
"BRIA.BRIA.v_intra_ATRR","BRIA.BRIA.v_intra_ATRR",27.8117363969577,27.5175794273005,1.57368657581618e-07,0.000132189672368559,53314.017684464,53361.0398475791
"BRIA.BRIA.v_intra_CSTR","BRIA.BRIA.v_intra_CSTR",49.4377989095556,48.9709167510229,2.68578596115876e-12,2.25606020737336e-09,53292.6023877316,53339.6245508466
"BRIA.BRIA.v_intra_CGR","BRIA.BRIA.v_intra_CGR",0.669039897336916,0.66101480317965,0.416212253920374,349.618293293114,53340.8612159227,53387.8833790377
"BRIA.BRIA.v_intra_IFOFR","BRIA.BRIA.v_intra_IFOFR",151.851780197398,151.237782464337,1.26527981310979e-34,1.06283504301222e-31,53190.8523626317,53237.8745257467
"BRIA.BRIA.v_intra_ILFR","BRIA.BRIA.v_intra_ILFR",7.76725325944426,7.67696322465509,0.00559854006438198,4.70277365408086,53333.8449558561,53380.8671189711
"BRIA.BRIA.v_intra_SLFR","BRIA.BRIA.v_intra_SLFR",67.3031507732921,66.7306710702753,3.30875129733413e-16,2.77935108976067e-13,53274.8926467215,53321.9148098366
"BRIA.BRIA.v_intra_UFR","BRIA.BRIA.v_intra_UFR",87.6164653728156,86.9648198693972,1.22460319350078e-20,1.02866668254066e-17,53254.7358828446,53301.7580459596
"BRIA.BRIA.v_intra_SLTFR","BRIA.BRIA.v_intra_SLTFR",6.10790281093068,6.03637265156247,0.0140230619529565,11.7793720404835,53335.4853836788,53382.5075467939
"BRIA.BRIA.v_intra_CorticospinaltractR","BRIA.BRIA.v_intra_CorticospinaltractR",4.45306351175896,4.40052863841998,0.0359411726465747,30.1905850231227,53337.1212085979,53384.1433717129
"BRIA.BRIA.v_intra_MediallemniscusR","BRIA.BRIA.v_intra_MediallemniscusR",0.199292799967225,0.196897410154763,0.657242040539575,552.083314053243,53341.3254467079,53388.3476098229
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR",71.5661774009568,70.9734708834315,3.87933427110519e-17,3.25864078772836e-14,53270.6642740759,53317.6864371909
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR",2.42081146783312,2.39199525902943,0.121974795085613,102.458827871915,53339.1299141197,53386.1520772347
"BRIA.BRIA.v_intra_CerebralpeduncleR","BRIA.BRIA.v_intra_CerebralpeduncleR",282.297440991013,283.122042724524,4.56097461632253e-63,3.83121867771092e-60,53060.446118738,53107.468281853
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR",117.378603317346,116.689851310796,4.03587072570708e-27,3.39013140959395e-24,53225.1638526396,53272.1860157546
"BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR",1.94702762028464,1.92380297489453,0.165454551789017,138.981823502774,53339.5981775191,53386.6203406342
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR",78.6578995040036,78.0357946018678,1.0997107483824e-18,9.23757028641213e-16,53263.6280830025,53310.6502461175
"BRIA.BRIA.v_intra_AnteriorcoronaradiataR","BRIA.BRIA.v_intra_AnteriorcoronaradiataR",80.106302944052,79.4788470137148,5.31337143144642e-19,4.46323200241499e-16,53262.1906957515,53309.2128588665
"BRIA.BRIA.v_intra_SuperiorcoronaradiataR","BRIA.BRIA.v_intra_SuperiorcoronaradiataR",265.660262178368,266.198854415903,1.96701490763943e-59,1.65229252241712e-56,53077.1289164439,53124.1510795589
"BRIA.BRIA.v_intra_PosteriorcoronaradiataR","BRIA.BRIA.v_intra_PosteriorcoronaradiataR",545.397456222574,554.81560783877,6.46498514170273e-121,5.43058751903029e-118,52794.6280953633,52841.6502584783
"BRIA.BRIA.v_intra_PosteriorthalamicradiationR","BRIA.BRIA.v_intra_PosteriorthalamicradiationR",285.020160924985,285.894443567564,1.15874146127106e-63,9.73342827467692e-61,53057.7145165082,53104.7366796232
"BRIA.BRIA.v_intra_SagittalstratumR","BRIA.BRIA.v_intra_SagittalstratumR",62.3732559805831,61.8265569325985,3.95340442456392e-15,3.32085971663369e-12,53279.7812756277,53326.8034387427
"BRIA.BRIA.v_intra_ExternalcapsuleR","BRIA.BRIA.v_intra_ExternalcapsuleR",1.39392367519395,1.37725636480828,0.240583981169181,202.090544182112,53340.1448219688,53387.1669850839
