"","metrics_list..df..","Deviance","F.stat","p","p_adj","aic","bic"
"rh_bankssts_thickness","rh_bankssts_thickness",48.4333438337781,15.9274268832032,1.19251789963799e-10,1.39524594257645e-08,135217.196402545,135286.214971027
"rh_caudalanteriorcingulate_thickness","rh_caudalanteriorcingulate_thickness",704.641909860169,242.490818782437,5.20268658356625e-157,6.08714330277251e-155,134540.982640723,134611.219098247
"rh_caudalmiddlefrontal_thickness","rh_caudalmiddlefrontal_thickness",55.3488073173576,17.9558247152466,3.99072966152832e-12,4.66915370398813e-10,135210.021645936,135278.62323721
"rh_cuneus_thickness","rh_cuneus_thickness",23.0398696682387,7.83446857488148,3.1129173730329e-05,0.0036421133264485,135242.773812265,135309.990553907
"rh_entorhinal_thickness","rh_entorhinal_thickness",89.8533465415676,29.4873814118043,1.04467462058038e-19,1.22226930607904e-17,135175.021655351,135245.115599713
"rh_fusiform_thickness","rh_fusiform_thickness",169.305025447255,55.9858905704679,2.91029949150827e-37,3.40505040506468e-35,135093.558025093,135163.698860106
"rh_inferiorparietal_thickness","rh_inferiorparietal_thickness",70.01421912144,23.5188183294276,2.06966120840787e-15,2.42150361383721e-13,135195.177236243,135264.537820722
"rh_inferiortemporal_thickness","rh_inferiortemporal_thickness",19.2027632086756,8.89598556829656,7.33276732999887e-05,0.00857933777609868,135245.147621166,135305.551759453
"rh_isthmuscingulate_thickness","rh_isthmuscingulate_thickness",43.6077585044623,13.9991163352004,1.49470549529212e-09,1.74880542949178e-07,135222.21182369,135291.563149005
"rh_lateraloccipital_thickness","rh_lateraloccipital_thickness",11.9190991484647,3.86074963648204,0.00784721896163053,0.918124618510772,135254.645861718,135324.037345607
"rh_lateralorbitofrontal_thickness","rh_lateralorbitofrontal_thickness",1.07639783748891,0.627344972815807,0.513830517486896,60.1181705459668,135262.977356411,135320.26115463
"rh_lingual_thickness","rh_lingual_thickness",85.321910650855,85.4490205482929,9.84647646222008e-21,1.15203774607975e-18,135175.727599889,135228.53998409
"rh_medialorbitofrontal_thickness","rh_medialorbitofrontal_thickness",24.3650982161416,7.88387229508793,1.96842098506439e-05,0.00230305255252534,135241.970066556,135311.610698423
"rh_middletemporal_thickness","rh_middletemporal_thickness",188.036072478892,61.2528239597723,2.29524183717162e-41,2.6854329494908e-39,135074.11561162,135143.315357736
"rh_parahippocampal_thickness","rh_parahippocampal_thickness",251.307419041237,84.1034854368098,1.72230139779958e-55,2.0150926354255e-53,135009.33231848,135079.51448464
"rh_paracentral_thickness","rh_paracentral_thickness",191.85946399509,65.9608120349848,2.24301530400643e-42,2.62432790568752e-40,135069.706237904,135136.783082819
"rh_parsopercularis_thickness","rh_parsopercularis_thickness",10.4741645612594,3.38521460264247,0.0155009461074017,1.81361069456599,135256.165617322,135325.740475427
"rh_parsorbitalis_thickness","rh_parsorbitalis_thickness",71.468279716566,23.9432808691546,1.00781437329559e-15,1.17914281675584e-13,135193.27977984,135260.848198274
"rh_parstriangularis_thickness","rh_parstriangularis_thickness",12.7814159614354,6.08432247029841,0.00175119194035335,0.204889457021342,135251.60272512,135311.507362526
"rh_pericalcarine_thickness","rh_pericalcarine_thickness",28.6493227358515,9.20247548981505,2.47692076838128e-06,0.00028979972990061,135237.337229815,135305.883934949
"rh_postcentral_thickness","rh_postcentral_thickness",124.482270694236,111.019052080847,2.30890319769474e-29,2.70141674130284e-27,135135.761699694,135189.321374716
"rh_posteriorcingulate_thickness","rh_posteriorcingulate_thickness",311.631566904223,105.278497871913,6.08651730755924e-69,7.12122524984431e-67,134947.280249175,135017.501893728
"rh_precentral_thickness","rh_precentral_thickness",209.42242025111,70.8111125236508,3.19693859777177e-46,3.74041815939297e-44,135051.756543937,135119.218499405
"rh_precuneus_thickness","rh_precuneus_thickness",112.484523265193,36.8882789327966,1.09659862375976e-24,1.28302038979892e-22,135151.430660663,135219.778496787
"rh_rostralanteriorcingulate_thickness","rh_rostralanteriorcingulate_thickness",495.757194259837,168.123818155479,4.51039576683066e-110,5.27716304719188e-108,134757.355033686,134827.573654519
"rh_rostralmiddlefrontal_thickness","rh_rostralmiddlefrontal_thickness",530.016180335551,179.394620917296,9.74305480885269e-118,1.13993741263576e-115,134721.932420391,134792.143747083
"rh_superiorfrontal_thickness","rh_superiorfrontal_thickness",33.8568355906318,11.2534486827689,1.63035569621316e-07,1.90751616456939e-05,135232.056193925,135300.81299991
"rh_superiorparietal_thickness","rh_superiorparietal_thickness",398.789476944796,132.015260664909,2.62291187583977e-88,3.06880689473254e-86,134857.43970631,134927.524176898
"rh_superiortemporal_thickness","rh_superiortemporal_thickness",146.547967097897,48.4308057596378,3.16171120121093e-32,3.69920210541679e-30,135116.910647616,135187.060718423
"rh_supramarginal_thickness","rh_supramarginal_thickness",145.708578894773,46.7079943784347,5.93349423142445e-32,6.9421882507666e-30,135117.633812674,135187.178538476
"rh_frontalpole_thickness","rh_frontalpole_thickness",22.1744706697864,7.47614935153762,4.91401866709694e-05,0.00574940184050342,135243.670309929,135310.935734875
"rh_temporalpole_thickness","rh_temporalpole_thickness",0.128954595493269,0.125247582334087,0.736685708086052,86.1922278460681,135262.967721439,135315.955897196
"rh_transversetemporal_thickness","rh_transversetemporal_thickness",88.1756324674934,30.7621602382028,1.71927218159252e-19,2.01154845246325e-17,135175.925970186,135242.443832953
"rh_insula_thickness","rh_insula_thickness",62.1821969211232,20.9977638063235,1.04386188827362e-13,1.22131840928014e-11,135202.685226539,135269.79580689
"rh_bankssts_volume","rh_bankssts_volume",11.1272706359014,11.1762128208148,0.000769170392168869,0.0899929358837577,135251.673036189,135304.458634524
"rh_caudalanteriorcingulate_volume","rh_caudalanteriorcingulate_volume",2.78287327504222,1.16941687112844,0.315840591914902,36.9533492540435,135262.289940899,135324.217112882
"rh_caudalmiddlefrontal_volume","rh_caudalmiddlefrontal_volume",18.2398386499699,5.89058727012175,0.000389453664613807,0.0455660787598154,135248.187534489,135317.612014761
"rh_cuneus_volume","rh_cuneus_volume",24.6801514644685,25.0867850719823,5.13117734721573e-07,6.0034774962424e-05,135237.792428287,135290.50883416
"rh_entorhinal_volume","rh_entorhinal_volume",19.8733618780971,6.54308740908753,0.000164831529012692,0.019285288894485,135246.134456523,135313.882388336
"rh_fusiform_volume","rh_fusiform_volume",60.7851143528751,19.5011480070492,2.76259060139963e-13,3.23223100363756e-11,135204.696776609,135274.357791404
"rh_inferiorparietal_volume","rh_inferiorparietal_volume",125.813167971755,40.9334147178801,1.32742354958294e-27,1.55308555301203e-25,135137.978220517,135207.258779364
"rh_inferiortemporal_volume","rh_inferiortemporal_volume",26.0532886867586,9.42489278542911,5.55050088425815e-06,0.000649408603458203,135239.179897618,135304.154750546
"rh_isthmuscingulate_volume","rh_isthmuscingulate_volume",8.30220367147558,2.69296531582752,0.0416596498213808,4.87417902910155,135258.0193366,135325.97945106
"rh_lateraloccipital_volume","rh_lateraloccipital_volume",15.9357720842818,5.13939382366357,0.00118387166479826,0.138512984781396,135250.373992726,135319.0495464
"rh_lateralorbitofrontal_volume","rh_lateralorbitofrontal_volume",29.8033822603902,9.91146356289798,1.21220234553345e-06,0.000141827674427413,135236.135008625,135304.588155211
"rh_lingual_volume","rh_lingual_volume",53.0868235659873,17.2275692777353,1.23877023191932e-11,1.44936117134561e-09,135212.652543182,135282.63718783
"rh_medialorbitofrontal_volume","rh_medialorbitofrontal_volume",4.34392096155352,4.39626441035302,0.0356295814198325,4.16866102612041,135258.600551955,135311.34017436
