"","metrics_list..df..","Deviance","F.stat","p","p_adj","AICf","BICf"
"rh_bankssts_thickness","rh_bankssts_thickness",26.1738275051794,9.21147223612247,4.08888970322124e-06,0.000478400095276885,69371.5400609622,69433.8499334103
"rh_caudalanteriorcingulate_thickness","rh_caudalanteriorcingulate_thickness",333.540174275193,118.592159417483,5.55442200143633e-77,6.49867374168051e-75,69043.1764225352,69108.178434524
"rh_caudalmiddlefrontal_thickness","rh_caudalmiddlefrontal_thickness",18.4370018898808,14.638703468878,1.88531537824597e-05,0.00220581899254778,69376.8887951151,69427.5069905969
"rh_cuneus_thickness","rh_cuneus_thickness",10.2688584420393,3.67878831301385,0.0118542566554149,1.38694802868355,69388.2503009257,69449.7549606829
"rh_entorhinal_thickness","rh_entorhinal_thickness",59.0658289847161,19.947847896659,1.91480519088581e-13,2.2403220733364e-11,69337.1484711788,69401.9446169706
"rh_fusiform_thickness","rh_fusiform_thickness",85.3923364633374,28.504479955392,2.06503390558525e-19,2.41608966953474e-17,69308.9697336616,69373.2507123436
"rh_inferiorparietal_thickness","rh_inferiorparietal_thickness",43.7871439721494,15.2096818221362,4.79400147852954e-10,5.60898172987956e-08,69353.270933443,69417.4854683297
"rh_inferiortemporal_thickness","rh_inferiortemporal_thickness",21.0239040742563,7.17479321306878,6.38015115844468e-05,0.00746477685538027,69377.2276495046,69440.3968318612
"rh_isthmuscingulate_thickness","rh_isthmuscingulate_thickness",14.2028265739245,6.52972446390572,0.000792996836033714,0.0927806298159445,69382.8523292745,69439.412917452
"rh_lateraloccipital_thickness","rh_lateraloccipital_thickness",5.77541619093972,2.09585085686524,0.100089191549065,11.7104354112406,69392.9401242566,69454.0992688747
"rh_lateralorbitofrontal_thickness","rh_lateralorbitofrontal_thickness",1.41521682821985,1.46993406396495,0.225902025651586,26.4305370012356,69394.5497202741,69443.4273914365
"rh_lingual_thickness","rh_lingual_thickness",37.5433854197945,20.9007459133965,1.83670654038163e-09,2.14894665224651e-07,69357.3787737704,69411.2889444494
"rh_medialorbitofrontal_thickness","rh_medialorbitofrontal_thickness",24.5737096385528,8.22378052020674,1.13399334186472e-05,0.00132677220998172,69373.7223474972,69437.9852657907
"rh_middletemporal_thickness","rh_middletemporal_thickness",94.103813347625,33.1750534453389,1.52112313334982e-21,1.77971406601929e-19,69299.2827641001,69361.9483041357
"rh_parahippocampal_thickness","rh_parahippocampal_thickness",85.6608974735718,29.4951932424147,1.49486973547984e-19,1.74899759051141e-17,69308.8420938578,69373.7677994647
"rh_paracentral_thickness","rh_paracentral_thickness",92.1547331873226,32.288335514366,4.40652751031238e-21,5.15563718706548e-19,69301.2216986388,69363.3194809839
"rh_parsopercularis_thickness","rh_parsopercularis_thickness",2.08810719205212,2.15127035763782,0.141844703510927,16.5958303107785,69393.846079109,69442.7692603653
"rh_parsorbitalis_thickness","rh_parsorbitalis_thickness",28.715151020042,10.6884033703951,8.80698578601667e-07,0.000103041733696395,69368.3994624372,69428.9302551939
"rh_parstriangularis_thickness","rh_parstriangularis_thickness",7.7717650945815,8.13192359497866,0.00417569238741819,0.488556009327929,69387.786394499,69436.6248367133
"rh_pericalcarine_thickness","rh_pericalcarine_thickness",9.54161625585766,9.93728423816081,0.00150998098907602,0.176667775721895,69385.9120928389,69434.7767209898
"rh_postcentral_thickness","rh_postcentral_thickness",50.6298758415032,16.9996071913398,1.60983470717254e-11,1.88350660739187e-09,69346.0484755197,69410.510732586
"rh_posteriorcingulate_thickness","rh_posteriorcingulate_thickness",138.875627579324,46.9066108218046,1.04396522909736e-31,1.22143931804391e-29,69251.9663030886,69316.5817745886
"rh_precentral_thickness","rh_precentral_thickness",86.2627317359547,28.9762109028115,1.25893797819235e-19,1.47295743448505e-17,69308.0582315059,69372.4061542821
"rh_precuneus_thickness","rh_precuneus_thickness",67.26881402855,22.504114771323,2.75726165669598e-15,3.2259961383343e-13,69328.2787234228,69392.5364534836
"rh_rostralanteriorcingulate_thickness","rh_rostralanteriorcingulate_thickness",223.197204980777,78.0903004523641,2.76235302713882e-51,3.23195304175242e-49,69161.7872307468,69226.760019651
"rh_rostralmiddlefrontal_thickness","rh_rostralmiddlefrontal_thickness",249.98779623173,85.1545841529258,2.07343559369887e-57,2.42591964462768e-55,69132.9658012947,69197.6401932767
"rh_superiorfrontal_thickness","rh_superiorfrontal_thickness",14.6106292598088,5.15320665523347,0.00144067567207639,0.168559053632938,69383.6636251007,69445.281579318
"rh_superiorparietal_thickness","rh_superiorparietal_thickness",151.272224540891,51.602354013599,1.3680217783146e-34,1.60058548062808e-32,69238.7619556777,69303.5638700976
"rh_superiortemporal_thickness","rh_superiortemporal_thickness",85.5902856474204,29.0626238219396,1.68305412842185e-19,1.96917333025356e-17,69308.8975055833,69373.7424766279
"rh_supramarginal_thickness","rh_supramarginal_thickness",67.4728172299547,22.6209197230063,2.44819103357087e-15,2.86438350927792e-13,69327.950160279,69391.7559510279
"rh_frontalpole_thickness","rh_frontalpole_thickness",10.1437171777361,3.55131584544889,0.0134210037576768,1.57025743964818,69388.5334268083,69450.6480742892
"rh_temporalpole_thickness","rh_temporalpole_thickness",0.353087917832454,0.368528416551183,0.547495509867336,64.0569746544783,69395.6713360517,69444.5218217246
"rh_transversetemporal_thickness","rh_transversetemporal_thickness",34.1786486279598,11.8615746169909,7.0209429480763e-08,8.21450324924927e-06,69363.1002813543,69425.7124474275
"rh_insula_thickness","rh_insula_thickness",17.6373834036276,18.2279989998855,1.59276666663622e-05,0.00186353699996438,69377.3182540046,69426.2275731486
"rh_bankssts_volume","rh_bankssts_volume",0.544101361760113,0.568239992516919,0.453717330963854,53.0849277227709,69395.4676107554,69444.3147885706
"rh_caudalanteriorcingulate_volume","rh_caudalanteriorcingulate_volume",1.43482217946803,0.737208041145699,0.482622772862214,56.466864424879,69396.015054737,69450.9309054679
