"","metrics_list..df..","Deviance","F.stat","p","p_adj","AICf","BICf"
"rh_bankssts_thickness","rh_bankssts_thickness",24.1253123512724,7.6789065179713,2.83037744955119e-05,0.00331154161597489,65448.5072464848,65511.9353477404
"rh_caudalanteriorcingulate_thickness","rh_caudalanteriorcingulate_thickness",341.165806525871,113.676755479015,4.78344715016008e-74,5.59663316568729e-72,65129.4949031305,65193.8511004999
"rh_caudalmiddlefrontal_thickness","rh_caudalmiddlefrontal_thickness",37.9157884958258,11.8462887519389,3.98450699283315e-08,4.66187318161479e-06,65434.7558265809,65498.3581031665
"rh_cuneus_thickness","rh_cuneus_thickness",13.1848333011258,4.53106384721607,0.0039004878394296,0.456357077213263,65458.6792137816,65519.0257717698
"rh_entorhinal_thickness","rh_entorhinal_thickness",40.71191541386,38.5798782416844,2.04232094830999e-10,2.38951550952268e-08,65428.2222050634,65476.7965634297
"rh_fusiform_thickness","rh_fusiform_thickness",68.9519821842441,21.8704616697762,9.37140474773705e-15,1.09645435548523e-12,65403.8048467936,65467.9098927762
"rh_inferiorparietal_thickness","rh_inferiorparietal_thickness",53.1652379417174,16.7910806276997,2.23341678665607e-11,2.6130976403876e-09,65419.5821633795,65483.5468606176
"rh_inferiortemporal_thickness","rh_inferiortemporal_thickness",2.63494526203431,2.6028766411336,0.106312311313147,12.4385404236382,65466.2357701568,65514.5700413173
"rh_isthmuscingulate_thickness","rh_isthmuscingulate_thickness",25.6781265907848,8.14070424508059,1.36780774229536e-05,0.00160033505848557,65446.8487211947,65509.8518236041
"rh_lateraloccipital_thickness","rh_lateraloccipital_thickness",43.9259180098306,13.8415210449765,2.061131172595e-09,2.41152347193615e-07,65428.714639193,65492.2098000343
"rh_lateralorbitofrontal_thickness","rh_lateralorbitofrontal_thickness",0.099730490714137,0.0991288951649486,0.754122449134105,88.2323265486903,65468.7600274986,65517.0601906446
"rh_lingual_thickness","rh_lingual_thickness",46.5374895382229,45.6576022125927,9.52239914015972e-12,1.11412069939869e-09,65422.3438276479,65470.7257966681
"rh_medialorbitofrontal_thickness","rh_medialorbitofrontal_thickness",2.48635349651158,1.23166936317197,0.291989738405428,34.162799393435,65467.8112231762,65521.8861143517
"rh_middletemporal_thickness","rh_middletemporal_thickness",87.4218570617159,29.5430139329742,7.16540912737286e-19,8.38352867902625e-17,65384.4240484382,65445.0398219882
"rh_parahippocampal_thickness","rh_parahippocampal_thickness",153.949803454281,49.1905949554206,4.33732092315981e-33,5.07466548009698e-31,65318.4081925437,65382.2119957154
"rh_paracentral_thickness","rh_paracentral_thickness",86.4623943555162,28.6468994888127,1.28856234170485e-18,1.50761793979467e-16,65385.5923899395,65447.0378775654
"rh_parsopercularis_thickness","rh_parsopercularis_thickness",6.29434210128238,2.01570160837801,0.106766436314925,12.4916730488463,65466.0258307972,65528.2243743584
"rh_parsorbitalis_thickness","rh_parsorbitalis_thickness",46.7825494823664,16.027008029856,3.43179513033734e-10,4.01520030249469e-08,65425.0530681675,65485.3207539227
"rh_parstriangularis_thickness","rh_parstriangularis_thickness",8.82975349493427,3.2101277752105,0.0256193299169334,2.99746160028121,65462.6976703352,65521.6998562321
"rh_pericalcarine_thickness","rh_pericalcarine_thickness",16.9517349359303,5.35512028488668,0.000870344782021848,0.101830339496556,65455.498575892,65518.1977676075
"rh_postcentral_thickness","rh_postcentral_thickness",88.4957639059321,87.3480707077162,5.17936522207897e-21,6.0598573098324e-19,65380.3003605971,65428.6593146933
"rh_posteriorcingulate_thickness","rh_posteriorcingulate_thickness",156.17621777676,51.1493690257453,1.2129624254828e-33,1.41916603781488e-31,65316.2984863219,65380.6230188631
"rh_precentral_thickness","rh_precentral_thickness",131.221956882593,41.8669805321409,3.62078074278512e-28,4.23631346905859e-26,65341.3352510923,65405.4675097418
"rh_precuneus_thickness","rh_precuneus_thickness",40.3241138681769,35.90626870495,2.93107566008274e-10,3.42935852229681e-08,65428.7013995163,65477.6422960689
"rh_rostralanteriorcingulate_thickness","rh_rostralanteriorcingulate_thickness",322.23005551357,106.556252353562,7.17013254382752e-70,8.3890550762782e-68,65148.6811168771,65213.0143384239
"rh_rostralmiddlefrontal_thickness","rh_rostralmiddlefrontal_thickness",241.16949508843,79.0683767440729,3.98782982494861e-52,4.66576089518988e-50,65230.6539793407,65294.9701193058
"rh_superiorfrontal_thickness","rh_superiorfrontal_thickness",19.5757074470093,6.29622301787666,0.000237343634648901,0.0277692052539214,65452.9422003924,65515.9107302211
"rh_superiorparietal_thickness","rh_superiorparietal_thickness",231.582124604374,73.8228469684175,6.00586585966643e-50,7.02686305580973e-48,65240.0017904209,65302.9955481272
"rh_superiortemporal_thickness","rh_superiortemporal_thickness",62.5045082793731,19.7682992351646,2.26918712099134e-13,2.65494893155987e-11,65409.9186649577,65472.6343592085
"rh_supramarginal_thickness","rh_supramarginal_thickness",73.4357093276776,25.0683905044871,6.89277487141399e-16,8.06454659955437e-14,65398.3253158704,65458.4614274398
"rh_frontalpole_thickness","rh_frontalpole_thickness",15.8912545861167,5.27024171952905,0.00121961649992222,0.1426951304909,65456.17240679,65517.3175505717
"rh_temporalpole_thickness","rh_temporalpole_thickness",0.189864489857428,0.182312877094398,0.679338875946486,79.4826484857389,65468.7171551945,65517.2070719062
"rh_transversetemporal_thickness","rh_transversetemporal_thickness",46.2319481340346,25.1766674244279,6.73913103468495e-11,7.88478331058139e-09,65423.7934859767,65476.7768819008
"rh_insula_thickness","rh_insula_thickness",55.5376582259305,17.831490364417,6.41921379592434e-12,7.51048014123148e-10,65416.8235995259,65479.2475015349
"rh_bankssts_volume","rh_bankssts_volume",5.86005973590363,5.76163556387655,0.0159604405254134,1.86737154147337,65463.0199465871,65511.3805255665
"rh_caudalanteriorcingulate_volume","rh_caudalanteriorcingulate_volume",1.24365189560558,1.22626764809796,0.268793870289341,31.4488828238529,65467.6281305731,65515.972028384
"rh_caudalmiddlefrontal_volume","rh_caudalmiddlefrontal_volume",3.49648946807429,3.32604000457516,0.0661639735613106,7.74118490667334,65465.4270357348,65513.9706193334
"rh_cuneus_volume","rh_cuneus_volume",12.6408944721625,12.3173426553351,0.000399403209328193,0.0467301754913985,65456.2560872995,65504.6675954304
"rh_entorhinal_volume","rh_entorhinal_volume",11.1583310453716,3.61371219858362,0.0118460314482254,1.38598567944238,65461.1220733695,65523.1477363888
"rh_fusiform_volume","rh_fusiform_volume",44.0174729913451,13.7795312594428,2.03446327722743e-09,2.38032203435609e-07,65428.6941108126,65492.4753222519
"rh_inferiorparietal_volume","rh_inferiorparietal_volume",80.2477711383508,25.360199558865,3.64401764967788e-17,4.26350065012311e-15,65392.2680153617,65455.5034549742
"rh_inferiortemporal_volume","rh_inferiortemporal_volume",20.2523163191727,6.6374699728586,0.000160921053166779,0.0188277632205132,65451.8777211974,65513.2854276132
"rh_isthmuscingulate_volume","rh_isthmuscingulate_volume",8.93117616743621,2.79013737690884,0.0356258777789284,4.16822770013462,65463.6360271375,65526.8208365197
"rh_lateraloccipital_volume","rh_lateraloccipital_volume",5.1370561723852,1.79169883449103,0.149071456170974,17.4413603720039,65466.6015072551,65526.4639916834
"rh_lateralorbitofrontal_volume","rh_lateralorbitofrontal_volume",7.20262861461742,2.35620443680629,0.0686240846790278,8.02901790744625,65464.9015907363,65526.228661471
"rh_lingual_volume","rh_lingual_volume",39.3038399007419,12.4327025206142,1.91914653562175e-08,2.24540144667744e-06,65433.4876692662,65497.5758196921
"rh_medialorbitofrontal_volume","rh_medialorbitofrontal_volume",3.15547251587486,1.83181574990117,0.165863455464228,19.4060242893147,65466.6949654249,65518.9686164397
"rh_middletemporal_volume","rh_middletemporal_volume",164.280158409529,53.2533993094165,2.26935541016102e-35,2.6551458298884e-33,65307.5997075201,65369.7251448243
"rh_parahippocampal_volume","rh_parahippocampal_volume",36.7178002970541,36.1559477517334,1.43238152167542e-09,1.67588638036024e-07,65432.1654987464,65480.5251025603
"rh_paracentral_volume","rh_paracentral_volume",17.1598583259911,16.441436902222,3.78987898309783e-05,0.00443415841022446,65451.7624511427,65500.2687293439
"rh_parsopercularis_volume","rh_parsopercularis_volume",27.317364618415,8.61733856906969,6.36117924485827e-06,0.000744257971648417,65445.419751492,65509.2694677205
"rh_parsorbitalis_volume","rh_parsorbitalis_volume",28.525092015152,9.16929296705713,3.29608863202522e-06,0.00038564236994695,65444.1077091783,65507.538621154
"rh_parstriangularis_volume","rh_parstriangularis_volume",1.33085746520737,1.31015281511127,0.252965516282507,29.5969654050533,65467.5431853883,65515.895832178
"rh_pericalcarine_volume","rh_pericalcarine_volume",31.8851074754712,14.809348862068,1.55438431320301e-07,1.81862964644752e-05,65438.6099939901,65493.4449115271
"rh_postcentral_volume","rh_postcentral_volume",0.814545313165581,0.756518828632752,0.393422346002141,46.0304144822505,65468.140363015,65516.8203778731
"rh_posteriorcingulate_volume","rh_posteriorcingulate_volume",3.52222560516384,1.36938347169288,0.252699303560555,29.5658185165849,65467.6144728461,65525.0612561362
"rh_precentral_volume","rh_precentral_volume",8.60440170466609,6.49844513126184,0.00571089317679114,0.668174501684563,65460.6931011972,65510.7252200716
"rh_precuneus_volume","rh_precuneus_volume",8.33334074788218,2.75839116783749,0.0403511154903863,4.7210805123752,65463.7254193797,65524.8664268849
"rh_rostralanteriorcingulate_volume","rh_rostralanteriorcingulate_volume",24.6475587774439,7.91037576016311,2.13493258935312e-05,0.00249787112954314,65447.8507876434,65510.7390120418
"rh_rostralmiddlefrontal_volume","rh_rostralmiddlefrontal_volume",29.5482295940456,11.0723870494408,1.0893840852695e-06,0.000127457937976531,65441.7846455467,65499.9870450167
"rh_superiorfrontal_volume","rh_superiorfrontal_volume",3.97852235584287,1.39044169115646,0.244688985916747,28.6286113522595,65467.6623770375,65527.1358858438
"rh_superiorparietal_volume","rh_superiorparietal_volume",3.63104435846253,3.46745426136409,0.060716054486672,7.10377837494062,65465.2871657495,65513.8088896519
"rh_superiortemporal_volume","rh_superiortemporal_volume",17.3144770394247,5.46134800720807,0.000738046885743284,0.0863514856319642,65455.3066158751,65518.6924101107
"rh_supramarginal_volume","rh_supramarginal_volume",1.72154035172935,1.67460763081112,0.195831948375315,22.9123379599118,65467.1692088077,65515.5875368296
"rh_frontalpole_volume","rh_frontalpole_volume",55.8218068208116,18.0641390044533,5.36528114787525e-12,6.27737894301405e-10,65416.5591028866,65479.0636380206
"rh_temporalpole_volume","rh_temporalpole_volume",44.4331019982783,14.4305759543074,1.39352733427613e-09,1.63042698110308e-07,65427.7781204804,65489.5479199301
"rh_transversetemporal_volume","rh_transversetemporal_volume",0.2771197649854,0.275942139309885,0.600083403952576,70.2097582624514,65468.5804318056,65516.870984661
"rh_insula_volume","rh_insula_volume",18.2521880062122,5.71769047951125,0.000486559614911647,0.0569274749446626,65454.3862858894,65517.8409953759
"rh_bankssts_area","rh_bankssts_area",0.416459991301963,0.349128413361329,0.592631611604675,69.337898557747,65468.6945954518,65518.0043866362
"rh_caudalanteriorcingulate_area","rh_caudalanteriorcingulate_area",21.5642702598889,6.78339682368547,0.000100236682356705,0.0117276918357344,65451.1745309063,65515.0305171549
"rh_caudalmiddlefrontal_area","rh_caudalmiddlefrontal_area",1.8263878327416,1.7923397134943,0.18063225889355,21.1339742905453,65467.0524219646,65515.4223145843
"rh_cuneus_area","rh_cuneus_area",28.4118638118234,10.1404092243804,2.29077692045875e-06,0.000268020899693674,65443.288934836,65502.9704392699
"rh_entorhinal_area","rh_entorhinal_area",93.845673363805,30.3657718124497,3.81661263909314e-20,4.46543678773897e-18,65378.8951272405,65443.1859141572
"rh_fusiform_area","rh_fusiform_area",25.971390609302,8.20216384805509,1.20685057797882e-05,0.00141201517623522,65446.4215813528,65508.8862164994
"rh_inferiorparietal_area","rh_inferiorparietal_area",14.32020016155,4.85039626621155,0.00239034112567632,0.279669911704129,65457.6479673591,65518.4113715238
"rh_inferiortemporal_area","rh_inferiortemporal_area",37.8166690242397,11.8601321787699,4.10908876539778e-08,4.8076338555154e-06,65434.9467579597,65498.9181401248
"rh_isthmuscingulate_area","rh_isthmuscingulate_area",8.7397361830408,2.72642229931876,0.0389217129731893,4.55384041786315,65463.9348217167,65527.5520078429
"rh_lateraloccipital_area","rh_lateraloccipital_area",2.0450048104758,0.911252745412208,0.411442683121581,48.138793925225,65468.5787236902,65523.9673457675
"rh_lateralorbitofrontal_area","rh_lateralorbitofrontal_area",92.056017700088,29.1862837701508,1.04355869694837e-19,1.22096367542959e-17,65380.6281201395,65444.6693454098
"rh_lingual_area","rh_lingual_area",59.1644570659701,18.9511139155168,1.09578218323742e-12,1.28206515438778e-10,65413.6391707483,65477.8638430587
"rh_medialorbitofrontal_area","rh_medialorbitofrontal_area",3.94831272875308,2.0140710368442,0.134520098752537,15.7388515540468,65466.2488752199,65519.914636789
"rh_middletemporal_area","rh_middletemporal_area",183.909393287813,60.2188035167385,1.16522519603796e-39,1.36331347936441e-37,65287.9906713557,65350.7150121584
"rh_parahippocampal_area","rh_parahippocampal_area",7.3334850846295,3.27616651998326,0.0325345326621493,3.80654032147146,65463.3683362561,65519.0533726123
"rh_paracentral_area","rh_paracentral_area",14.4694352960614,5.61513777742557,0.00147801543317626,0.172927805681623,65456.7554243607,65514.5283550291
"rh_parsopercularis_area","rh_parsopercularis_area",13.4124010136438,4.22304846374687,0.00456499746957144,0.534104703939859,65459.2330667576,65522.7227505228
"rh_parsorbitalis_area","rh_parsorbitalis_area",39.9325453181664,12.6900780158735,1.38393821387314e-08,1.61920771023157e-06,65432.8551972024,65496.929916534
"rh_parstriangularis_area","rh_parstriangularis_area",4.12305329312585,1.50930689985164,0.213290024027855,24.9549328112591,65467.4072032591,65526.4351101799
"rh_pericalcarine_area","rh_pericalcarine_area",35.9861825580265,11.5076042068492,9.14631715971682e-08,1.07011910768687e-05,65436.8408302835,65501.0638658558
"rh_postcentral_area","rh_postcentral_area",22.9669047187926,7.24549873801322,5.08944478941553e-05,0.00595465040361617,65449.6024854273,65512.7765461603
"rh_posteriorcingulate_area","rh_posteriorcingulate_area",8.47691085731276,2.93617887963216,0.0338923766390479,3.9654080667686,65463.2217714155,65522.9138465476
"rh_precentral_area","rh_precentral_area",6.42367542654029,2.07227321770546,0.0994305728685403,11.6333770256192,65465.9220250631,65528.2228663222
"rh_precuneus_area","rh_precuneus_area",10.2483484356671,3.21930442946802,0.0194767648570714,2.27878148827736,65462.4052421643,65525.9342812686
"rh_rostralanteriorcingulate_area","rh_rostralanteriorcingulate_area",24.42831948206,7.76172416727307,2.46547430909448e-05,0.00288460494164054,65448.0680583816,65510.9483404478
"rh_rostralmiddlefrontal_area","rh_rostralmiddlefrontal_area",22.2721217032813,7.23436266978676,6.34854277303475e-05,0.00742779504445066,65449.9178543706,65511.5657438711
"rh_superiorfrontal_area","rh_superiorfrontal_area",3.92869963116391,1.42050032608523,0.236756570369723,27.7005187332576,65467.5431508658,65526.3367727686
"rh_superiorparietal_area","rh_superiorparietal_area",3.84061844992175,1.3605016462655,0.253957241515428,29.7129972573051,65467.8377093908,65527.4622690762
"rh_superiortemporal_area","rh_superiortemporal_area",37.4001454935933,11.9193363368865,4.67514903141691e-08,5.46992436675779e-06,65435.1646640943,65498.3360414778
"rh_supramarginal_area","rh_supramarginal_area",1.12279845548983,1.10883323802567,0.293088965231054,34.2914089320333,65467.7467489117,65516.0821344663
"rh_frontalpole_area","rh_frontalpole_area",12.6357766777437,4.23061636328194,0.0054437531156947,0.63691911453628,65459.3913182871,65520.3948509997
"rh_temporalpole_area","rh_temporalpole_area",8.00850235013058,2.65806993062305,0.0463828104925864,5.42678882763261,65463.9982796933,65524.9310793075
"rh_transversetemporal_area","rh_transversetemporal_area",9.00781916836786,3.02229035106976,0.0287765858261595,3.36686054166066,65463.1166605495,65524.5202539026
"rh_insula_area","rh_insula_area",27.5589040168525,8.82410954686521,5.33109378656038e-06,0.000623737973027564,65444.9955541042,65508.1106100749
"rh_WhiteSurfArea_area","rh_WhiteSurfArea_area",504.450825699798,169.780742943432,4.86113661565781e-110,5.68752984031964e-108,64963.1425543857,65026.7258106038
"rhCortexVol","rhCortexVol",238.942541318898,76.8855911800697,1.39788656888927e-51,1.63552728560044e-49,65232.8542104463,65296.9780807294
"rhCorticalWhiteMatterVol","rhCorticalWhiteMatterVol",397.648003216847,132.480119812995,1.884399544e-86,2.20474746648e-84,65072.0097195659,65135.7874800413
"Right.Lateral.Ventricle","Right.Lateral.Ventricle",307.61867529538,98.770286397331,1.42317991054105e-66,1.66512049533302e-64,65163.4110705318,65227.4699868257
"Right.Inf.Lat.Vent","Right.Inf.Lat.Vent",732.382942827222,241.538865953657,1.25521695126574e-160,1.46860383298091e-158,64729.3273333572,64793.5190526762
"Right.Cerebellum.White.Matter","Right.Cerebellum.White.Matter",226.021993677095,73.0144653287876,8.87593893128273e-49,1.03848485496008e-46,65245.9181002639,65310.1441921081
"Right.Cerebellum.Cortex","Right.Cerebellum.Cortex",66.6340433222431,21.7885804631802,2.49203257240789e-14,2.91567810971723e-12,65406.1846771709,65470.5209329085
"Right.Thalamus.Proper","Right.Thalamus.Proper",350.379899808944,117.945267106542,4.20894090057023e-76,4.92446085366717e-74,65120.0782529718,65184.1443129288
"Right.Caudate","Right.Caudate",328.818093348538,106.818327520835,2.96370634235517e-71,3.46753642055555e-69,65141.9828928036,65206.2241062212
"Right.Putamen","Right.Putamen",221.959749056521,74.1205201419375,5.37414764034916e-48,6.28775273920852e-46,65250.0500338581,65314.4134417957
"Right.Pallidum","Right.Pallidum",279.75503942736,90.6572581059833,1.64303457237374e-60,1.92235044967727e-58,65191.6428878249,65255.856006471
"Right.Hippocampus","Right.Hippocampus",123.47517475257,39.2365612193875,1.75016910321065e-26,2.04769785075647e-24,65348.8585863963,65411.9515424499
"Right.Amygdala","Right.Amygdala",272.375734193731,89.9098682767159,5.86170811468228e-59,6.85819849417826e-57,65199.1346846795,65263.4721329212
"Right.Accumbens.area","Right.Accumbens.area",494.167651324315,163.032491741199,1.07713212793378e-107,1.26024458968252e-105,64973.8190018252,65038.1134901851
"rh_MeanThickness_thickness","rh_MeanThickness_thickness",66.8447802530209,21.6798555832425,2.34597690575163e-14,2.7447929797294e-12,65405.9669076332,65470.276448964
