"","metrics_list..df..","Deviance","F.stat","p","p_adj","aic","bic"
"BRIA.BRIA.v_intra_ATRR","BRIA.BRIA.v_intra_ATRR",12.2799414775582,3.96347555325258,0.0066968086339417,5.62531925251103,110215.379109071,110282.28521807
"BRIA.BRIA.v_intra_CSTR","BRIA.BRIA.v_intra_CSTR",277.895154424834,93.6213276077038,1.88415310944739e-61,1.58268861193581e-58,109943.116053434,110011.56990753
"BRIA.BRIA.v_intra_CGR","BRIA.BRIA.v_intra_CGR",70.1409001890497,22.8194138839697,2.31325047391435e-15,1.94313039808805e-12,110156.167246676,110223.134813363
"BRIA.BRIA.v_intra_IFOFR","BRIA.BRIA.v_intra_IFOFR",322.41427309459,107.344067262388,2.46394750575208e-71,2.06971590483175e-68,109897.248197879,109965.75508625
"BRIA.BRIA.v_intra_ILFR","BRIA.BRIA.v_intra_ILFR",51.9791171091128,17.3169908653351,1.89391582381333e-11,1.5908892920032e-08,110175.137694536,110243.693704286
"BRIA.BRIA.v_intra_SLFR","BRIA.BRIA.v_intra_SLFR",201.688813601671,65.7643092227875,2.08933452050642e-44,1.7550409972254e-41,110021.357784106,110089.083160309
"BRIA.BRIA.v_intra_UFR","BRIA.BRIA.v_intra_UFR",293.141209322108,98.9278653647952,7.46474395749575e-65,6.27038492429643e-62,109927.409307818,109995.860507469
"BRIA.BRIA.v_intra_SLTFR","BRIA.BRIA.v_intra_SLTFR",95.6398391015318,31.9289599029671,5.03576306535781e-21,4.23004097490056e-18,110130.296417234,110198.371166574
"BRIA.BRIA.v_intra_CorticospinaltractR","BRIA.BRIA.v_intra_CorticospinaltractR",16.6729667359468,16.7981665368403,3.75986671794599e-05,0.0315828804307463,110207.300865948,110258.837589164
"BRIA.BRIA.v_intra_MediallemniscusR","BRIA.BRIA.v_intra_MediallemniscusR",18.780401649783,6.01428196466471,0.000309401415028153,0.259897188623648,110208.978965898,110276.953644492
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR",183.8900774332,59.7426108918251,1.89723777983891e-40,1.59367973506469e-37,110039.771673798,110108.023081805
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR",12.2469625792219,11.977389126518,0.000439274685093757,0.368990735478756,110211.868932431,110263.580576237
"BRIA.BRIA.v_intra_CerebralpeduncleR","BRIA.BRIA.v_intra_CerebralpeduncleR",826.151199561587,284.829795165512,9.96703233320755e-185,8.37230715989434e-182,109374.235545263,109442.343902799
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR",318.40922628047,107.017783364251,1.79139704665295e-70,1.50477351918848e-67,109901.390885575,109969.953470275
"BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR",190.072883333101,64.7288056168954,5.82622522242838e-42,4.89402918683984e-39,110033.499611915,110102.097637203
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR",205.41893298144,68.8846409457555,2.54715106340047e-45,2.13960689325639e-42,110017.719635146,110086.286476608
"BRIA.BRIA.v_intra_AnteriorcoronaradiataR","BRIA.BRIA.v_intra_AnteriorcoronaradiataR",213.304953493542,69.7696091416873,5.40024491817882e-47,4.53620573127021e-44,110009.550684587,110077.855095363
"BRIA.BRIA.v_intra_SuperiorcoronaradiataR","BRIA.BRIA.v_intra_SuperiorcoronaradiataR",581.078878862114,197.779285852644,2.32600000285411e-129,1.95384000239745e-126,109629.534000928,109697.731813877
"BRIA.BRIA.v_intra_PosteriorcoronaradiataR","BRIA.BRIA.v_intra_PosteriorcoronaradiataR",1366.61901968473,477.483113589256,3.95583574539026e-308,3.32290202612782e-305,108805.419917786,108874.011319434
"BRIA.BRIA.v_intra_PosteriorthalamicradiationR","BRIA.BRIA.v_intra_PosteriorthalamicradiationR",649.493171317205,221.9614965746,8.87329891738714e-145,7.4535710906052e-142,109558.528728651,109627.114874298
"BRIA.BRIA.v_intra_SagittalstratumR","BRIA.BRIA.v_intra_SagittalstratumR",174.826191534688,58.317336043192,1.61286165415362e-38,1.35480378948904e-35,110049.151400515,110117.695818357
"BRIA.BRIA.v_intra_ExternalcapsuleR","BRIA.BRIA.v_intra_ExternalcapsuleR",39.6177537238837,13.1047754052158,9.49930671799315e-09,7.97941764311425e-06,110187.638021179,110255.532810633
"BRIA.BRIA.v_intra_CingulumcingulategyrusR","BRIA.BRIA.v_intra_CingulumcingulategyrusR",70.2807411949325,23.4151978163307,1.89306645890349e-15,1.59017582547893e-12,110156.396327484,110224.960254704
"BRIA.BRIA.v_intra_CingulumhippocampusR","BRIA.BRIA.v_intra_CingulumhippocampusR",489.523465617873,163.22600742416,1.01518840498986e-108,8.52758260191485e-106,109724.541827597,109793.020103868
"BRIA.BRIA.v_intra_Fornix_StriaterminalisR","BRIA.BRIA.v_intra_Fornix_StriaterminalisR",188.957152451527,61.2212843643109,1.45655917649188e-41,1.22350970825318e-38,110034.547572534,110102.723099143
"BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusR","BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusR",147.971419384769,50.0806954107287,1.29617306835196e-32,1.08878537741565e-29,110076.737497745,110145.329163572
"BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusR","BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusR",736.53449065442,252.455657096777,1.97347187955233e-164,1.65771637882395e-161,109467.888920182,109536.476022948
"BRIA.BRIA.v_intra_UncinatefasciculusR","BRIA.BRIA.v_intra_UncinatefasciculusR",127.890936766918,42.0387267284666,4.29698514556578e-28,3.60946752227525e-25,110097.30489524,110165.729337847
"BRIA.BRIA.v_intra_TapetumR","BRIA.BRIA.v_intra_TapetumR",2359.0100579828,848.37204551759,0,0,107738.739501582,107807.332893613
"BRIA.BRIA.v_intra_CINGR","BRIA.BRIA.v_intra_CINGR",175.194839558477,58.3057175889679,1.35746966510007e-38,1.14027451868406e-35,110048.768953835,110117.297184288
"BRIA.BRIA.v_extra_ATRR","BRIA.BRIA.v_extra_ATRR",28.3215510705268,9.07538106858554,2.94317141855198e-06,0.00247226399158366,110199.116448846,110266.659151974
"BRIA.BRIA.v_extra_CSTR","BRIA.BRIA.v_extra_CSTR",807.286545748757,275.196682448683,2.06622692454734e-180,1.73563061661977e-177,109394.015459093,109462.425860868
"BRIA.BRIA.v_extra_CGR","BRIA.BRIA.v_extra_CGR",306.920499729691,100.962326491897,7.70971889127089e-68,6.47616386866755e-65,109913.208823667,109981.660194691
"BRIA.BRIA.v_extra_IFOFR","BRIA.BRIA.v_extra_IFOFR",75.0575881723125,75.7092977829238,1.96586484118062e-18,1.65132646659172e-15,110147.531865913,110199.070693594
"BRIA.BRIA.v_extra_ILFR","BRIA.BRIA.v_extra_ILFR",8.34898862376576,3.5180886009353,0.0217705659778415,18.2872754213868,110217.852423047,110278.125181747
"BRIA.BRIA.v_extra_SLFR","BRIA.BRIA.v_extra_SLFR",37.3788000397981,37.3826211883635,6.64940106433629e-10,5.58549689404248e-07,110186.125125267,110237.708100309
"BRIA.BRIA.v_extra_UFR","BRIA.BRIA.v_extra_UFR",257.608705885061,86.8471029199241,6.15077245046706e-57,5.16664885839233e-54,109963.825367408,110031.509444325
"BRIA.BRIA.v_extra_SLTFR","BRIA.BRIA.v_extra_SLTFR",693.258572298713,232.8083461249,1.39883415827364e-154,1.17502069294986e-151,109512.957884615,109581.448834073
"BRIA.BRIA.v_extra_CorticospinaltractR","BRIA.BRIA.v_extra_CorticospinaltractR",1.13355951601261,0.965653610456756,0.341298656894884,286.690871791702,110223.44246154,110276.046611842
"BRIA.BRIA.v_extra_MediallemniscusR","BRIA.BRIA.v_extra_MediallemniscusR",28.1759575917386,9.09365846049599,3.06880826916587e-06,0.00257779894609933,110199.437650647,110267.718760248
"BRIA.BRIA.v_extra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_extra_InferiorcerebellarpeduncleR",131.899234602322,42.8235288658139,6.06391438263809e-29,5.09368808141599e-26,110093.166682857,110161.480500596
"BRIA.BRIA.v_extra_SuperiorcerebellarpeduncleR","BRIA.BRIA.v_extra_SuperiorcerebellarpeduncleR",339.715024983743,325.198742977516,9.87265759361086e-78,8.29303237863312e-75,109875.52936607,109927.423887974
