"","metrics_list..df..","Deviance","F.stat","p","p_adj","AICf","BICf"
"BRIA.BRIA.v_intra_ATRR","BRIA.BRIA.v_intra_ATRR",6.20184377660189,2.40970779902512,0.0703110329013662,59.0612676371476,56574.3619451409,56632.3136758147
"BRIA.BRIA.v_intra_CSTR","BRIA.BRIA.v_intra_CSTR",177.461744544889,61.8430719880581,4.76514917420091e-41,4.00272530632877e-38,56391.271551885,56454.3107638419
"BRIA.BRIA.v_intra_CGR","BRIA.BRIA.v_intra_CGR",106.84908302459,37.5447888604877,1.18055899917169e-24,9.91669559304223e-22,56467.5765295998,56530.9460135861
"BRIA.BRIA.v_intra_IFOFR","BRIA.BRIA.v_intra_IFOFR",180.941757298147,62.2632192360985,8.02888637260555e-42,6.74426455298866e-39,56387.535230998,56450.6833375604
"BRIA.BRIA.v_intra_ILFR","BRIA.BRIA.v_intra_ILFR",28.8224128015718,9.91720545829628,1.05101496570681e-06,0.000882852571193719,56551.4427812431,56614.6978740306
"BRIA.BRIA.v_intra_SLFR","BRIA.BRIA.v_intra_SLFR",120.628003848433,41.3380450126797,8.84622129589535e-28,7.43082588855209e-25,56452.4935487605,56514.9442545571
"BRIA.BRIA.v_intra_UFR","BRIA.BRIA.v_intra_UFR",107.776407627971,37.0414721463152,8.25318762938254e-25,6.93267760868133e-22,56466.5050848451,56529.5880876058
"BRIA.BRIA.v_intra_SLTFR","BRIA.BRIA.v_intra_SLTFR",44.3613323962272,15.1019113367596,3.34572974470631e-10,2.8104129855533e-07,56534.4550476935,56596.4914369313
"BRIA.BRIA.v_intra_CorticospinaltractR","BRIA.BRIA.v_intra_CorticospinaltractR",4.07678912037591,4.31983189583123,0.0372603074897192,31.2986582913642,56574.0285053124,56621.6353045445
"BRIA.BRIA.v_intra_MediallemniscusR","BRIA.BRIA.v_intra_MediallemniscusR",12.8938414981239,4.39047764586212,0.00367127093382985,3.08386758441707,56568.0705427843,56629.5166348914
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR",89.2390051159127,30.1341012985362,1.76911533504507e-20,1.48605688143786e-17,56486.418692159,56549.3027446786
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR",10.3634433880761,10.5315621232479,0.000954884575298566,0.802103043250795,56567.3487126073,56615.1860437545
"BRIA.BRIA.v_intra_CerebralpeduncleR","BRIA.BRIA.v_intra_CerebralpeduncleR",405.562754815317,145.722629636034,8.62164458781394e-95,7.24218145376371e-92,56143.0834410542,56206.0946521386
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR",171.62401722739,60.1450332295024,1.0539102562231e-39,8.85284615227407e-37,56397.6604044327,56461.0032246669
"BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR","BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR",114.079242715619,40.5035504654597,2.33760400966401e-26,1.96358736811777e-23,56459.7905416987,56523.1815337623
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR",81.041518205504,28.2453254789536,1.1429114871524e-18,9.60045649208019e-16,56495.3541617581,56558.6876258899
"BRIA.BRIA.v_intra_AnteriorcoronaradiataR","BRIA.BRIA.v_intra_AnteriorcoronaradiataR",121.528155352597,41.5026111814301,5.59205802000861e-28,4.69732873680723e-25,56451.4298862977,56513.511730825
"BRIA.BRIA.v_intra_SuperiorcoronaradiataR","BRIA.BRIA.v_intra_SuperiorcoronaradiataR",247.516504669442,86.8432034630457,1.86612281238365e-57,1.56754316240227e-54,56315.4420345629,56378.76639069
"BRIA.BRIA.v_intra_PosteriorcoronaradiataR","BRIA.BRIA.v_intra_PosteriorcoronaradiataR",692.383080304327,253.382758325505,2.29934573031089e-163,1.93145041346115e-160,55826.7682210748,55890.1570050423
"BRIA.BRIA.v_intra_PosteriorthalamicradiationR","BRIA.BRIA.v_intra_PosteriorthalamicradiationR",322.560503410299,114.957945377705,3.768068835751e-75,3.16517782203084e-72,56233.8336331261,56297.208639063
"BRIA.BRIA.v_intra_SagittalstratumR","BRIA.BRIA.v_intra_SagittalstratumR",97.6153728081918,33.8415742542954,1.75569926062411e-22,1.47478737892425e-19,56477.5041361609,56540.8000356626
"BRIA.BRIA.v_intra_ExternalcapsuleR","BRIA.BRIA.v_intra_ExternalcapsuleR",10.4559459769043,3.59678294077608,0.0118658605915859,9.96732289693217,56570.6730631476,56632.0755594402
"BRIA.BRIA.v_intra_CingulumcingulategyrusR","BRIA.BRIA.v_intra_CingulumcingulategyrusR",46.8384202705929,15.8490933469999,9.40687680070878e-11,7.90177651259537e-08,56531.8551026465,56594.1305391678
"BRIA.BRIA.v_intra_CingulumhippocampusR","BRIA.BRIA.v_intra_CingulumhippocampusR",329.271475139125,114.430789314384,1.20233681218949e-76,1.00996292223917e-73,56226.4740979988,56289.6728818546
"BRIA.BRIA.v_intra_Fornix_StriaterminalisR","BRIA.BRIA.v_intra_Fornix_StriaterminalisR",78.799004942397,27.5211846476726,3.70945320073039e-18,3.11594068861353e-15,56497.08686642,56557.7259247331
"BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusR","BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusR",115.503871131437,41.0350782502445,1.08817749045386e-26,9.14069091981243e-24,56458.2546604756,56521.6444141756
"BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusR","BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusR",350.806143403086,125.088029256772,8.1575745270346e-82,6.85236260270907e-79,56203.0270055067,56266.3990490298
"BRIA.BRIA.v_intra_UncinatefasciculusR","BRIA.BRIA.v_intra_UncinatefasciculusR",37.3898871754463,12.5815176664573,1.35244974773082e-08,1.13605778809389e-05,56542.0914404415,56604.7271392409
"BRIA.BRIA.v_intra_TapetumR","BRIA.BRIA.v_intra_TapetumR",1101.34480929307,412.905185440579,4.45297500845579e-263,3.74049900710287e-260,55366.9682499964,55430.3591618916
"BRIA.BRIA.v_intra_CINGR","BRIA.BRIA.v_intra_CINGR",153.598021219048,53.7912399206008,1.67705129291985e-35,1.40872308605267e-32,56417.1396787867,56480.4840443739
"BRIA.BRIA.v_extra_ATRR","BRIA.BRIA.v_extra_ATRR",30.4963383641698,10.2398195314336,4.90584726333554e-07,0.000412091170120186,56549.5453200579,56612.3992247361
"BRIA.BRIA.v_extra_CSTR","BRIA.BRIA.v_extra_CSTR",494.756805946232,176.285208713387,6.07459371278402e-116,5.10265871873858e-113,56045.2880292093,56108.6021759153
"BRIA.BRIA.v_extra_CGR","BRIA.BRIA.v_extra_CGR",249.367655048904,86.2947862540922,7.6097010234844e-58,6.39214885972689e-55,56313.3309372742,56376.2526313164
"BRIA.BRIA.v_extra_IFOFR","BRIA.BRIA.v_extra_IFOFR",91.5794604711627,49.2025476234886,4.48416799100511e-22,3.76670111244429e-19,56481.4317652441,56534.5388874943
