"","metrics_list..df..","Deviance","F.stat","p","p_adj","AICf","BICf"
"BRIA.BRIA.v_intra_ATRR","BRIA.BRIA.v_intra_ATRR",31.8001319761024,10.31547779393,7.35538829811572e-07,0.000617852617041721,53313.3490333106,53373.220124979
"BRIA.BRIA.v_intra_CSTR","BRIA.BRIA.v_intra_CSTR",99.3768008871521,31.9033761404066,4.04289498577729e-21,3.39603178805292e-18,53247.0416342154,53309.6805754942
"BRIA.BRIA.v_intra_CGR","BRIA.BRIA.v_intra_CGR",6.66303254468221,2.10199303258151,0.0947661108016117,79.6035330733538,53338.5087794102,53399.5285743457
"BRIA.BRIA.v_intra_IFOFR","BRIA.BRIA.v_intra_IFOFR",163.56565462063,51.6158802821607,8.27024676141333e-35,6.9470072795872e-32,53183.0939524099,53245.4565404462
"BRIA.BRIA.v_intra_ILFR","BRIA.BRIA.v_intra_ILFR",23.55697426591,7.4412885217272,4.13871965273958e-05,0.0347652450830125,53322.1851167164,53384.7129171529
"BRIA.BRIA.v_intra_SLFR","BRIA.BRIA.v_intra_SLFR",75.6854687681553,25.3548488113435,3.50763444580833e-16,2.946412934479e-13,53269.7668032129,53329.2860574094
"BRIA.BRIA.v_intra_UFR","BRIA.BRIA.v_intra_UFR",140.255816266934,45.1280911786235,7.27711557578161e-30,6.11277708365655e-27,53206.3512344308,53268.8525944907
"BRIA.BRIA.v_intra_SLTFR","BRIA.BRIA.v_intra_SLTFR",43.2046869165642,13.827893603347,3.23782649928632e-09,2.71977425940051e-06,53302.6033640814,53364.6181425568
"BRIA.BRIA.v_intra_CorticospinaltractR","BRIA.BRIA.v_intra_CorticospinaltractR",4.45349566568984,4.35589931517015,0.0365019408172628,30.6616302865008,53337.1345788872,53384.2108075334
"BRIA.BRIA.v_intra_MediallemniscusR","BRIA.BRIA.v_intra_MediallemniscusR",6.44642471296902,2.00474793940966,0.107107454511645,89.9702617897816,53338.7538406719,53399.8948269154
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR",82.4430832296457,25.767200857182,1.89263845512974e-17,1.58981630230898e-14,53263.5496923874,53324.9850761346
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR",3.94324222933938,1.59288616043407,0.197260992182825,165.699233433573,53339.7226757383,53394.9640488597
"BRIA.BRIA.v_intra_CerebralpeduncleR","BRIA.BRIA.v_intra_CerebralpeduncleR",317.189390288568,104.159812311997,3.96199739978836e-68,3.32807781582222e-65,53029.0927721771,53090.5454573234
