"","metrics_list","SS","F.stat","p","p_adj"
"lh_bankssts_thickness","lh_bankssts_thickness",134926.936492927,2619.89302129155,0,0
"lh_caudalanteriorcingulate_thickness","lh_caudalanteriorcingulate_thickness",7277.03242810024,128.542596647124,1.00954214065997e-29,2.36232860914434e-27
"lh_caudalmiddlefrontal_thickness","lh_caudalmiddlefrontal_thickness",134586.015208841,2612.58086459972,0,0
"lh_cuneus_thickness","lh_cuneus_thickness",40644.5911270403,735.304661166591,1.28904866818485e-159,3.01637388355255e-157
"lh_entorhinal_thickness","lh_entorhinal_thickness",29553.5419914031,530.394555614506,3.76315305207559e-116,8.80577814185688e-114
"lh_fusiform_thickness","lh_fusiform_thickness",158741.57750208,3140.44788001867,0,0
"lh_inferiorparietal_thickness","lh_inferiorparietal_thickness",201355.725886155,4122.65889435183,0,0
"lh_inferiortemporal_thickness","lh_inferiortemporal_thickness",71116.4915516244,1315.61250061353,8.73993031779416e-281,2.04514369436383e-278
"lh_isthmuscingulate_thickness","lh_isthmuscingulate_thickness",55007.1774613457,1005.60104549499,2.12216496820896e-216,4.96586602560897e-214
"lh_lateraloccipital_thickness","lh_lateraloccipital_thickness",203368.737154337,4170.7568899065,0,0
"lh_lateralorbitofrontal_thickness","lh_lateralorbitofrontal_thickness",25859.7923237646,462.874625003884,9.55748393006187e-102,2.23645123963448e-99
"lh_lingual_thickness","lh_lingual_thickness",170621.144427279,3407.53013227217,0,0
"lh_medialorbitofrontal_thickness","lh_medialorbitofrontal_thickness",11978.2226431854,212.290973359563,6.83434828146465e-48,1.59923749786273e-45
"lh_middletemporal_thickness","lh_middletemporal_thickness",203487.67694077,4173.60375972584,0,0
"lh_parahippocampal_thickness","lh_parahippocampal_thickness",62844.0826518382,1155.49784713539,1.25304012774183e-247,2.93211389891588e-245
"lh_paracentral_thickness","lh_paracentral_thickness",93795.3952675716,1764.80375974771,0,0
"lh_parsopercularis_thickness","lh_parsopercularis_thickness",159969.345093692,3167.81803093983,0,0
"lh_parsorbitalis_thickness","lh_parsorbitalis_thickness",38398.1926856532,693.536391081138,8.71413356596098e-151,2.03910725443487e-148
"lh_parstriangularis_thickness","lh_parstriangularis_thickness",140461.476533938,2739.14365077389,0,0
"lh_pericalcarine_thickness","lh_pericalcarine_thickness",60781.4036164056,1115.87744781277,2.16006212277181e-239,5.05454536728604e-237
"lh_postcentral_thickness","lh_postcentral_thickness",124061.753368316,2388.74484782992,0,0
"lh_posteriorcingulate_thickness","lh_posteriorcingulate_thickness",35929.1015912048,647.783772132434,4.26450283178137e-141,9.97893662636841e-139
