"","metrics_list","SS","F.stat","p","p_adj"
"lh_bankssts_thickness","lh_bankssts_thickness",111533.164096014,2003.39848186242,0,0
"lh_caudalanteriorcingulate_thickness","lh_caudalanteriorcingulate_thickness",1752.31679444923,28.9956020092494,7.32520562457192e-08,1.71409811614983e-05
"lh_caudalmiddlefrontal_thickness","lh_caudalmiddlefrontal_thickness",129653.146020966,2362.22609302944,0,0
"lh_cuneus_thickness","lh_cuneus_thickness",37922.5379774363,644.229539695724,3.38065304827562e-140,7.91072813296496e-138
"lh_entorhinal_thickness","lh_entorhinal_thickness",26699.5980561096,449.853530647037,6.83949212586856e-99,1.60044115745324e-96
"lh_fusiform_thickness","lh_fusiform_thickness",164204.905075644,3075.73142444677,0,0
"lh_inferiorparietal_thickness","lh_inferiorparietal_thickness",159046.891914416,2966.683565711,0,0
"lh_inferiortemporal_thickness","lh_inferiortemporal_thickness",72867.3969759855,1270.59212794673,6.17253520589724e-271,1.44437323817995e-268
"lh_isthmuscingulate_thickness","lh_isthmuscingulate_thickness",83874.8556808305,1474.8082993123,8.06828883915897e-313,1.8879795883632e-310
"lh_lateraloccipital_thickness","lh_lateraloccipital_thickness",179139.926632018,3396.69738427266,0,0
"lh_lateralorbitofrontal_thickness","lh_lateralorbitofrontal_thickness",47009.2588997944,803.978404920972,7.07470211307531e-174,1.65548029445962e-171
"lh_lingual_thickness","lh_lingual_thickness",197819.953140129,3809.41874433133,0,0
"lh_medialorbitofrontal_thickness","lh_medialorbitofrontal_thickness",41275.0366426643,702.918399250364,1.34372073543043e-152,3.14430652090721e-150
"lh_middletemporal_thickness","lh_middletemporal_thickness",181717.61979736,3452.89375039072,0,0
"lh_parahippocampal_thickness","lh_parahippocampal_thickness",57944.1072126636,999.096907405849,1.06967776536764e-214,2.50304597096028e-212
"lh_paracentral_thickness","lh_paracentral_thickness",88845.2836215547,1568.15033297343,0,0
"lh_parsopercularis_thickness","lh_parsopercularis_thickness",147381.13045849,2723.37825617084,0,0
"lh_parsorbitalis_thickness","lh_parsorbitalis_thickness",44156.2375972057,753.589475670273,2.80248351927488e-163,6.55781143510323e-161
"lh_parstriangularis_thickness","lh_parstriangularis_thickness",135944.037798007,2489.21914414522,0,0
"lh_pericalcarine_thickness","lh_pericalcarine_thickness",41744.2708301544,711.156013883108,2.45647978464114e-154,5.74816269606028e-152
"lh_postcentral_thickness","lh_postcentral_thickness",122886.734141275,2227.03583134802,0,0
"lh_posteriorcingulate_thickness","lh_posteriorcingulate_thickness",46069.2492184406,787.352782590108,2.20723416816595e-170,5.16492795350833e-168
"lh_precentral_thickness","lh_precentral_thickness",171679.325291423,3235.38325523129,0,0
"lh_precuneus_thickness","lh_precuneus_thickness",189795.824572989,3630.56405892331,0,0
"lh_rostralanteriorcingulate_thickness","lh_rostralanteriorcingulate_thickness",415.392069004243,6.86690703013109,0.00878640700602991,2.056019239411
"lh_rostralmiddlefrontal_thickness","lh_rostralmiddlefrontal_thickness",170026.750577834,3199.91689211671,0,0
"lh_superiorfrontal_thickness","lh_superiorfrontal_thickness",211298.528667377,4115.30848576334,0,0
"lh_superiorparietal_thickness","lh_superiorparietal_thickness",100108.687813923,1782.32297580152,0,0
"lh_superiortemporal_thickness","lh_superiortemporal_thickness",286384.871658966,5955.49007709734,0,0
"lh_supramarginal_thickness","lh_supramarginal_thickness",198289.362046503,3819.9559451586,0,0
"lh_frontalpole_thickness","lh_frontalpole_thickness",18388.780136677,307.956567509652,1.69806977334477e-68,3.97348326962675e-66
