"","metrics_list","Deviance","F.stat","p","p_adj"
"lh_bankssts_thickness","lh_bankssts_thickness",135750.415006276,840.935801820349,0,0
"lh_caudalanteriorcingulate_thickness","lh_caudalanteriorcingulate_thickness",31038.1318612366,185.371818588217,3.41628944380771e-119,7.99411729851005e-117
"lh_caudalmiddlefrontal_thickness","lh_caudalmiddlefrontal_thickness",135058.18881666,825.096763111962,0,0
"lh_cuneus_thickness","lh_cuneus_thickness",41442.4980376656,248.522681089278,7.35634861432699e-160,1.72138557575252e-157
"lh_entorhinal_thickness","lh_entorhinal_thickness",30549.5606593804,180.762048700816,2.92455600579272e-117,6.84346105355497e-115
"lh_fusiform_thickness","lh_fusiform_thickness",161659.247688193,1047.1517197221,0,0
"lh_inferiorparietal_thickness","lh_inferiorparietal_thickness",203948.676955345,1374.48703956173,0,0
"lh_inferiortemporal_thickness","lh_inferiortemporal_thickness",73095.4917288134,439.858171246976,1.66161857473482e-285,3.88818746487948e-283
"lh_isthmuscingulate_thickness","lh_isthmuscingulate_thickness",58032.328598879,343.920657705846,2.76256927978527e-225,6.46441211469753e-223
"lh_lateraloccipital_thickness","lh_lateraloccipital_thickness",210891.056349542,1432.63101293038,0,0
"lh_lateralorbitofrontal_thickness","lh_lateralorbitofrontal_thickness",30771.7810387393,181.199972649846,4.1833117084569e-118,9.78894939778914e-116
"lh_lingual_thickness","lh_lingual_thickness",175626.039024345,1149.04720873759,0,0
"lh_medialorbitofrontal_thickness","lh_medialorbitofrontal_thickness",24678.8240247185,145.600863033854,1.82536568697498e-94,4.27135570752146e-92
"lh_middletemporal_thickness","lh_middletemporal_thickness",204379.041816564,1347.96107831395,0,0
"lh_parahippocampal_thickness","lh_parahippocampal_thickness",63627.7553192906,386.732211246393,1.16317311068313e-247,2.72182507899854e-245
"lh_paracentral_thickness","lh_paracentral_thickness",94164.1811422291,582.578503104404,0,0
"lh_parsopercularis_thickness","lh_parsopercularis_thickness",161576.677333121,1037.31451863218,0,0
"lh_parsorbitalis_thickness","lh_parsorbitalis_thickness",40843.8521970217,241.409825607219,1.87538380156383e-157,4.38839809565936e-155
"lh_parstriangularis_thickness","lh_parstriangularis_thickness",141903.272768767,901.024233058329,0,0
"lh_pericalcarine_thickness","lh_pericalcarine_thickness",64082.7138961863,381.029432436149,2.2219024319281e-249,5.19925169071175e-247
"lh_postcentral_thickness","lh_postcentral_thickness",125091.434015095,763.784926345818,0,0
"lh_posteriorcingulate_thickness","lh_posteriorcingulate_thickness",42322.8387752506,250.092148405578,2.96942865612924e-163,6.94846305534243e-161
"lh_precentral_thickness","lh_precentral_thickness",154253.624657876,976.073959173489,0,0
"lh_precuneus_thickness","lh_precuneus_thickness",204963.735664957,1382.59905956731,0,0
"lh_rostralanteriorcingulate_thickness","lh_rostralanteriorcingulate_thickness",23254.8201392756,137.193955265996,5.9096841996132e-89,1.38286610270949e-86
"lh_rostralmiddlefrontal_thickness","lh_rostralmiddlefrontal_thickness",140991.84934946,897.185690124056,0,0
"lh_superiorfrontal_thickness","lh_superiorfrontal_thickness",195547.854375779,1289.95058743665,0,0
"lh_superiorparietal_thickness","lh_superiorparietal_thickness",136572.175139253,873.552653625882,0,0
