"","metrics_list","Deviance","F.stat","p","p_adj"
"lh_bankssts_thickness","lh_bankssts_thickness",111534.084090715,1927.07305863378,0,0
"lh_caudalanteriorcingulate_thickness","lh_caudalanteriorcingulate_thickness",27381.235781122,153.303416061076,1.03136611031131e-98,2.41339669812847e-96
"lh_caudalmiddlefrontal_thickness","lh_caudalmiddlefrontal_thickness",130427.988956554,756.463607446007,0,0
"lh_cuneus_thickness","lh_cuneus_thickness",43035.8126180044,239.671225822243,3.53162189646885e-156,8.26399523773711e-154
"lh_entorhinal_thickness","lh_entorhinal_thickness",27241.9966705288,143.924602001588,5.35500762548627e-98,1.25307178436379e-95
"lh_fusiform_thickness","lh_fusiform_thickness",166663.412811938,1024.74231114745,0,0
"lh_inferiorparietal_thickness","lh_inferiorparietal_thickness",160842.469971143,980.212919886674,0,0
"lh_inferiortemporal_thickness","lh_inferiortemporal_thickness",75184.7634368816,425.654413680823,1.72679644698671e-276,4.04070368594889e-274
"lh_isthmuscingulate_thickness","lh_isthmuscingulate_thickness",87642.2082440516,498.537787401857,9.88131291682493e-324,2.31222722253703e-321
"lh_lateraloccipital_thickness","lh_lateraloccipital_thickness",183331.45840078,1150.63025513169,0,0
"lh_lateralorbitofrontal_thickness","lh_lateralorbitofrontal_thickness",51898.4582548095,293.766275440938,4.27019779366362e-189,9.99226283717287e-187
"lh_lingual_thickness","lh_lingual_thickness",200333.64370776,1265.21824955354,0,0
"lh_medialorbitofrontal_thickness","lh_medialorbitofrontal_thickness",57419.1464121577,326.849725135865,1.06947606562051e-209,2.50257399355199e-207
"lh_middletemporal_thickness","lh_middletemporal_thickness",183401.25274782,1118.18410858305,0,0
"lh_parahippocampal_thickness","lh_parahippocampal_thickness",60615.9702947007,338.264882870602,1.42398833971596e-221,3.33213271493534e-219
"lh_paracentral_thickness","lh_paracentral_thickness",89999.3406088552,505.979131808738,0,0
"lh_parsopercularis_thickness","lh_parsopercularis_thickness",148188.809605789,868.429425915495,0,0
"lh_parsorbitalis_thickness","lh_parsorbitalis_thickness",46503.7333883152,259.231038828232,5.19340038241301e-169,1.21525568948464e-166
"lh_parstriangularis_thickness","lh_parstriangularis_thickness",137252.207885568,814.889747329759,0,0
"lh_pericalcarine_thickness","lh_pericalcarine_thickness",52493.7016736374,298.282742004031,2.51406119549076e-191,5.88290319744839e-189
"lh_postcentral_thickness","lh_postcentral_thickness",127489.312370498,761.952663248933,0,0
"lh_posteriorcingulate_thickness","lh_posteriorcingulate_thickness",49693.8146020635,279.505131724659,7.06478444156289e-181,1.65315955932572e-178
