"","metrics_list","SS","F.stat","p","p_adj"
"BRIA.BRIA.v_intra_ATRL","BRIA.BRIA.v_intra_ATRL",47561.6064382852,841.347702703872,4.56685509437735e-183,7.67231655855395e-180
"BRIA.BRIA.v_intra_CSTL","BRIA.BRIA.v_intra_CSTL",15147.0840647602,264.124593206579,3.36677733151015e-59,5.65618591693705e-56
"BRIA.BRIA.v_intra_CGL","BRIA.BRIA.v_intra_CGL",67513.8143065269,1205.02795041402,3.97010064905546e-260,6.66976909041318e-257
"BRIA.BRIA.v_intra_IFOFL","BRIA.BRIA.v_intra_IFOFL",65530.6638653255,1168.58763438132,1.94125511759013e-252,3.26130859755142e-249
"BRIA.BRIA.v_intra_ILFL","BRIA.BRIA.v_intra_ILFL",42928.9054524936,757.829655988493,2.87628202353318e-165,4.83215379953575e-162
"BRIA.BRIA.v_intra_SLFL","BRIA.BRIA.v_intra_SLFL",53656.1432479909,951.747211935195,1.55207302356925e-206,2.60748267959633e-203
"BRIA.BRIA.v_intra_UFL","BRIA.BRIA.v_intra_UFL",85343.4511079546,1535.59420318072,0,0
"BRIA.BRIA.v_intra_SLFTL","BRIA.BRIA.v_intra_SLFTL",43754.4844546639,772.687891385175,1.94718846920632e-168,3.27127662826662e-165
"BRIA.BRIA.v_intra_CorticospinaltractL","BRIA.BRIA.v_intra_CorticospinaltractL",1369.1247212505,23.7299992893173,1.11268355912702e-06,0.0018693083793334
"BRIA.BRIA.v_intra_MediallemniscusL","BRIA.BRIA.v_intra_MediallemniscusL",4253.16112925112,73.8099189347456,8.90995221946714e-18,1.49687197287048e-14
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL",11214.2487220201,195.208647826462,2.95531980309818e-44,4.96493726920495e-41
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL",1354.68660563696,23.4796061195426,1.26721518607863e-06,0.00212892151261209
"BRIA.BRIA.v_intra_CerebralpeduncleL","BRIA.BRIA.v_intra_CerebralpeduncleL",9076.97894681292,157.856565776489,3.8988496043878e-36,6.55006733537151e-33
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL",23274.2951617925,407.298003104866,4.03588271666461e-90,6.78028296399654e-87
"BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL","BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL",8993.54953287449,156.399929184028,8.09043930062701e-36,1.35919380250534e-32
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL",25307.8971636943,443.283949522463,7.18719786345094e-98,1.20744924105976e-94
"BRIA.BRIA.v_intra_AnteriorcoronaradiataL","BRIA.BRIA.v_intra_AnteriorcoronaradiataL",135108.500550717,2487.2246254676,0,0
"BRIA.BRIA.v_intra_SuperiorcoronaradiataL","BRIA.BRIA.v_intra_SuperiorcoronaradiataL",57398.4433671311,1019.8361130925,5.62166248962136e-221,9.44439298256389e-218
"BRIA.BRIA.v_intra_PosteriorcoronaradiataL","BRIA.BRIA.v_intra_PosteriorcoronaradiataL",60025.0614210921,1067.76248131473,3.98273235280968e-231,6.69099035272027e-228
"BRIA.BRIA.v_intra_PosteriorthalamicradiationL","BRIA.BRIA.v_intra_PosteriorthalamicradiationL",44310.5636016564,782.702006923047,1.4255745193517e-170,2.39496519251085e-167
"BRIA.BRIA.v_intra_SagittalstratumL","BRIA.BRIA.v_intra_SagittalstratumL",65193.4866295005,1162.3984834921,3.93332030967674e-251,6.60797812025693e-248
"BRIA.BRIA.v_intra_ExternalcapsuleL","BRIA.BRIA.v_intra_ExternalcapsuleL",18139.0314801936,316.713119530233,1.41895086901211e-70,2.38383745994034e-67
"BRIA.BRIA.v_intra_CingulumcingulategyrusL","BRIA.BRIA.v_intra_CingulumcingulategyrusL",70952.6933152508,1268.37178313825,1.77570120898375e-273,2.9831780310927e-270
"BRIA.BRIA.v_intra_CingulumhippocampusL","BRIA.BRIA.v_intra_CingulumhippocampusL",90258.5021589175,1627.66378135105,0,0
"BRIA.BRIA.v_intra_Fornix_StriaterminalisL","BRIA.BRIA.v_intra_Fornix_StriaterminalisL",57062.7278108038,1013.7186420545,1.11248930288506e-219,1.8689820288469e-216
"BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusL","BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusL",28638.7729011932,502.365989206824,1.41773622337657e-110,2.38179685527264e-107
"BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL","BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL",57224.5219556047,1016.66665503269,2.6394875322643e-220,4.43433905420402e-217
"BRIA.BRIA.v_intra_UncinatefasciculusL","BRIA.BRIA.v_intra_UncinatefasciculusL",45441.3196247313,803.080473149861,6.45965296273796e-175,1.08522169773998e-171
"BRIA.BRIA.v_intra_TapetumL","BRIA.BRIA.v_intra_TapetumL",171896.695124133,3219.48376616654,0,0
"BRIA.BRIA.v_intra_CINGL","BRIA.BRIA.v_intra_CINGL",69723.6747363578,1245.71081907485,1.05348316445698e-268,1.76985171628772e-265
"BRIA.BRIA.v_extra_ATRL","BRIA.BRIA.v_extra_ATRL",50000.9290578659,885.462642406921,1.8776415318464e-192,3.15443777350195e-189
"BRIA.BRIA.v_extra_CSTL","BRIA.BRIA.v_extra_CSTL",92014.6290803556,1660.65980080434,0,0
"BRIA.BRIA.v_extra_CGL","BRIA.BRIA.v_extra_CGL",97256.7630856424,1759.46939051818,0,0
"BRIA.BRIA.v_extra_IFOFL","BRIA.BRIA.v_extra_IFOFL",66915.6819386273,1194.03043577324,8.29174789464652e-258,1.39301364630061e-254
"BRIA.BRIA.v_extra_ILFL","BRIA.BRIA.v_extra_ILFL",43724.9361366965,772.155911274374,2.52850402844652e-168,4.24788676779016e-165
"BRIA.BRIA.v_extra_SLFL","BRIA.BRIA.v_extra_SLFL",90816.4395079357,1638.1411965084,0,0
"BRIA.BRIA.v_extra_UFL","BRIA.BRIA.v_extra_UFL",63758.514770397,1136.07944609535,1.42434597642107e-245,2.3929012403874e-242
"BRIA.BRIA.v_extra_SLFTL","BRIA.BRIA.v_extra_SLFTL",45627.6887010816,806.441186675423,1.24187662199036e-175,2.08635272494381e-172
"BRIA.BRIA.v_extra_CorticospinaltractL","BRIA.BRIA.v_extra_CorticospinaltractL",906.565157174598,15.7096272463245,7.39767368227454e-05,0.124280917862212
