"","metrics_list","SS","F.stat","p","p_adj"
"BRIA.BRIA.v_intra_ATRL","BRIA.BRIA.v_intra_ATRL",21494.7292332915,394.655438032255,5.20053933645792e-87,8.7369060852493e-84
"BRIA.BRIA.v_intra_CSTL","BRIA.BRIA.v_intra_CSTL",7414.78073035576,134.458587919534,5.40857742953412e-31,9.08641008161732e-28
"BRIA.BRIA.v_intra_CGL","BRIA.BRIA.v_intra_CGL",30439.171161595,563.354644757156,6.87775014287367e-123,1.15546202400278e-119
"BRIA.BRIA.v_intra_IFOFL","BRIA.BRIA.v_intra_IFOFL",30336.067884248,561.394649002405,1.78862578101989e-122,3.00489131211342e-119
"BRIA.BRIA.v_intra_ILFL","BRIA.BRIA.v_intra_ILFL",20273.2238652098,371.824621536062,3.94569848076795e-82,6.62877344769016e-79
"BRIA.BRIA.v_intra_SLFL","BRIA.BRIA.v_intra_SLFL",25379.8584886745,467.601709995448,1.45732679249617e-102,2.44830901139356e-99
"BRIA.BRIA.v_intra_UFL","BRIA.BRIA.v_intra_UFL",37914.4323864295,706.429915495711,4.43508749395575e-153,7.45094698984567e-150
"BRIA.BRIA.v_intra_SLFTL","BRIA.BRIA.v_intra_SLFTL",19341.4027756553,354.441449768854,2.06941684318612e-78,3.47662029655268e-75
"BRIA.BRIA.v_intra_CorticospinaltractL","BRIA.BRIA.v_intra_CorticospinaltractL",503.550593100255,9.07630486179074,0.00259255978853188,4.35550044473355
"BRIA.BRIA.v_intra_MediallemniscusL","BRIA.BRIA.v_intra_MediallemniscusL",1497.82385830185,27.021115164648,2.03158574410669e-07,0.000341306405009923
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL",6192.52907198528,112.174212509029,3.81843542525929e-26,6.41497151443561e-23
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL",916.54706121562,16.5263561176679,4.8155957971379e-05,0.0809020093919168
"BRIA.BRIA.v_intra_CerebralpeduncleL","BRIA.BRIA.v_intra_CerebralpeduncleL",5740.64178144932,103.947377038939,2.37243132797993e-24,3.98568463100628e-21
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL",9282.65125311352,168.606475192715,2.10742665711146e-38,3.54047678394726e-35
"BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL","BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL",4488.10789789306,81.1783642979589,2.23730450629771e-19,3.75867157058015e-16
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL",12090.6425555423,220.152756738335,1.50678821884924e-49,2.53140420766672e-46
"BRIA.BRIA.v_intra_AnteriorcoronaradiataL","BRIA.BRIA.v_intra_AnteriorcoronaradiataL",62655.9116421598,1194.03800999504,2.00899611937761e-254,3.37511348055439e-251
"BRIA.BRIA.v_intra_SuperiorcoronaradiataL","BRIA.BRIA.v_intra_SuperiorcoronaradiataL",27488.0690304609,507.396750010902,5.05767065434558e-111,8.49688669930057e-108
"BRIA.BRIA.v_intra_PosteriorcoronaradiataL","BRIA.BRIA.v_intra_PosteriorcoronaradiataL",29208.2068794847,539.97758088823,6.17636276060268e-118,1.03762894378125e-114
"BRIA.BRIA.v_intra_PosteriorthalamicradiationL","BRIA.BRIA.v_intra_PosteriorthalamicradiationL",23480.523109569,431.877245353599,5.92531781130885e-95,9.95453392299887e-92
"BRIA.BRIA.v_intra_SagittalstratumL","BRIA.BRIA.v_intra_SagittalstratumL",31099.1969300201,575.910325404251,1.51170445836402e-125,2.53966349005156e-122
"BRIA.BRIA.v_intra_ExternalcapsuleL","BRIA.BRIA.v_intra_ExternalcapsuleL",7453.10836953623,135.158158852307,3.81112916958713e-31,6.40269700490639e-28
"BRIA.BRIA.v_intra_CingulumcingulategyrusL","BRIA.BRIA.v_intra_CingulumcingulategyrusL",30147.7470728487,557.815599439984,1.02463460085417e-121,1.72138612943501e-118
"BRIA.BRIA.v_intra_CingulumhippocampusL","BRIA.BRIA.v_intra_CingulumhippocampusL",47962.6881422761,901.816354446245,5.70475220763254e-194,9.58398370882266e-191
"BRIA.BRIA.v_intra_Fornix_StriaterminalisL","BRIA.BRIA.v_intra_Fornix_StriaterminalisL",24116.6389998975,443.828452641861,1.68102806533646e-97,2.82412714976526e-94
"BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusL","BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusL",15960.723110615,291.615005268129,6.16681303714038e-65,1.03602459023958e-61
"BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL","BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL",27300.733758193,503.854506169922,2.85929189124952e-110,4.8036103772992e-107
"BRIA.BRIA.v_intra_UncinatefasciculusL","BRIA.BRIA.v_intra_UncinatefasciculusL",21349.3571630765,391.935733231859,1.98183604826621e-86,3.32948456108723e-83
"BRIA.BRIA.v_intra_TapetumL","BRIA.BRIA.v_intra_TapetumL",80651.7236362945,1562.90644942178,0,0
"BRIA.BRIA.v_intra_CINGL","BRIA.BRIA.v_intra_CINGL",34017.4144564453,631.601984899864,2.56946305010793e-137,4.31669792418133e-134
"BRIA.BRIA.v_extra_ATRL","BRIA.BRIA.v_extra_ATRL",22619.2457197146,415.717288722502,1.6573083151671e-91,2.78427796948073e-88
