"","metrics_list","SS","F.stat","p","p_adj"
"BRIA.BRIA.v_intra_ATRL","BRIA.BRIA.v_intra_ATRL",26196.0486257935,445.699634738864,8.31672489302958e-98,1.39720978202897e-94
"BRIA.BRIA.v_intra_CSTL","BRIA.BRIA.v_intra_CSTL",7754.64695404517,129.788066600308,5.70814201914675e-30,9.58967859216653e-27
"BRIA.BRIA.v_intra_CGL","BRIA.BRIA.v_intra_CGL",37315.137952697,641.283550740812,3.6056020013126e-139,6.05741136220517e-136
"BRIA.BRIA.v_intra_IFOFL","BRIA.BRIA.v_intra_IFOFL",35349.3532916394,606.418952662976,7.90842611619625e-132,1.32861558752097e-128
"BRIA.BRIA.v_intra_ILFL","BRIA.BRIA.v_intra_ILFL",22784.5838129942,386.472909271658,3.42483638073659e-85,5.75372511963747e-82
"BRIA.BRIA.v_intra_SLFL","BRIA.BRIA.v_intra_SLFL",28398.2513374181,484.125391104944,5.73205861866539e-106,9.62985847935785e-103
"BRIA.BRIA.v_intra_UFL","BRIA.BRIA.v_intra_UFL",47776.2979203698,828.931275381764,1.89673011544649e-178,3.1865065939501e-175
"BRIA.BRIA.v_intra_SLFTL","BRIA.BRIA.v_intra_SLFTL",24657.4451948893,418.942945690529,4.1072255781682e-92,6.90013897132258e-89
"BRIA.BRIA.v_intra_CorticospinaltractL","BRIA.BRIA.v_intra_CorticospinaltractL",908.698406314943,15.1172848713469,0.000101378519204145,0.170315912262964
"BRIA.BRIA.v_intra_MediallemniscusL","BRIA.BRIA.v_intra_MediallemniscusL",2875.45141308242,47.9193334570172,4.58334165292891e-12,7.70001397692056e-09
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL",5074.67709044646,84.7333009534566,3.76111533937077e-20,6.31867377014289e-17
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL",472.248943578452,7.85341612772644,0.00507762676143546,8.53041295921158
