"","metrics_list","Deviance","F.stat","p","p_adj"
"BRIA.BRIA.v_intra_ATRL","BRIA.BRIA.v_intra_ATRL",296402.243438769,1964.29942051239,0,0
"BRIA.BRIA.v_intra_CSTL","BRIA.BRIA.v_intra_CSTL",202462.227643229,1280.40894232552,0,0
"BRIA.BRIA.v_intra_CGL","BRIA.BRIA.v_intra_CGL",253249.390704375,1642.88937660701,0,0
"BRIA.BRIA.v_intra_IFOFL","BRIA.BRIA.v_intra_IFOFL",265828.288680149,1735.42203730788,0,0
"BRIA.BRIA.v_intra_ILFL","BRIA.BRIA.v_intra_ILFL",161972.086973208,1005.22291546134,0,0
"BRIA.BRIA.v_intra_SLFL","BRIA.BRIA.v_intra_SLFL",252213.861162104,1634.94661419429,0,0
"BRIA.BRIA.v_intra_UFL","BRIA.BRIA.v_intra_UFL",245633.471838942,1587.88019703251,0,0
"BRIA.BRIA.v_intra_SLFTL","BRIA.BRIA.v_intra_SLFTL",173416.952727664,1082.07958860784,0,0
"BRIA.BRIA.v_intra_CorticospinaltractL","BRIA.BRIA.v_intra_CorticospinaltractL",1775.63187562348,10.7969551341256,7.71993360803563e-07,0.00129694884614999
"BRIA.BRIA.v_intra_MediallemniscusL","BRIA.BRIA.v_intra_MediallemniscusL",42527.7803099412,249.213163606544,7.7611147319966e-161,1.30386727497543e-157
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL",106217.176941172,641.747209473289,0,0
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL",1658.80979514774,11.3610912060789,1.31038888624142e-06,0.00220145332888559
"BRIA.BRIA.v_intra_CerebralpeduncleL","BRIA.BRIA.v_intra_CerebralpeduncleL",117774.215756899,713.846668886316,0,0
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL",126536.128277363,772.454072684693,0,0
"BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL","BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL",161973.547385996,1004.52604638891,0,0
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL",140918.34377462,866.115172946344,0,0
"BRIA.BRIA.v_intra_AnteriorcoronaradiataL","BRIA.BRIA.v_intra_AnteriorcoronaradiataL",328400.739250221,2212.64583682519,0,0
"BRIA.BRIA.v_intra_SuperiorcoronaradiataL","BRIA.BRIA.v_intra_SuperiorcoronaradiataL",288216.274596697,1902.39196038751,0,0
"BRIA.BRIA.v_intra_PosteriorcoronaradiataL","BRIA.BRIA.v_intra_PosteriorcoronaradiataL",158991.24136796,985.43819929025,0,0
"BRIA.BRIA.v_intra_PosteriorthalamicradiationL","BRIA.BRIA.v_intra_PosteriorthalamicradiationL",128756.180196985,786.270643517489,0,0
"BRIA.BRIA.v_intra_SagittalstratumL","BRIA.BRIA.v_intra_SagittalstratumL",193642.358702707,1220.27088328761,0,0
"BRIA.BRIA.v_intra_ExternalcapsuleL","BRIA.BRIA.v_intra_ExternalcapsuleL",66113.1382855526,392.591809555219,1.28154526207946e-251,2.15299604029348e-248
"BRIA.BRIA.v_intra_CingulumcingulategyrusL","BRIA.BRIA.v_intra_CingulumcingulategyrusL",243693.404149082,1573.55204249212,0,0
"BRIA.BRIA.v_intra_CingulumhippocampusL","BRIA.BRIA.v_intra_CingulumhippocampusL",157136.602430745,973.351720698536,0,0
"BRIA.BRIA.v_intra_Fornix_StriaterminalisL","BRIA.BRIA.v_intra_Fornix_StriaterminalisL",234823.329769045,1509.71934078966,0,0
"BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusL","BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusL",153265.574822205,946.718317818138,0,0
"BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL","BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL",140344.504721269,861.478738847609,0,0
"BRIA.BRIA.v_intra_UncinatefasciculusL","BRIA.BRIA.v_intra_UncinatefasciculusL",80792.9735644725,482.595904058161,1.28467731904956e-308,2.15825789600326e-305
"BRIA.BRIA.v_intra_TapetumL","BRIA.BRIA.v_intra_TapetumL",244014.145103959,1575.48200758548,0,0
"BRIA.BRIA.v_intra_CINGL","BRIA.BRIA.v_intra_CINGL",225843.850263926,1445.63707035565,0,0
