"","metrics_list","Deviance","F.stat","p","p_adj"
"BRIA.BRIA.v_intra_ATRL","BRIA.BRIA.v_intra_ATRL",144247.617282112,989.483608211793,0,0
"BRIA.BRIA.v_intra_CSTL","BRIA.BRIA.v_intra_CSTL",101422.216751651,666.595168076815,0,0
"BRIA.BRIA.v_intra_CGL","BRIA.BRIA.v_intra_CGL",117335.574156711,783.849994118141,0,0
"BRIA.BRIA.v_intra_IFOFL","BRIA.BRIA.v_intra_IFOFL",119117.497214124,797.193615497134,0,0
"BRIA.BRIA.v_intra_ILFL","BRIA.BRIA.v_intra_ILFL",78526.9685007085,505.252645632513,1.9113601438647e-317,3.21108504169269e-314
"BRIA.BRIA.v_intra_SLFL","BRIA.BRIA.v_intra_SLFL",117084.183010855,781.64806115281,0,0
"BRIA.BRIA.v_intra_UFL","BRIA.BRIA.v_intra_UFL",113655.1021321,756.817916732118,0,0
"BRIA.BRIA.v_intra_SLFTL","BRIA.BRIA.v_intra_SLFTL",75520.2162479409,484.354476731776,7.63381889410386e-305,1.28248157420945e-301
"BRIA.BRIA.v_intra_CorticospinaltractL","BRIA.BRIA.v_intra_CorticospinaltractL",820.484740442829,5.30920293905428,0.00159686164167511,2.68272755801419
"BRIA.BRIA.v_intra_MediallemniscusL","BRIA.BRIA.v_intra_MediallemniscusL",18456.899439892,111.960255281461,2.48836084919363e-72,4.18044622664529e-69
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL",59410.5947139498,375.107153816048,6.16215390964335e-238,1.03524185682008e-234
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL",916.820317791775,16.2966540969316,4.94917311209002e-05,0.0831461082831123
"BRIA.BRIA.v_intra_CerebralpeduncleL","BRIA.BRIA.v_intra_CerebralpeduncleL",69856.8957971502,444.924069262843,3.35068575126195e-281,5.62915206212007e-278
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL",54225.1998260678,341.065848828182,1.28024843383159e-216,2.15081736883706e-213
"BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL","BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL",78317.9310772573,503.516866551555,1.44848313301565e-316,2.43345166346629e-313
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL",67220.8467218496,428.059553858474,2.98016786991603e-270,5.00668202145893e-267
"BRIA.BRIA.v_intra_AnteriorcoronaradiataL","BRIA.BRIA.v_intra_AnteriorcoronaradiataL",155082.680728666,1075.72948839406,0,0
"BRIA.BRIA.v_intra_SuperiorcoronaradiataL","BRIA.BRIA.v_intra_SuperiorcoronaradiataL",140915.696114635,963.490910027984,0,0
"BRIA.BRIA.v_intra_PosteriorcoronaradiataL","BRIA.BRIA.v_intra_PosteriorcoronaradiataL",81099.0438832836,523.064079843194,0,0
"BRIA.BRIA.v_intra_PosteriorthalamicradiationL","BRIA.BRIA.v_intra_PosteriorthalamicradiationL",72062.1606251434,460.477324731839,2.14546908515678e-290,3.60438806306339e-287
"BRIA.BRIA.v_intra_SagittalstratumL","BRIA.BRIA.v_intra_SagittalstratumL",97602.1642979698,639.695834009653,0,0
"BRIA.BRIA.v_intra_ExternalcapsuleL","BRIA.BRIA.v_intra_ExternalcapsuleL",30465.7765509335,187.530457451576,3.09635892257539e-120,5.20188298992666e-117
"BRIA.BRIA.v_intra_CingulumcingulategyrusL","BRIA.BRIA.v_intra_CingulumcingulategyrusL",110412.615860685,732.737425264414,0,0
"BRIA.BRIA.v_intra_CingulumhippocampusL","BRIA.BRIA.v_intra_CingulumhippocampusL",84295.3644182321,545.573663260696,0,0
"BRIA.BRIA.v_intra_Fornix_StriaterminalisL","BRIA.BRIA.v_intra_Fornix_StriaterminalisL",104500.678426562,689.608424090453,0,0
"BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusL","BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusL",81803.0511914401,527.650480537434,0,0
"BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL","BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL",67708.0057880857,430.602371914597,2.87273483460306e-272,4.82619452213314e-269
"BRIA.BRIA.v_intra_UncinatefasciculusL","BRIA.BRIA.v_intra_UncinatefasciculusL",39496.1977535565,244.861477068945,1.30078167095859e-156,2.18531320721043e-153
"BRIA.BRIA.v_intra_TapetumL","BRIA.BRIA.v_intra_TapetumL",120725.055199688,808.826796733538,0,0
"BRIA.BRIA.v_intra_CINGL","BRIA.BRIA.v_intra_CINGL",116556.960508565,778.185390102582,0,0
"BRIA.BRIA.v_extra_ATRL","BRIA.BRIA.v_extra_ATRL",28879.456372282,176.237412353438,7.50611315948879e-114,1.26102701079412e-110
"BRIA.BRIA.v_extra_CSTL","BRIA.BRIA.v_extra_CSTL",60766.7332721816,383.808376576324,1.58522461404174e-243,2.66317735159013e-240
"BRIA.BRIA.v_extra_CGL","BRIA.BRIA.v_extra_CGL",55802.4931552405,350.868921812685,4.35780915426151e-223,7.32111937915934e-220
"BRIA.BRIA.v_extra_IFOFL","BRIA.BRIA.v_extra_IFOFL",50892.0375347568,315.947109304122,6.27774170743518e-203,1.05466060684911e-199
"BRIA.BRIA.v_extra_ILFL","BRIA.BRIA.v_extra_ILFL",32351.3045303326,196.907894256669,9.28440957813195e-128,1.55978080912617e-124
"BRIA.BRIA.v_extra_SLFL","BRIA.BRIA.v_extra_SLFL",57196.7468199288,358.362485447779,8.47393338758434e-229,1.42362080911417e-225
"BRIA.BRIA.v_extra_UFL","BRIA.BRIA.v_extra_UFL",60839.8168241177,380.957347752126,8.58807959411046e-244,1.44279737181056e-240
