"","metrics_list","Deviance","F.stat","p","p_adj"
"BRIA.BRIA.v_intra_ATRL","BRIA.BRIA.v_intra_ATRL",151452.497968133,964.619020612425,0,0
"BRIA.BRIA.v_intra_CSTL","BRIA.BRIA.v_intra_CSTL",97504.244543566,588.510960480251,0,0
"BRIA.BRIA.v_intra_CGL","BRIA.BRIA.v_intra_CGL",142419.554625324,899.619210187788,0,0
"BRIA.BRIA.v_intra_IFOFL","BRIA.BRIA.v_intra_IFOFL",138219.082188127,868.750791215679,0,0
"BRIA.BRIA.v_intra_ILFL","BRIA.BRIA.v_intra_ILFL",93200.0094565792,559.733232247771,0,0
"BRIA.BRIA.v_intra_SLFL","BRIA.BRIA.v_intra_SLFL",128386.164611884,798.353256692544,0,0
"BRIA.BRIA.v_intra_UFL","BRIA.BRIA.v_intra_UFL",153609.372311297,981.392751162845,0,0
"BRIA.BRIA.v_intra_SLFTL","BRIA.BRIA.v_intra_SLFTL",93455.3949247914,562.556854579484,0,0
"BRIA.BRIA.v_intra_CorticospinaltractL","BRIA.BRIA.v_intra_CorticospinaltractL",973.816886399873,8.18423638010252,0.00029586226128429,0.497048598957607
"BRIA.BRIA.v_intra_MediallemniscusL","BRIA.BRIA.v_intra_MediallemniscusL",25066.1839375072,140.207841952219,5.98555154921835e-91,1.00557266026868e-87
"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL",46081.7735681145,264.033085415337,3.96123134432631e-169,6.6548686584682e-166
"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL",864.949702539248,5.8808899149676,0.00131855500623198,2.21517241046972
"BRIA.BRIA.v_intra_CerebralpeduncleL","BRIA.BRIA.v_intra_CerebralpeduncleL",48741.0510727614,280.814938740314,3.83007949121567e-179,6.43453354524232e-176
"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL",79242.3802087002,470.489160495931,1.09592274842181e-295,1.84115021734864e-292
"BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL","BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL",79759.2379176114,471.193506339415,1.14502850583997e-297,1.92364788981114e-294
"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL",68656.2526991975,403.189871751423,7.4482829925511e-255,1.25131154274859e-251
"BRIA.BRIA.v_intra_AnteriorcoronaradiataL","BRIA.BRIA.v_intra_AnteriorcoronaradiataL",177654.269994562,1164.49713916711,0,0
"BRIA.BRIA.v_intra_SuperiorcoronaradiataL","BRIA.BRIA.v_intra_SuperiorcoronaradiataL",144475.336457514,914.627667798692,0,0
"BRIA.BRIA.v_intra_PosteriorcoronaradiataL","BRIA.BRIA.v_intra_PosteriorcoronaradiataL",86526.1177677335,517.819631998229,9.88131291682493e-324,1.66006057002659e-320
"BRIA.BRIA.v_intra_PosteriorthalamicradiationL","BRIA.BRIA.v_intra_PosteriorthalamicradiationL",61163.4169573365,356.640926368618,3.34300710832537e-226,5.61625194198662e-223
"BRIA.BRIA.v_intra_SagittalstratumL","BRIA.BRIA.v_intra_SagittalstratumL",101731.18171294,617.449623218846,0,0
"BRIA.BRIA.v_intra_ExternalcapsuleL","BRIA.BRIA.v_intra_ExternalcapsuleL",42132.3379241005,241.596456178111,2.45297166227745e-154,4.12099239262612e-151
"BRIA.BRIA.v_intra_CingulumcingulategyrusL","BRIA.BRIA.v_intra_CingulumcingulategyrusL",133730.579654691,837.931159403212,0,0
"BRIA.BRIA.v_intra_CingulumhippocampusL","BRIA.BRIA.v_intra_CingulumhippocampusL",73141.3854994741,431.964873021289,4.1507226355571e-272,6.97321402773594e-269
"BRIA.BRIA.v_intra_Fornix_StriaterminalisL","BRIA.BRIA.v_intra_Fornix_StriaterminalisL",129048.505831847,804.578056313943,0,0
"BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusL","BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusL",69753.211254054,409.528358921207,4.63041358568966e-259,7.77909482395863e-256
"BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL","BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL",71447.5784730343,420.202569371123,1.41602444611713e-265,2.37892106947678e-262
"BRIA.BRIA.v_intra_UncinatefasciculusL","BRIA.BRIA.v_intra_UncinatefasciculusL",42050.0803170388,240.571688662476,5.08088303845631e-154,8.53588350460659e-151
"BRIA.BRIA.v_intra_TapetumL","BRIA.BRIA.v_intra_TapetumL",134766.346221575,845.285956719124,0,0
