"","metrics_list","SS","F.stat","p","p_adj"
"lh_bankssts_thickness","lh_bankssts_thickness",246012.73432639,4597.0418415907,0,0
"lh_caudalanteriorcingulate_thickness","lh_caudalanteriorcingulate_thickness",8129.77552015055,139.046983682228,4.76282285716355e-32,1.11450054857627e-29
"lh_caudalmiddlefrontal_thickness","lh_caudalmiddlefrontal_thickness",263897.635867968,4965.79252857541,0,0
"lh_cuneus_thickness","lh_cuneus_thickness",78299.4892180208,1373.50665612425,1.86320066334423e-296,4.35988955222551e-294
"lh_entorhinal_thickness","lh_entorhinal_thickness",56215.597463137,978.228202048204,1.3340413321835e-212,3.1216567173094e-210
"lh_fusiform_thickness","lh_fusiform_thickness",323049.954396722,6223.0738313051,0,0
"lh_inferiorparietal_thickness","lh_inferiorparietal_thickness",358917.382426152,7014.91025944271,0,0
"lh_inferiortemporal_thickness","lh_inferiortemporal_thickness",144116.296211872,2590.30603076883,0,0
"lh_isthmuscingulate_thickness","lh_isthmuscingulate_thickness",136911.050591847,2454.18420283043,0,0
"lh_lateraloccipital_thickness","lh_lateraloccipital_thickness",381991.464488627,7536.64377343488,0,0
"lh_lateralorbitofrontal_thickness","lh_lateralorbitofrontal_thickness",71048.7808460402,1243.02543642282,7.47721051280254e-269,1.74966725999579e-266
"lh_lingual_thickness","lh_lingual_thickness",366631.884087491,7188.25108363468,0,0
"lh_medialorbitofrontal_thickness","lh_medialorbitofrontal_thickness",48000.8926274832,832.802729750331,1.42516581374446e-181,3.33488800416203e-179
"lh_middletemporal_thickness","lh_middletemporal_thickness",385162.065844822,7609.10882462006,0,0
"lh_parahippocampal_thickness","lh_parahippocampal_thickness",120666.093029058,2149.9532827144,0,0
"lh_paracentral_thickness","lh_paracentral_thickness",182494.93963852,3327.90443556531,0,0
"lh_parsopercularis_thickness","lh_parsopercularis_thickness",307314.295986495,5882.82569841929,0,0
"lh_parsorbitalis_thickness","lh_parsorbitalis_thickness",82357.1302015223,1446.82854885283,6.19079898753154e-312,1.44864696308238e-309
"lh_parstriangularis_thickness","lh_parstriangularis_thickness",276425.409438899,5227.18255791891,0,0
"lh_pericalcarine_thickness","lh_pericalcarine_thickness",101438.647167161,1794.57158891736,0,0
"lh_postcentral_thickness","lh_postcentral_thickness",246570.269110755,4608.45958437981,0,0
"lh_posteriorcingulate_thickness","lh_posteriorcingulate_thickness",81682.8224641536,1434.62868102594,2.32034183800762e-309,5.42959990093784e-307
