"","metrics_list","Deviance","F.stat","p","p_adj"
"lh_bankssts_thickness","lh_bankssts_thickness",246903.126555624,1480.13892982154,0,0
"lh_caudalanteriorcingulate_thickness","lh_caudalanteriorcingulate_thickness",58407.4194422839,338.456336348959,7.02394958537853e-218,1.64360420297858e-215
"lh_caudalmiddlefrontal_thickness","lh_caudalmiddlefrontal_thickness",265181.923891933,1604.04740965647,0,0
"lh_cuneus_thickness","lh_cuneus_thickness",83645.2963837278,480.426573558008,1.33532876617554e-313,3.12466931285076e-311
"lh_entorhinal_thickness","lh_entorhinal_thickness",57665.9072057521,319.334508212128,6.78021426820295e-215,1.58657013875949e-212
"lh_fusiform_thickness","lh_fusiform_thickness",327791.094699426,2091.43968339972,0,0
"lh_inferiorparietal_thickness","lh_inferiorparietal_thickness",362487.484099162,2338.44156094284,0,0
"lh_inferiortemporal_thickness","lh_inferiortemporal_thickness",147129.779627405,870.540199095145,0,0
"lh_isthmuscingulate_thickness","lh_isthmuscingulate_thickness",144578.09316203,847.048021114793,0,0
"lh_lateraloccipital_thickness","lh_lateraloccipital_thickness",392880.877080865,2581.8516004596,0,0
"lh_lateralorbitofrontal_thickness","lh_lateralorbitofrontal_thickness",80847.8313113768,469.645175869815,5.44598837065679e-303,1.27436127873369e-300
"lh_lingual_thickness","lh_lingual_thickness",373706.04338026,2423.43184116259,0,0
"lh_medialorbitofrontal_thickness","lh_medialorbitofrontal_thickness",76207.6655910145,442.927286516751,2.45114045017961e-285,5.73566865342028e-283
"lh_middletemporal_thickness","lh_middletemporal_thickness",387091.211644947,2497.27782234232,0,0
"lh_parahippocampal_thickness","lh_parahippocampal_thickness",123435.491936925,706.259964146264,0,0
"lh_paracentral_thickness","lh_paracentral_thickness",183891.096121352,1067.14144565756,0,0
"lh_parsopercularis_thickness","lh_parsopercularis_thickness",309505.224688236,1919.67840561075,0,0
"lh_parsorbitalis_thickness","lh_parsorbitalis_thickness",87145.239009778,505.444983022093,0,0
"lh_parstriangularis_thickness","lh_parstriangularis_thickness",279443.807590521,1739.99786733479,0,0
"lh_pericalcarine_thickness","lh_pericalcarine_thickness",115470.1285921,678.431723470938,0,0
"lh_postcentral_thickness","lh_postcentral_thickness",251445.388560677,1543.51621190951,0,0
"lh_posteriorcingulate_thickness","lh_posteriorcingulate_thickness",91515.6997022158,533.117618900066,0,0
"lh_precentral_thickness","lh_precentral_thickness",327489.159844496,2047.32037753419,0,0
"lh_precuneus_thickness","lh_precuneus_thickness",397074.153007022,2604.45742725507,0,0
"lh_rostralanteriorcingulate_thickness","lh_rostralanteriorcingulate_thickness",34107.8446154273,195.576774670272,1.66927247638408e-126,3.90609759473874e-124
