"","metrics_list","SS","F.stat","p","p_adj","Sex"
"1","BRIA_vintra_lh",183423.152546804,3640.16082940556,0,0,"Male"
"2","BRIA_vintra_rh",24871.279846272,423.048368786936,5.53744049100089e-93,3.43321310442055e-91,"Male"
"3","BRIA_vextra_lh",21300.5014923092,361.148791989439,8.80088382833814e-80,5.45654797356965e-78,"Male"
"4","BRIA_vextra_rh",33720.9542445506,578.189075916713,7.23659287599116e-126,4.48668758311452e-124,"Male"
"5","BRIA_vcsf_lh",25679.9889102483,437.122750905768,5.60120585186635e-96,3.47274762815714e-94,"Male"
"6","BRIA_vcsf_rh",0.356603565625846,0.00593265727532114,0.938605471953548,58.19353926112,"Male"
"7","BRIA_micrord_lh",0.0241110143251717,0.000401124263498299,0.984021178720468,61.009313080669,"Male"
"8","BRIA_micrord_rh",154996.477522673,2986.72561063302,0,0,"Male"
"9","BRIA_microfa_lh",152149.474816072,2923.36626139034,0,0,"Male"
"10","BRIA_microfa_rh",14594.4008787388,245.965247409756,4.38500063010207e-55,2.71870039066329e-53,"Male"
"11","BRIA_microax_lh",13435.0512368125,226.192067768456,7.95120210926215e-51,4.92974530774253e-49,"Male"
"12","BRIA_microax_rh",4792.80624632258,80.0741303685402,3.93327391691354e-19,2.43862982848639e-17,"Male"
"13","BRIA_microadc_lh",4600.16075731488,76.8424674654232,2.00580651944584e-18,1.24360004205642e-16,"Male"
"14","BRIA_microadc_rh",73125.2178645255,1300.38329765908,1.94278920208332e-275,1.20452930529166e-273,"Male"
"15","BRIA_dradextra_lh",71183.7876831174,1263.54725726763,6.08534482592872e-268,3.77291379207581e-266,"Male"
"16","BRIA_dradextra_rh",8563.17986457073,143.545486892829,5.88245375589696e-33,3.64712132865612e-31,"Male"
"17","BRIA_daxintra_lh",7883.50503484951,132.072286758479,1.82211033971871e-30,1.1297084106256e-28,"Male"
"18","BRIA_daxintra_rh",6077.51959410799,101.653649286358,7.59974325047617e-24,4.71184081529523e-22,"Male"
"19","BRIA_daxextra_lh",5439.70179540128,90.933990628624,1.66081839443616e-21,1.02970740455042e-19,"Male"
"20","BRIA_daxextra_rh",9585.70416949177,160.832254866518,1.05107959234054e-36,6.51669347251135e-35,"Male"
"21","DKI_AK_lh",8634.11396489735,144.743683102807,3.23279910590219e-33,2.00433544565936e-31,"Male"
"22","DKI_AK_rh",75955.6780484174,1354.32963373305,2.16623416312463e-286,1.34306518113727e-284,"Male"
"23","DKI_RK_lh",75966.8348199409,1354.5428439184,1.96099276446795e-286,1.21581551397013e-284,"Male"
"24","DKI_RK_rh",107616.582043184,1978.03353470423,0,0,"Male"
"25","DKI_MK_lh",93159.3174538049,1688.52672507712,0,0,"Male"
"26","DKI_MK_rh",96484.9538767299,1754.40831159819,0,0,"Male"
"27","DTI_AD_lh",82441.5128543619,1479.0393693101,1.34431714773589e-311,8.33476631596249e-310,"Male"
"28","DTI_AD_rh",61918.2809512326,1089.58385289038,2.36266924535332e-232,1.46485493211906e-230,"Male"
"29","DTI_RD_lh",62556.7624151132,1101.47508989698,8.52527270937842e-235,5.28566907981462e-233,"Male"
"30","DTI_RD_rh",182301.867573591,3613.64693158121,0,0,"Male"
"31","DTI_MD_lh",178392.382906472,3521.68978991888,0,0,"Male"
"32","DTI_MD_rh",180602.911938781,3573.59223526145,0,0,"Male"
