"","LT1","RT1","bothT1","LdMRI","RdMRI","bothdMRI","Lcombi","Rcombi","bothcombi","AssociationVar"
"1",4.80014020978034e-29,7.93276749726839e-34,7.75023089242578e-26,7.00879901149223e-32,2.82716512673775e-34,4.92185141633389e-31,3.77955790793554e-39,6.97676815972833e-38,1.62141555387882e-33,"Waist Circumference"
"2",2.6869585623518e-05,3.58033020251725e-07,0.000233675298716978,0.000215791589288512,2.78340196904458e-06,2.12339286148192e-05,5.94986318610419e-06,1.31534393617692e-06,7.24622096733728e-05,"Hip Circumference"
"3",5.19899509554957e-34,2.88969172215228e-26,2.15331962136627e-33,5.11676334836594e-33,3.24890643677626e-16,8.62334548971282e-24,3.59368706700864e-41,2.43072470010642e-25,2.05173245146221e-32,"Height"
"4",1.29575143032105e-18,2.8298611284305e-25,1.2324106708905e-19,2.04361866556237e-10,2.24263317052359e-15,1.63199608192624e-15,2.97041587221776e-22,5.39361639538282e-28,2.70816860140697e-22,"Smoking Status"
"5",4.94415580192212e-37,1.02746053721042e-39,4.562070214226e-32,7.66512440448347e-34,3.04671894559829e-32,2.18690602394939e-31,1.2803181280423e-44,6.25597441728132e-39,3.26984491204382e-37,"BMI"
"6",1.90329452343648e-09,3.98459857533894e-13,1.39928639583139e-07,5.09402404607054e-08,1.88011895164665e-12,2.07066169719743e-09,7.26845669239397e-11,1.0811065374603e-12,9.97138349579482e-10,"Weight"
"7",2.91284413399205e-41,6.24159419680963e-45,3.2697885561042e-38,2.57829243776311e-52,6.19148559290304e-50,1.79238085815941e-46,4.06090515058663e-60,1.56138448405471e-55,9.78617572956268e-53,"WHR"
"8",3.88779257903355e-07,7.43124173599815e-06,3.61420260363981e-08,2.87454040928269e-41,3.20439439103634e-36,2.47619327299697e-35,2.9046918050797e-34,3.05396251383969e-31,2.39097505901526e-31,"Diastolic Blood Pressure"
"9",9.30650551736107e-13,3.04012404425559e-11,1.84648475271761e-13,1.2771634896378e-52,8.5076657163881e-42,5.75327647916259e-46,2.61285866424761e-45,3.86242083216258e-40,3.12040436973798e-42,"Systolic Blood Pressure"
"10",3.22658234904728e-08,9.68140930780042e-08,4.22096211757808e-08,1.5038660278319e-22,2.65240759044397e-16,2.98834645817345e-20,2.55294918865099e-20,1.30472972829138e-17,2.31463563577836e-19,"Pulse Pressure"
"11",1.68002106397986e-21,2.90690271589049e-20,4.45798495059811e-19,2.95337068045664e-11,6.5859759521918e-11,1.16800966683415e-11,2.32188533132072e-16,9.42651682768113e-13,3.87742958410342e-15,"Diabetis"
"12",1.83257817768419e-14,7.1701340796153e-14,1.01334485643593e-14,1.44140138320303e-56,1.50249049352051e-40,2.73115064933064e-50,2.97061394468809e-57,1.60502414505613e-37,4.09578294152325e-45,"Hypertension"
"13",0.00187693615359584,0.000187356025512405,0.0047959339341506,5.10118932037477e-08,0.00012831016943645,4.59789592604874e-07,4.75889630450541e-07,0.000104344187136324,0.000115950366254362,"High Cholsterol"
"14",0.21122882162241,0.175819803689724,0.195612537729039,0.236546885509682,0.346252956755847,0.196646777535449,0.614283130500561,0.837025635378205,0.516738935531432,"Alcohol"
"15",2.36034939553809e-07,1.56112620009531e-09,1.3735313306881e-07,0.0144033736924043,0.00898747068723551,0.00899573115765074,1.18540859332363e-06,1.5497286526233e-07,1.04928698220408e-05,"Smoking"
