"","LT1","RT1","bothT1","LdMRI","RdMRI","bothdMRI","Lcombi","Rcombi","bothcombi","AssociationVar"
"1",3.36498658862216e-21,2.50698907224581e-29,5.5383720978028e-22,1.12124823322327e-33,6.52413789863984e-45,1.42376832389392e-36,8.18654001290554e-27,7.59117113816632e-38,4.03874519280348e-28,"Waist Circumference"
"2",0.0146363461287056,2.60667478606053e-05,0.00691266642837145,7.31705927364456e-06,8.61275491006753e-11,2.51533836253851e-06,0.00618457369930816,4.40517131723481e-07,0.000567404850981975,"Hip Circumference"
"3",1.57254438555269e-40,8.67972362074731e-31,1.25126873472344e-36,1.44319417577521e-26,2.55812329212243e-10,1.34418129949247e-16,4.77861369668042e-45,7.51493748851215e-23,7.4970396599552e-30,"Height"
"4",6.21082377669455e-18,2.67732716352818e-23,2.35721373598941e-19,4.26876423119763e-13,1.78217035642996e-17,1.06791919535256e-15,2.74003071506197e-20,2.20212038465943e-25,1.84802984984018e-23,"Smoking Status"
"5",1.24598806016076e-27,9.89128253490842e-35,3.5819075133427e-27,1.27688330237953e-33,8.54479449827131e-40,7.3610388666401e-35,8.09880735790209e-31,2.01557719151416e-38,5.53721864287756e-31,"BMI"
"6",0.000168418230088148,2.51449272685413e-09,5.13049302556554e-05,1.83800812738466e-09,4.93233733364849e-20,1.16456157693959e-13,6.80183062163852e-05,2.46360427292704e-13,9.72954084002095e-08,"Weight"
"7",4.87944967491729e-36,6.11014265543869e-42,4.44152215292094e-36,5.54618875347737e-51,8.76567237230575e-58,1.45556848524688e-54,6.33763613242675e-47,5.19864751890541e-54,4.23620734748532e-45,"WHR"
"8",2.04368315581166e-06,1.457785149385e-05,2.04864269814701e-06,2.50221310183457e-37,1.86606948685032e-38,2.11788916292258e-37,7.48232809427932e-26,1.39312387486224e-32,3.66595206392412e-29,"Diastolic Blood Pressure"
"9",1.75971222413904e-11,2.88366552123397e-11,5.31809985401549e-13,7.67041999467951e-48,1.63627535141118e-42,8.15146925012991e-47,5.17548547770662e-35,1.97465056337252e-40,1.36521946503714e-38,"Systolic Blood Pressure"
"10",1.69108985666945e-07,4.86682052506673e-08,4.02265269436716e-09,1.01496421526734e-20,9.17063482674957e-16,8.34848887528965e-20,2.50537422011285e-16,4.20001967108248e-17,1.77406366621079e-17,"Pulse Pressure"
"11",4.18709563550928e-22,3.29181600811106e-21,3.30046700492586e-22,9.66338253820315e-11,1.41195676460092e-10,4.59484875425584e-12,1.94221866984829e-16,1.0167627389579e-13,4.98337153495281e-13,"Diabetis"
"12",1.53503376449961e-12,3.53970008837489e-12,4.05039192727921e-12,6.80323497795495e-55,1.72146828699561e-39,2.163366564165e-47,6.0321796768501e-41,2.54090436685949e-39,6.01148890086106e-40,"Hypertension"
"13",0.0173278752105797,0.00523062291104222,0.0138034811461164,7.04261235616533e-07,9.35157492018436e-05,5.90827551406055e-06,2.32967142827442e-05,0.00065772555856977,0.00446672104650682,"High Cholsterol"
"14",0.148366708601779,0.0539178254374846,0.158042524820235,0.140519877595895,0.566282331525086,0.127355420151059,0.23241580838805,0.961285206407637,0.331140949591322,"Alcohol"
"15",1.61522976470809e-06,6.69253252824588e-10,3.25542227580361e-07,0.000737672253989713,0.000659725628467881,0.00118954747488632,4.16753136675829e-06,6.99900973291406e-06,9.94093209579281e-06,"Smoking"
"16",3.00598916165708e-05,9.30215497970834e-08,1.69869220325245e-07,0.000138131869567687,0.0217002232243931,5.79055539986886e-05,0.501927524401233,0.455553910742422,0.566159109948543,"Ethnicity"
