"","metrics_list","Deviance","F.stat","p","p_adj","Sex"
"1","BRIA_vintra_lh",301348.240378779,1988.15971559463,0,0,"Male"
"2","BRIA_vintra_rh",266677.187880233,1729.0888282138,0,0,"Male"
"3","BRIA_vextra_lh",96837.1207692968,577.008056864932,0,0,"Male"
"4","BRIA_vextra_rh",66709.6947314991,390.951233734963,2.66777761153591e-252,1.65402211915226e-250,"Male"
"5","BRIA_vcsf_lh",403685.929613581,2810.10006203886,0,0,"Male"
"6","BRIA_vcsf_rh",407895.858574725,2845.7826943581,0,0,"Male"
"7","BRIA_micrord_lh",502457.431327051,3689.94516471046,0,0,"Male"
"8","BRIA_micrord_rh",493045.191381939,3601.83372223964,0,0,"Male"
"9","BRIA_microfa_lh",479030.496364697,3468.24385003162,0,0,"Male"
"10","BRIA_microfa_rh",451240.245573964,3217.36372432825,0,0,"Male"
"11","BRIA_microax_lh",131122.502634047,791.872544601498,0,0,"Male"
"12","BRIA_microax_rh",125531.201842622,756.976858288762,0,0,"Male"
"13","BRIA_microadc_lh",455325.580465497,3258.03282938662,0,0,"Male"
"14","BRIA_microadc_rh",443201.814620922,3150.38375259261,0,0,"Male"
"15","BRIA_dradextra_lh",270571.478638271,1758.45282733317,0,0,"Male"
"16","BRIA_dradextra_rh",260653.139380616,1685.9604514991,0,0,"Male"
"17","BRIA_daxintra_lh",231747.070292113,1477.92397930492,0,0,"Male"
"18","BRIA_daxintra_rh",220558.105616509,1399.0464881238,0,0,"Male"
"19","BRIA_daxextra_lh",277204.705480331,1807.33147852716,0,0,"Male"
"20","BRIA_daxextra_rh",268128.228415013,1740.40033638255,0,0,"Male"
"21","DKI_AK_lh",252119.60985897,1622.85127406033,0,0,"Male"
"22","DKI_AK_rh",281637.873740458,1838.66124944849,0,0,"Male"
"23","DKI_RK_lh",251213.716370326,1615.45935880008,0,0,"Male"
"24","DKI_RK_rh",217434.378582904,1374.59470454349,0,0,"Male"
"25","DKI_MK_lh",230479.355180404,1467.13354486527,0,0,"Male"
"26","DKI_MK_rh",194632.761151971,1213.61218729251,0,0,"Male"
"27","DTI_AD_lh",96780.1118683782,574.475552423492,0,0,"Male"
"28","DTI_AD_rh",65734.9066725597,387.422037161525,1.41148004204866e-248,8.75117626070169e-247,"Male"
"29","DTI_RD_lh",503168.667981426,3696.40459548166,0,0,"Male"
"30","DTI_RD_rh",489353.314853044,3567.29231343272,0,0,"Male"
"31","DTI_MD_lh",436969.474686248,3094.35430340517,0,0,"Male"
"32","DTI_MD_rh",429027.060622937,3025.11289430648,0,0,"Male"
"33","DTI_FA_lh",460135.882871265,3301.57208063574,0,0,"Male"
