"","Region","p_male","Cohensd_male","p_female","Cohensd_female"
"1","Left.Accumbens.area",0,0.570684310384434,0,0.492033134637568
"2","Left.Amygdala",0,0.357375656985426,0,0.330309113863711
"3","Left.Caudate",0,0.711358848930218,0,0.644691969280205
"4","Left.Cerebellum.Cortex",0,0.828691354408205,0,0.867515175495113
"5","Left.Cerebellum.White.Matter",1.73867205563819e-44,0.0923408865436415,0.102393314833501,0.0103345824738564
"6","Left.Hippocampus",0,0.518329334085463,0,0.568449342221449
"7","Left.Inf.Lat.Vent",0,0.324247576614826,2.53066733300738e-208,0.196744547929208
"8","Left.Lateral.Ventricle",0,0.298578656148313,0,0.297210727642704
"9","Left.Pallidum",0,0.851168236983792,0,0.883404588147688
"10","Left.Putamen",0,0.573037406071165,0,0.633270499342819
"11","Left.Thalamus.Proper",0,1.40111440867143,0,1.34409613566281
"12","lh_bankssts_area",0,0.46602841574325,0,0.473382083713666
"13","lh_bankssts_thickness",0,0.755152931677415,0,0.734098977192532
"14","lh_bankssts_volume",1.69668514932127e-212,0.207050169478899,3.15420905924014e-176,0.180520487486469
"15","lh_caudalanteriorcingulate_area",0,0.628592250252621,0,0.634670295561339
"16","lh_caudalanteriorcingulate_thickness",0,0.553850558612363,0,0.537487915049936
"17","lh_caudalanteriorcingulate_volume",0,0.410204146643143,0,0.417606348662151
"18","lh_caudalmiddlefrontal_area",0,0.538603999133096,0,0.575928057826501
"19","lh_caudalmiddlefrontal_thickness",0,0.315224017964938,0,0.302289453756874
"20","lh_caudalmiddlefrontal_volume",0,0.502651301082197,0,0.526872441268211
"21","lh_cuneus_area",0,0.42519795619684,0,0.354650816289873
"22","lh_cuneus_thickness",1.42456174712659e-93,0.135753004900086,3.62258067702344e-213,0.199086590943334
"23","lh_cuneus_volume",0,0.467556325096416,0,0.470844844948462
"24","lh_entorhinal_area",0,0.545929911489544,0,0.66480134097513
"25","lh_entorhinal_thickness",0,0.533359594597963,0,0.643764296040308
"26","lh_entorhinal_volume",2.37459827062294e-282,0.239807699918091,0,0.25345209074496
"27","lh_frontalpole_area",0,1.81815266932683,0,1.72789488902576
"28","lh_frontalpole_thickness",1.96669928705513e-169,0.184252882581886,4.6289444598737e-107,0.13973322228727
"29","lh_frontalpole_volume",0,1.57773358991877,0,1.53560216814359
"30","lh_fusiform_area",3.23578349268463e-76,0.122122692342624,0,0.313330136631668
"31","lh_fusiform_thickness",0,0.454469186364458,0,0.340703021345676
"32","lh_fusiform_volume",1.46768645526598e-10,0.0422228585039808,0,0.259492918224714
"33","lh_inferiorparietal_area",0,1.70681419582425,0,1.71601026488603
"34","lh_inferiorparietal_thickness",0,0.424459794039454,0,0.416244051676514
"35","lh_inferiorparietal_volume",0,1.61692061755057,0,1.64180928210842
"36","lh_inferiortemporal_area",2.42574692664476e-194,0.197735485601082,0,0.267140148424004
"37","lh_inferiortemporal_thickness",0,0.47000557199332,0,0.448383228566436
"38","lh_inferiortemporal_volume",0.033417892367554,0.0140080812460312,7.53755563614572e-21,0.0593105903926595
"39","lh_insula_area",0,0.479450956560868,0,0.367740552132459
"40","lh_insula_thickness",2.97693641781113e-121,0.155121950083767,1.78917770893297e-211,0.198270667555084
"41","lh_insula_volume",0,0.476408952681843,0,0.349097816232785
"42","lh_isthmuscingulate_area",0,0.631200046473187,0,0.527150442651299
"43","lh_isthmuscingulate_thickness",0,0.276878390886008,6.87164702998824e-266,0.223114211378139
"44","lh_isthmuscingulate_volume",0,0.685005119822621,0,0.548305950342609
