"","LT1","RT1","bothT1","LdMRI","RdMRI","bothdMRI","Lcombi","Rcombi","bothcombi","AssociationVar"
"1",2.12869831019475e-22,4.2858854221769e-37,4.20761033748101e-21,1.93675113144736e-51,8.33658980743044e-60,2.14976165574636e-55,2.70065363119173e-31,4.44405460389666e-44,2.44177698896569e-33,"Waist Circumference"
"2",0.813188958768558,0.0133471102583294,0.621322050250362,2.84615625743894e-08,1.79834221294929e-10,4.12176122949255e-08,0.192250892389799,0.00337653939720007,0.231799694123626,"Hip Circumference"
"3",2.24912801321537e-76,1.50149974526835e-63,8.94359197500886e-71,1.1078133328643e-34,2.95357885268147e-13,1.39234263797861e-22,2.58539379119191e-66,6.6412089650147e-37,2.54382834889817e-47,"Height"
"4",1.38676826569798e-22,5.03960059365199e-27,1.40125655353522e-23,2.59528250769415e-21,1.7588699773994e-25,5.36657065039374e-27,1.08100698308948e-32,8.11222355348411e-35,3.9405431619203e-34,"Smoking Status"
"5",2.23840696893248e-20,3.24469129868932e-32,5.22115911952915e-18,3.2707036285913e-44,7.30440974574869e-45,1.71612674125164e-44,2.81161488604875e-26,8.23627604793297e-34,5.34856350369478e-25,"BMI"
"6",0.197437824900597,7.00007141127405e-06,0.275052001434339,1.56811315060323e-15,1.22766059262969e-25,3.07365723673344e-20,0.00271448802609957,8.19454875255007e-11,6.85552022543668e-05,"Weight"
"7",6.16189411500144e-56,1.03085082379814e-69,5.65790244735202e-54,6.20117238872006e-78,3.84948552398045e-85,2.61008455940998e-85,2.41226817692898e-67,1.22624617449561e-82,3.40379393922773e-73,"WHR"
"8",6.48264522587149e-15,1.86885720089634e-15,1.49871987714201e-15,6.89558655774335e-107,4.88448447394427e-90,4.6412162208237e-99,4.41675373411352e-74,1.40008787829303e-77,5.80037272374546e-76,"Diastolic Blood Pressure"
"9",1.99388113182323e-23,7.7009878654735e-27,1.77309076709177e-27,9.25945703833777e-120,1.28940067356089e-97,3.66304195435604e-113,3.42477343246125e-92,3.52666814721385e-91,7.42019100272536e-92,"Systolic Blood Pressure"
"10",1.67815160607038e-13,1.50082248057306e-16,3.9196207281076e-17,2.3012981340967e-46,1.26366279910652e-36,7.58495867141304e-45,2.7472991586522e-40,1.54155454437208e-37,5.77027819304712e-39,"Pulse Pressure"
"11",4.32230374974132e-32,1.01309085634507e-30,3.23542059762141e-32,1.55619365543636e-13,3.29333168731399e-14,2.46349032683138e-14,1.57005499883267e-21,1.17841137378525e-20,1.13989138187899e-17,"Diabetis"
"12",1.24441359096936e-19,3.89059045701971e-20,6.84848809853625e-20,3.43742415607999e-108,3.63089394070671e-72,9.87796065952992e-90,1.03822818766959e-77,1.04621924224927e-68,4.59823476319456e-71,"Hypertension"
"13",0.00235719575305915,0.000295071782372107,0.00438751290554653,1.28014592822406e-08,6.15075244858576e-06,1.11965088709671e-07,7.01271553790737e-07,1.26387853166446e-05,7.20087136491582e-05,"High Cholsterol"
"14",0.111679514059447,0.0858149810721844,0.0798990206272464,0.0274332095125891,0.0313402152707936,0.00780287325075082,0.102500716587805,0.296651500061293,0.14874676654927,"Alcohol"
"15",5.38942317301254e-08,1.54613135819025e-11,1.16501540600603e-08,2.20011415771878e-05,3.7112979824218e-05,6.41539731488249e-05,6.76079323177818e-09,1.04778548755078e-07,6.44598490156396e-07,"Smoking"
"16",4.3825092127517e-07,1.83130436492666e-13,7.39077502101638e-11,1.58045868727103e-05,2.62773292826326e-05,4.7541042160231e-08,0.250076905271241,0.590979892210346,0.117923390293183,"Ethnicity"
