"","feature","T1_t","T1_p","T1_p_adj","T1_CohensD"
"1","lh_bankssts_thickness",-163.101424368315,0,0,0.744142749154582
"2","lh_caudalanteriorcingulate_thickness",119.530164950046,0,0,0.545350881497929
"3","lh_caudalmiddlefrontal_thickness",67.6117963120683,0,0,0.308475711832691
"4","lh_cuneus_thickness",-36.9131445966259,3.78842775201391e-294,4.43246046985628e-292,0.168414524928026
"5","lh_entorhinal_thickness",-129.265711586595,0,0,0.589768865379444
"6","lh_fusiform_thickness",-86.4975596256132,0,0,0.394641138569177
"7","lh_inferiorparietal_thickness",-92.0968034010336,0,0,0.420187430837099
"8","lh_inferiortemporal_thickness",-100.547844203552,0,0,0.458744915913395
"9","lh_isthmuscingulate_thickness",54.5121577650668,0,0,0.248709213293209
"10","lh_lateraloccipital_thickness",-167.628964232958,0,0,0.76479944160734
"11","lh_lateralorbitofrontal_thickness",55.7897531740756,0,0,0.254538183602018
"12","lh_lingual_thickness",-105.546778210352,0,0,0.481552322464686
"13","lh_medialorbitofrontal_thickness",37.2704008008183,9.54286635982644e-300,1.11651536409969e-297,0.170044489932744
"14","lh_middletemporal_thickness",-68.2659385461351,0,0,0.31146020569767
"15","lh_parahippocampal_thickness",-0.251341294381106,0.801551326356732,1,0.00114673309875168
"16","lh_paracentral_thickness",-47.0506401664979,0,0,0.214666382335915
"17","lh_parsopercularis_thickness",36.4015895039748,3.21167869242323e-286,3.75766407013518e-284,0.166080578339491
"18","lh_parsorbitalis_thickness",47.9620835227067,0,0,0.218824800739768
"19","lh_parstriangularis_thickness",31.6417499365227,1.70758193616596e-217,1.99787086531418e-215,0.144364029173984
"20","lh_pericalcarine_thickness",-2.67744197793127,0.00742119080484867,0.868279324167295,0.0122157059135194
"21","lh_postcentral_thickness",70.4285951183514,0,0,0.321327226867836
"22","lh_posteriorcingulate_thickness",58.8563097315402,0,0,0.268529206892876
"23","lh_precentral_thickness",105.696272955308,0,0,0.482234385364665
"24","lh_precuneus_thickness",-59.1096310021779,0,0,0.269684973542258
"25","lh_rostralanteriorcingulate_thickness",43.7802944612575,0,0,0.199745580428704
"26","lh_rostralmiddlefrontal_thickness",168.077402254287,0,0,0.766845419460138
"27","lh_superiorfrontal_thickness",104.328487975925,0,0,0.475993929288014
"28","lh_superiorparietal_thickness",53.1740833556779,0,0,0.242604310326036
"29","lh_superiortemporal_thickness",-37.1725505585808,3.29765360532347e-298,3.85825471822846e-296,0.169598052701763
"30","lh_supramarginal_thickness",-27.6989012964056,1.50334785351337e-167,1.75891698861065e-165,0.126374963548585
"31","lh_frontalpole_thickness",35.2045052708366,4.47197493449656e-268,5.23221067336097e-266,0.160618936568628
"32","lh_temporalpole_thickness",-92.6401009432265,0,0,0.42266620089213
"33","lh_transversetemporal_thickness",-62.137570586331,0,0,0.283499808668023
"34","lh_insula_thickness",38.9283007489193,0,0,0.177608582214473
"35","lh_MeanThickness_thickness",28.351035311689,2.27853518844894e-175,2.66588617048526e-173,0.129350295007717
"36","lh_bankssts_volume",42.4363019837434,0,0,0.193613676547828
"37","lh_caudalanteriorcingulate_volume",-90.6592136148431,0,0,0.413628493539066
"38","lh_caudalmiddlefrontal_volume",112.688830601927,0,0,0.514137608104322
"39","lh_cuneus_volume",-102.530839653198,0,0,0.467792241472787
"40","lh_entorhinal_volume",53.8549517244171,0,0,0.24571074095157
"41","lh_fusiform_volume",32.4732243845228,7.7225185398178e-229,9.03534669158682e-227,0.148157593111167
