"","names.RdMRI.","coeff","pvals"
"1","BRIA.BRIA.v_intra_ATRR",-0.0208037124323002,0.00354885721829557
"2","BRIA.BRIA.v_intra_CSTR",-0.0350500585038125,8.95530057002059e-07
"3","BRIA.BRIA.v_intra_CGR",-0.0206466720294178,0.00380888440241276
"4","BRIA.BRIA.v_intra_IFOFR",-0.0118802715719894,0.0959472256504311
"5","BRIA.BRIA.v_intra_ILFR",-0.0305991310506416,1.7947253808917e-05
"6","BRIA.BRIA.v_intra_SLFR",-0.0183992461125702,0.00992612352380664
"7","BRIA.BRIA.v_intra_UFR",-0.0511499371766584,7.19955258858611e-13
"8","BRIA.BRIA.v_intra_SLTFR",0.0123271208076146,0.0840216279411257
"9","BRIA.BRIA.v_intra_CorticospinaltractR",-0.0249200251930348,0.000479881254622647
"10","BRIA.BRIA.v_intra_MediallemniscusR",-0.0254210794977149,0.00036602007070694
"11","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR",-0.014887949710355,0.0369606813325829
"12","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR",-0.0288596627998905,5.23074059900857e-05
"13","BRIA.BRIA.v_intra_CerebralpeduncleR",-0.0472791522127434,3.25177354409972e-11
"14","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR",-0.0203887672134279,0.00426876070092622
"15","BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR",-0.0404023390645271,1.48221565956024e-08
"16","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR",-0.0358108440634969,5.18118289961186e-07
"17","BRIA.BRIA.v_intra_AnteriorcoronaradiataR",-0.00995256651348564,0.163185182397007
"18","BRIA.BRIA.v_intra_SuperiorcoronaradiataR",-0.0182451565569589,0.0105658583325428
"19","BRIA.BRIA.v_intra_PosteriorcoronaradiataR",-0.0168184420868613,0.0184501572090891
"20","BRIA.BRIA.v_intra_PosteriorthalamicradiationR",-0.0145674302087459,0.041184010171177
"21","BRIA.BRIA.v_intra_SagittalstratumR",-0.0201024023087802,0.00484602081874358
"22","BRIA.BRIA.v_intra_ExternalcapsuleR",-0.0026806086808627,0.70737370978151
"23","BRIA.BRIA.v_intra_CingulumcingulategyrusR",-0.0290936542278133,4.5216660667888e-05
"24","BRIA.BRIA.v_intra_CingulumhippocampusR",0.0532417515755747,8.79563426879433e-14
"25","BRIA.BRIA.v_intra_Fornix_StriaterminalisR",-0.036163990064857,3.95299555819585e-07
