"","feature","beta_out","t_vals","formatMpfr.pval.","formatMpfr.p_adj.","formatMpfr.logp."
"1","BRIA.BRIA.v_intra_ATRL",-0.15760528290498,-31.4776479333042,"1.7572141883953089997577296577741e-217","6.8782634976357580177516811994225e-213","212.16252119091917619591206076334"
"2","BRIA.BRIA.v_intra_CSTL",-0.086459573968495,-17.2921713864614,"5.3883736961844161648071291166940e-67","2.1091711158974660193904545501481e-62","61.675888184757716621046818953252"
"3","BRIA.BRIA.v_intra_CGL",-0.196862166494965,-39.0509042748353,"1.4666216559051522282715882467499e-333","5.7407971477095373671234778742509e-329","328.24102779874931945372357707300"
"4","BRIA.BRIA.v_intra_IFOFL",-0.047380260093973,-9.23407213158794,"2.6053422605866182282174809679320e-20","1.0198091210614199730711685752771e-15","14.991481108068751778697550207714"
"5","BRIA.BRIA.v_intra_ILFL",-0.029656910648608,-5.60895056293053,"2.0355715514568370919026886102484e-8","0.00079678377238674974288346940270931","3.0986595195073688340151809269198"
"6","BRIA.BRIA.v_intra_SLFL",-0.0618157458227908,-11.9112664363109,"1.0339481602959256539070908155080e-32","4.0471832838463417870885255791426e-28","27.392847127370067449711732089220"
"7","BRIA.BRIA.v_intra_UFL",-0.0899982396803428,-18.0196592167738,"1.3658221127301384734903546915684e-72","5.3462374958595810267832953692061e-68","67.271951752491136352743501235348"
"8","BRIA.BRIA.v_intra_SLFTL",0.055813442927916,10.6141539047478,"2.5610407804372865188885025720355e-26","1.0024681926865670620885265617719e-21","20.998929398218856258290499592258"
"9","BRIA.BRIA.v_intra_CorticospinaltractL",-0.0221133396092327,-4.41367804149443,"1.0162906471895483341243831059238e-5","0.39780664802940490442630727915187","0.40032796334742812790536040660912"
"10","BRIA.BRIA.v_intra_MediallemniscusL",-0.0471819152076177,-9.33428351019041,"1.0167659635397364757110479854425e-20","3.9799270110835904868757551294175e-16","15.400124892492719233463761504611"
"11","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL",-0.0484290263931114,-9.6169199040892,"6.7831912304518243268147908626043e-22","2.6551445433357575962451135873500e-17","16.575911831394414850023164133869"
"12","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL",-0.0733671694940465,-14.6402390218973,"1.5552053802949589497701667321504e-48","6.0875404200885578170853636396561e-44","43.215558142136546993180982015910"
"13","BRIA.BRIA.v_intra_CerebralpeduncleL",-0.139886021302308,-27.9135144278388,"1.8289195796212371293641594555113e-171","7.1589399105114084954701293567095e-167","166.14515128287380416647951752368"
"14","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL",0.0491784768867581,9.67761448354203,"3.7537221224336123649870578813091e-22","1.4693194503841888880268840664810e-17","16.832883772312882480752398231018"
"15","BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL",-0.0366888832317687,-7.3014584122002,"2.8466506940100867428219419649356e-13","1.1142644811563682537427927433346e-8","7.9530117130457481923004503296695"
