"","feature","dMRI_t","dMRI_p","dMRI_p_adj","dMRI_CohensD"
"1","BRIA.BRIA.v_intra_ATRL",55.4201916639152,0,0,0.278366926962998
"2","BRIA.BRIA.v_intra_CSTL",282.755431406028,0,0,1.42023616590703
"3","BRIA.BRIA.v_intra_CGL",70.3383927176088,0,0,0.353298710099298
"4","BRIA.BRIA.v_intra_IFOFL",-60.5533725100587,0,0,0.304150088925905
"5","BRIA.BRIA.v_intra_ILFL",145.464633157825,0,0,0.730646028066842
"6","BRIA.BRIA.v_intra_SLFL",36.6659314300931,1.80151065001669e-289,1.51326894601402e-286,0.184167220465909
"7","BRIA.BRIA.v_intra_UFL",255.939937411392,0,0,1.28554614708594
"8","BRIA.BRIA.v_intra_SLFTL",-258.034451479724,0,0,1.29606656260918
"9","BRIA.BRIA.v_intra_CorticospinaltractL",-2.59064117888315,0.00958323938899403,1,0.0130123841541842
"10","BRIA.BRIA.v_intra_MediallemniscusL",69.6626622849672,0,0,0.349904622162349
"11","BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL",-42.7277356519902,0,0,0.214614711938571
"12","BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL",43.67615396579,0,0,0.219378468316197
"13","BRIA.BRIA.v_intra_CerebralpeduncleL",287.925971378858,0,0,1.44620697690141
"14","BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL",64.9942260200713,0,0,0.326455799309797
"15","BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL",310.123063614052,0,0,1.55769948834013
"16","BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL",177.899576835318,0,0,0.893561660919127
"17","BRIA.BRIA.v_intra_AnteriorcoronaradiataL",46.722523599277,0,0,0.23467990499129
"18","BRIA.BRIA.v_intra_SuperiorcoronaradiataL",3.18290096899362,0.00145920025804395,1,0.0159872121507534
"19","BRIA.BRIA.v_intra_PosteriorcoronaradiataL",117.775000509924,0,0,0.591565347948067
"20","BRIA.BRIA.v_intra_PosteriorthalamicradiationL",-29.3891630598281,7.89249471741851e-188,6.62969556263155e-185,0.147617154711238
"21","BRIA.BRIA.v_intra_SagittalstratumL",-16.6284401271147,7.03393243458941e-62,5.9085032450551e-59,0.0835220456551919
"22","BRIA.BRIA.v_intra_ExternalcapsuleL",-154.499453666553,0,0,0.776026513863949
"23","BRIA.BRIA.v_intra_CingulumcingulategyrusL",185.474319257052,0,0,0.931608403580378
"24","BRIA.BRIA.v_intra_CingulumhippocampusL",-139.222498721603,0,0,0.699292766222529
"25","BRIA.BRIA.v_intra_Fornix_StriaterminalisL",106.10194693366,0,0,0.532933431407537
"26","BRIA.BRIA.v_intra_SuperiorlongitudinalfasciculusL",122.77123145527,0,0,0.616660632047546
"27","BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL",-165.96418123613,0,0,0.833612041560503
"28","BRIA.BRIA.v_intra_UncinatefasciculusL",-208.979157555512,0,0,1.04966951830158
"29","BRIA.BRIA.v_intra_TapetumL",122.910829074787,0,0,0.617361808986666
"30","BRIA.BRIA.v_intra_CINGL",-335.583553543724,0,0,1.68558353435129
"31","BRIA.BRIA.v_extra_ATRL",-28.3393528842999,6.33321410927531e-175,5.31989985179126e-172,0.142344122921155
"32","BRIA.BRIA.v_extra_CSTL",-168.616877085418,0,0,0.846936116587379
